RAL10
Sampling=1
Gain=5
Zero_base=8900
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 08:35:35.745 8469 40.74
04/18/2023 08:35:35.952 8458 40.71
04/18/2023 08:35:36.159 8468 40.71
04/18/2023 08:35:36.369 8463 40.71
04/18/2023 08:35:36.577 8463 40.74
04/18/2023 08:35:36.785 8456 40.74
04/18/2023 08:35:36.992 8452 40.74
04/18/2023 08:35:37.200 8466 40.74
04/18/2023 08:35:37.410 8464 40.74
04/18/2023 08:35:37.617 8451 40.71
04/18/2023 08:35:37.825 8459 40.74
04/18/2023 08:35:38.035 8461 40.74
04/18/2023 08:35:38.241 8461 40.74
04/18/2023 08:35:38.450 8466 40.71
04/18/2023 08:35:38.671 8448 40.71
04/18/2023 08:35:38.882 8485 40.71
04/18/2023 08:35:39.049 8445 40.71
04/18/2023 08:35:39.251 8463 40.71
04/18/2023 08:35:39.458 8475 40.74
04/18/2023 08:35:39.666 8485 40.74
04/18/2023 08:35:39.875 8457 40.74
04/18/2023 08:35:40.083 8454 40.74
04/18/2023 08:35:40.293 8466 40.74
04/18/2023 08:35:40.515 8452 40.74
04/18/2023 08:35:40.723 8459 40.74
04/18/2023 08:35:40.916 8458 40.71
04/18/2023 08:35:41.140 8461 40.71
04/18/2023 08:35:41.332 8460 40.74
04/18/2023 08:35:41.540 8477 40.74
04/18/2023 08:35:41.749 8459 40.71
04/18/2023 08:35:41.955 8472 40.71
04/18/2023 08:35:42.165 8466 40.71
04/18/2023 08:35:42.373 8466 40.71
04/18/2023 08:35:42.588 8476 40.71
04/18/2023 08:35:42.807 8471 40.71
04/18/2023 08:35:43.014 8476 40.74
04/18/2023 08:35:43.174 8457 40.71
04/18/2023 08:35:43.383 8488 40.74
04/18/2023 08:35:43.590 8459 40.71
04/18/2023 08:35:43.799 8487 40.71
04/18/2023 08:35:44.007 8456 40.71
04/18/2023 08:35:44.215 8478 40.71
04/18/2023 08:35:44.423 8470 40.71
04/18/2023 08:35:44.631 8452 40.71
04/18/2023 08:35:44.838 8473 40.71
04/18/2023 08:35:45.047 8463 40.71
04/18/2023 08:35:45.256 8457 40.71
04/18/2023 08:35:45.465 8468 40.71
04/18/2023 08:35:45.673 8462 40.71
04/18/2023 08:35:45.881 8468 40.71
04/18/2023 08:35:46.089 8456 40.71
04/18/2023 08:35:46.298 8466 40.71
04/18/2023 08:35:46.509 8465 40.71
04/18/2023 08:35:46.727 8469 40.71
04/18/2023 08:35:46.938 8474 40.71
04/18/2023 08:35:47.097 8467 40.74
04/18/2023 08:35:47.305 8488 40.71
04/18/2023 08:35:47.514 8459 40.74
04/18/2023 08:35:47.723 8482 40.74
04/18/2023 08:35:47.930 8477 40.74
04/18/2023 08:35:48.139 8475 40.71
04/18/2023 08:35:48.347 8461 40.71
04/18/2023 08:35:48.556 8472 40.71
04/18/2023 08:35:48.763 8495 40.71
04/18/2023 08:35:48.970 8475 40.74
04/18/2023 08:35:49.180 8463 40.74
04/18/2023 08:35:49.388 8468 40.74
04/18/2023 08:35:49.597 8476 40.74
04/18/2023 08:35:49.805 8476 40.74
04/18/2023 08:35:50.013 8483 40.74
04/18/2023 08:35:50.221 8481 40.74
04/18/2023 08:35:50.429 8483 40.74
04/18/2023 08:35:50.642 8480 40.74
04/18/2023 08:35:50.859 8477 40.74
04/18/2023 08:35:51.020 8466 40.74
04/18/2023 08:35:51.230 8476 40.74
04/18/2023 08:35:51.452 8466 40.74
04/18/2023 08:35:51.661 8484 40.74
04/18/2023 08:35:51.869 8473 40.74
04/18/2023 08:35:52.062 8471 40.74
04/18/2023 08:35:52.269 8487 40.74
04/18/2023 08:35:52.478 8476 40.74
04/18/2023 08:35:52.685 8481 40.74
04/18/2023 08:35:52.885 8473 40.74
04/18/2023 08:35:53.101 8477 40.74
04/18/2023 08:35:53.311 8468 40.74
04/18/2023 08:35:53.519 8471 40.74
04/18/2023 08:35:53.727 8471 40.74
04/18/2023 08:35:53.934 8468 40.74
04/18/2023 08:35:54.144 8464 40.74
04/18/2023 08:35:54.351 8472 40.74
04/18/2023 08:35:54.561 8481 40.74
04/18/2023 08:35:54.779 8469 40.74
04/18/2023 08:35:54.991 8460 40.74
04/18/2023 08:35:55.152 8480 40.74
04/18/2023 08:35:55.361 8453 40.74
04/18/2023 08:35:55.570 8465 40.74
04/18/2023 08:35:55.777 8479 40.74
04/18/2023 08:35:55.985 8473 40.74
04/18/2023 08:35:56.193 8465 40.74
04/18/2023 08:35:56.402 8474 40.74
04/18/2023 08:35:56.609 8479 40.74
04/18/2023 08:35:56.809 8486 40.74
04/18/2023 08:35:57.020 8475 40.74
04/18/2023 08:35:57.235 8473 40.74
04/18/2023 08:35:57.443 8470 40.74
04/18/2023 08:35:57.650 8460 40.74
04/18/2023 08:35:57.859 8482 40.74
04/18/2023 08:35:58.067 8485 40.74
04/18/2023 08:35:58.276 8475 40.74
04/18/2023 08:35:58.483 8476 40.74
04/18/2023 08:35:58.696 8466 40.74
04/18/2023 08:35:58.914 8471 40.74
04/18/2023 08:35:59.076 8489 40.74
04/18/2023 08:35:59.284 8481 40.74
04/18/2023 08:35:59.492 8467 40.74
04/18/2023 08:35:59.701 8478 40.74
04/18/2023 08:35:59.909 8462 40.74
04/18/2023 08:36:00.117 8482 40.74
04/18/2023 08:36:00.326 8476 40.74
04/18/2023 08:36:00.534 8473 40.74
04/18/2023 08:36:00.734 8475 40.74
04/18/2023 08:36:00.934 8483 40.74
04/18/2023 08:36:01.154 8473 40.74
04/18/2023 08:36:01.367 8467 40.74
04/18/2023 08:36:01.575 8475 40.74
04/18/2023 08:36:01.782 8481 40.74
04/18/2023 08:36:01.992 8487 40.74
04/18/2023 08:36:02.200 8472 40.74
04/18/2023 08:36:02.407 8482 40.74
04/18/2023 08:36:02.616 8471 40.74
04/18/2023 08:36:02.840 8479 40.74
04/18/2023 08:36:03.017 8475 40.74
04/18/2023 08:36:03.223 8466 40.74
04/18/2023 08:36:03.416 8471 40.74
04/18/2023 08:36:03.624 8468 40.74
04/18/2023 08:36:03.832 8476 40.74
04/18/2023 08:36:04.041 8476 40.74
04/18/2023 08:36:04.250 8480 40.74
04/18/2023 08:36:04.457 8470 40.74
04/18/2023 08:36:04.659 8476 40.74
04/18/2023 08:36:04.856 8486 40.74
04/18/2023 08:36:05.072 8475 40.74
04/18/2023 08:36:05.289 8486 40.74
04/18/2023 08:36:05.498 8474 40.74
04/18/2023 08:36:05.706 8487 40.74
04/18/2023 08:36:05.914 8480 40.74
04/18/2023 08:36:06.121 8481 40.74
04/18/2023 08:36:06.331 8503 40.74
04/18/2023 08:36:06.538 8482 40.74
04/18/2023 08:36:06.747 8479 40.74
04/18/2023 08:36:06.964 8482 40.74
04/18/2023 08:36:07.126 8493 40.74
04/18/2023 08:36:07.338 8481 40.74
04/18/2023 08:36:07.547 8484 40.74
04/18/2023 08:36:07.755 8480 40.74
04/18/2023 08:36:07.963 8498 40.74
04/18/2023 08:36:08.172 8478 40.74
04/18/2023 08:36:08.379 8475 40.74
04/18/2023 08:36:08.585 8493 40.74
04/18/2023 08:36:08.784 8493 40.74
04/18/2023 08:36:08.992 8492 40.74
04/18/2023 08:36:09.209 8481 40.74
04/18/2023 08:36:09.420 8478 40.74
04/18/2023 08:36:09.629 8486 40.74
04/18/2023 08:36:09.837 8462 40.74
04/18/2023 08:36:10.045 8472 40.74
04/18/2023 08:36:10.252 8474 40.74
04/18/2023 08:36:10.461 8488 40.74
04/18/2023 08:36:10.669 8463 40.74
04/18/2023 08:36:10.889 8498 40.74
04/18/2023 08:36:11.054 8491 40.74
04/18/2023 08:36:11.261 8474 40.74
04/18/2023 08:36:11.470 8485 40.74
