RAL10
Sampling=1
Gain=5
Zero_base=10923
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 08:47:51.327 1321 40.87
04/18/2023 08:47:51.542 1305 40.87
04/18/2023 08:47:51.750 1298 40.87
04/18/2023 08:47:51.958 1313 40.87
04/18/2023 08:47:52.166 1312 40.87
04/18/2023 08:47:52.375 1331 40.87
04/18/2023 08:47:52.584 1307 40.87
04/18/2023 08:47:52.758 1316 40.87
04/18/2023 08:47:52.967 1321 40.87
04/18/2023 08:47:53.175 1304 40.87
04/18/2023 08:47:53.382 1293 40.87
04/18/2023 08:47:53.591 1293 40.87
04/18/2023 08:47:53.796 1315 40.87
04/18/2023 08:47:53.996 1305 40.87
04/18/2023 08:47:54.200 1328 40.87
04/18/2023 08:47:54.408 1322 40.87
04/18/2023 08:47:54.628 1316 40.87
04/18/2023 08:47:54.840 1307 40.87
04/18/2023 08:47:55.049 1326 40.87
04/18/2023 08:47:55.258 1313 40.87
04/18/2023 08:47:55.465 1326 40.87
04/18/2023 08:47:55.674 1304 40.87
04/18/2023 08:47:55.881 1311 40.87
04/18/2023 08:47:56.104 1314 40.87
04/18/2023 08:47:56.266 1311 40.87
04/18/2023 08:47:56.474 1305 40.87
04/18/2023 08:47:56.681 1298 40.87
04/18/2023 08:47:56.891 1342 40.87
04/18/2023 08:47:57.099 1322 40.87
04/18/2023 08:47:57.307 1295 40.87
04/18/2023 08:47:57.515 1316 40.87
04/18/2023 08:47:57.722 1323 40.87
04/18/2023 08:47:57.930 1313 40.87
04/18/2023 08:47:58.140 1300 40.87
04/18/2023 08:47:58.347 1319 40.87
04/18/2023 08:47:58.556 1326 40.87
04/18/2023 08:47:58.763 1315 40.87
04/18/2023 08:47:58.972 1306 40.87
04/18/2023 08:47:59.184 1344 40.87
04/18/2023 08:47:59.403 1322 40.87
04/18/2023 08:47:59.613 1317 40.87
04/18/2023 08:47:59.787 1317 40.87
04/18/2023 08:47:59.986 1315 40.87
04/18/2023 08:48:00.189 1315 40.87
04/18/2023 08:48:00.398 1307 40.90
04/18/2023 08:48:00.606 1320 40.90
04/18/2023 08:48:00.814 1308 40.90
04/18/2023 08:48:01.022 1317 40.90
04/18/2023 08:48:01.231 1321 40.90
04/18/2023 08:48:01.437 1319 40.90
04/18/2023 08:48:01.646 1312 40.90
04/18/2023 08:48:01.855 1316 40.90
04/18/2023 08:48:02.063 1326 40.90
04/18/2023 08:48:02.272 1329 40.90
04/18/2023 08:48:02.483 1328 40.90
04/18/2023 08:48:02.703 1311 40.90
04/18/2023 08:48:02.913 1334 40.90
04/18/2023 08:48:03.136 1331 40.90
04/18/2023 08:48:03.328 1318 40.90
04/18/2023 08:48:03.504 1315 40.90
04/18/2023 08:48:03.712 1318 40.90
04/18/2023 08:48:03.912 1328 40.90
04/18/2023 08:48:04.113 1312 40.90
04/18/2023 08:48:04.321 1309 40.90
04/18/2023 08:48:04.529 1292 40.90
04/18/2023 08:48:04.738 1317 40.90
04/18/2023 08:48:04.945 1315 40.90
04/18/2023 08:48:05.154 1331 40.90
04/18/2023 08:48:05.362 1321 40.90
04/18/2023 08:48:05.570 1325 40.90
04/18/2023 08:48:05.785 1339 40.90
04/18/2023 08:48:06.002 1319 40.90
04/18/2023 08:48:06.210 1307 40.90
04/18/2023 08:48:06.419 1335 40.90
04/18/2023 08:48:06.627 1322 40.90
04/18/2023 08:48:06.836 1322 40.90
04/18/2023 08:48:07.011 1328 40.90
04/18/2023 08:48:07.220 1321 40.90
04/18/2023 08:48:07.427 1330 40.90
04/18/2023 08:48:07.635 1316 40.90
04/18/2023 08:48:07.839 1336 40.90
04/18/2023 08:48:08.039 1335 40.90
04/18/2023 08:48:08.244 1332 40.90
04/18/2023 08:48:08.452 1310 40.90
04/18/2023 08:48:08.659 1317 40.87
04/18/2023 08:48:08.869 1321 40.90
04/18/2023 08:48:09.086 1319 40.90
04/18/2023 08:48:09.300 1333 40.90
04/18/2023 08:48:09.509 1332 40.90
04/18/2023 08:48:09.717 1329 40.90
04/18/2023 08:48:09.925 1321 40.90
04/18/2023 08:48:10.134 1328 40.90
04/18/2023 08:48:10.341 1313 40.90
04/18/2023 08:48:10.518 1315 40.90
04/18/2023 08:48:10.726 1322 40.90
04/18/2023 08:48:10.935 1310 40.90
04/18/2023 08:48:11.143 1321 40.90
04/18/2023 08:48:11.350 1335 40.90
04/18/2023 08:48:11.559 1318 40.90
04/18/2023 08:48:11.766 1308 40.90
04/18/2023 08:48:11.965 1322 40.90
04/18/2023 08:48:12.168 1315 40.90
04/18/2023 08:48:12.385 1327 40.90
04/18/2023 08:48:12.616 1326 40.90
04/18/2023 08:48:12.825 1321 40.90
04/18/2023 08:48:13.017 1338 40.90
04/18/2023 08:48:13.225 1335 40.90
04/18/2023 08:48:13.433 1314 40.90
04/18/2023 08:48:13.640 1315 40.90
04/18/2023 08:48:13.858 1321 40.90
04/18/2023 08:48:14.073 1304 40.90
04/18/2023 08:48:14.234 1327 40.87
04/18/2023 08:48:14.440 1319 40.90
04/18/2023 08:48:14.649 1313 40.90
04/18/2023 08:48:14.857 1333 40.90
04/18/2023 08:48:15.066 1316 40.87
04/18/2023 08:48:15.275 1327 40.87
04/18/2023 08:48:15.481 1299 40.87
04/18/2023 08:48:15.691 1324 40.90
04/18/2023 08:48:15.899 1325 40.90
04/18/2023 08:48:16.107 1321 40.90
04/18/2023 08:48:16.314 1324 40.90
04/18/2023 08:48:16.523 1324 40.90
04/18/2023 08:48:16.732 1319 40.90
04/18/2023 08:48:16.940 1319 40.90
04/18/2023 08:48:17.159 1327 40.90
04/18/2023 08:48:17.372 1317 40.90
04/18/2023 08:48:17.581 1313 40.90
04/18/2023 08:48:17.756 1306 40.90
04/18/2023 08:48:17.957 1309 40.90
04/18/2023 08:48:18.157 1323 40.90
04/18/2023 08:48:18.365 1312 40.90
04/18/2023 08:48:18.574 1311 40.90
04/18/2023 08:48:18.782 1319 40.90
04/18/2023 08:48:18.990 1306 40.90
04/18/2023 08:48:19.198 1315 40.90
04/18/2023 08:48:19.405 1327 40.90
04/18/2023 08:48:19.615 1315 40.90
04/18/2023 08:48:19.823 1316 40.90
04/18/2023 08:48:20.047 1311 40.90
04/18/2023 08:48:20.255 1322 40.90
04/18/2023 08:48:20.459 1309 40.90
04/18/2023 08:48:20.672 1326 40.90
04/18/2023 08:48:20.880 1293 40.90
04/18/2023 08:48:21.088 1329 40.90
04/18/2023 08:48:21.265 1317 40.90
04/18/2023 08:48:21.473 1320 40.90
04/18/2023 08:48:21.680 1313 40.90
04/18/2023 08:48:21.884 1309 40.90
04/18/2023 08:48:22.080 1305 40.90
04/18/2023 08:48:22.289 1296 40.90
04/18/2023 08:48:22.496 1321 40.90
04/18/2023 08:48:22.704 1325 40.90
04/18/2023 08:48:22.912 1302 40.90
04/18/2023 08:48:23.121 1327 40.90
04/18/2023 08:48:23.329 1307 40.90
04/18/2023 08:48:23.542 1309 40.90
04/18/2023 08:48:23.761 1335 40.90
04/18/2023 08:48:23.970 1313 40.90
04/18/2023 08:48:24.178 1323 40.90
04/18/2023 08:48:24.386 1319 40.90
04/18/2023 08:48:24.594 1305 40.90
04/18/2023 08:48:24.770 1324 40.90
04/18/2023 08:48:24.979 1311 40.90
04/18/2023 08:48:25.186 1333 40.90
04/18/2023 08:48:25.394 1320 40.90
04/18/2023 08:48:25.603 1307 40.90
04/18/2023 08:48:25.808 1335 40.90
04/18/2023 08:48:26.007 1328 40.90
04/18/2023 08:48:26.211 1320 40.90
04/18/2023 08:48:26.419 1327 40.90
04/18/2023 08:48:26.627 1305 40.90
04/18/2023 08:48:26.842 1330 40.90
04/18/2023 08:48:27.060 1320 40.90
04/18/2023 08:48:27.269 1305 40.90
04/18/2023 08:48:27.476 1333 40.90
04/18/2023 08:48:27.685 1322 40.90
04/18/2023 08:48:27.893 1346 40.90
04/18/2023 08:48:28.101 1321 40.90
04/18/2023 08:48:28.318 1325 40.90
04/18/2023 08:48:28.485 1323 40.90
04/18/2023 08:48:28.693 1331 40.90
04/18/2023 08:48:28.902 1319 40.90
04/18/2023 08:48:29.110 1339 40.90
04/18/2023 08:48:29.318 1319 40.90
04/18/2023 08:48:29.526 1321 40.90
04/18/2023 08:48:29.736 1330 40.90
04/18/2023 08:48:29.944 1330 40.90
04/18/2023 08:48:30.151 1330 40.90
04/18/2023 08:48:30.375 1328 40.90
04/18/2023 08:48:30.567 1329 40.90
04/18/2023 08:48:30.775 1324 40.90
04/18/2023 08:48:30.983 1319 40.90
04/18/2023 08:48:31.192 1332 40.90
04/18/2023 08:48:31.400 1339 40.90
04/18/2023 08:48:31.617 1344 40.90
04/18/2023 08:48:31.833 1328 40.90
04/18/2023 08:48:32.001 1340 40.90
04/18/2023 08:48:32.201 1331 40.90
04/18/2023 08:48:32.409 1329 40.90
04/18/2023 08:48:32.617 1344 40.90
04/18/2023 08:48:32.825 1336 40.90
04/18/2023 08:48:33.033 1335 40.90
04/18/2023 08:48:33.241 1329 40.90
04/18/2023 08:48:33.451 1331 40.90
04/18/2023 08:48:33.659 1325 40.90
04/18/2023 08:48:33.867 1331 40.90
04/18/2023 08:48:34.075 1336 40.90
04/18/2023 08:48:34.283 1348 40.90
04/18/2023 08:48:34.491 1336 40.90
04/18/2023 08:48:34.700 1323 40.90
04/18/2023 08:48:34.914 1324 40.90
04/18/2023 08:48:35.131 1325 40.90
04/18/2023 08:48:35.339 1323 40.90
04/18/2023 08:48:35.549 1319 40.90
04/18/2023 08:48:35.724 1315 40.90
04/18/2023 08:48:35.929 1319 40.87
04/18/2023 08:48:36.128 1304 40.87
04/18/2023 08:48:36.332 1332 40.87
04/18/2023 08:48:36.541 1324 40.87
04/18/2023 08:48:36.748 1299 40.87
04/18/2023 08:48:36.957 1309 40.87
04/18/2023 08:48:37.165 1324 40.87
04/18/2023 08:48:37.373 1321 40.90
