RAL10
Sampling=1
Gain=5
Zero_base=6877
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 08:41:20.852 15272 40.80
04/18/2023 08:41:21.047 15280 40.80
04/18/2023 08:41:21.255 15282 40.80
04/18/2023 08:41:21.470 15282 40.80
04/18/2023 08:41:21.688 15274 40.80
04/18/2023 08:41:21.896 15286 40.80
04/18/2023 08:41:22.103 15262 40.80
04/18/2023 08:41:22.311 15287 40.80
04/18/2023 08:41:22.518 15275 40.80
04/18/2023 08:41:22.725 15278 40.80
04/18/2023 08:41:22.934 15275 40.80
04/18/2023 08:41:23.111 15271 40.80
04/18/2023 08:41:23.318 15285 40.80
04/18/2023 08:41:23.527 15280 40.80
04/18/2023 08:41:23.736 15265 40.80
04/18/2023 08:41:23.942 15275 40.80
04/18/2023 08:41:24.145 15292 40.80
04/18/2023 08:41:24.343 15298 40.80
04/18/2023 08:41:24.549 15299 40.80
04/18/2023 08:41:24.759 15283 40.80
04/18/2023 08:41:24.968 15297 40.80
04/18/2023 08:41:25.173 15288 40.80
04/18/2023 08:41:25.383 15285 40.80
04/18/2023 08:41:25.592 15290 40.80
04/18/2023 08:41:25.811 15285 40.80
04/18/2023 08:41:26.024 15294 40.80
04/18/2023 08:41:26.233 15299 40.80
04/18/2023 08:41:26.441 15276 40.80
04/18/2023 08:41:26.648 15310 40.80
04/18/2023 08:41:26.857 15304 40.80
04/18/2023 08:41:27.065 15276 40.80
04/18/2023 08:41:27.240 15297 40.80
04/18/2023 08:41:27.449 15299 40.80
04/18/2023 08:41:27.655 15288 40.80
04/18/2023 08:41:27.866 15300 40.80
04/18/2023 08:41:28.073 15309 40.84
04/18/2023 08:41:28.275 15297 40.80
04/18/2023 08:41:28.473 15288 40.80
04/18/2023 08:41:28.682 15298 40.80
04/18/2023 08:41:28.891 15296 40.80
04/18/2023 08:41:29.098 15300 40.80
04/18/2023 08:41:29.308 15285 40.84
04/18/2023 08:41:29.515 15294 40.84
04/18/2023 08:41:29.724 15296 40.84
04/18/2023 08:41:29.939 15300 40.84
04/18/2023 08:41:30.156 15291 40.80
04/18/2023 08:41:30.364 15285 40.80
04/18/2023 08:41:30.570 15296 40.80
04/18/2023 08:41:30.780 15294 40.80
04/18/2023 08:41:30.988 15303 40.80
04/18/2023 08:41:31.196 15301 40.80
04/18/2023 08:41:31.372 15307 40.80
04/18/2023 08:41:31.580 15318 40.80
04/18/2023 08:41:31.789 15317 40.80
04/18/2023 08:41:31.997 15299 40.80
04/18/2023 08:41:32.201 15316 40.80
04/18/2023 08:41:32.401 15312 40.80
04/18/2023 08:41:32.605 15302 40.80
04/18/2023 08:41:32.814 15315 40.80
04/18/2023 08:41:33.020 15316 40.84
04/18/2023 08:41:33.230 15306 40.84
04/18/2023 08:41:33.438 15304 40.84
04/18/2023 08:41:33.647 15302 40.84
04/18/2023 08:41:33.855 15306 40.84
04/18/2023 08:41:34.063 15326 40.84
04/18/2023 08:41:34.281 15334 40.84
04/18/2023 08:41:34.495 15320 40.84
