RAL10
Sampling=1
Gain=5
Zero_base=4854
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 10:27:39.546 9133 41.17
04/18/2023 10:27:39.755 9145 41.17
04/18/2023 10:27:39.961 9137 41.17
04/18/2023 10:27:40.139 9130 41.17
04/18/2023 10:27:40.347 9145 41.17
04/18/2023 10:27:40.548 9134 41.17
04/18/2023 10:27:40.747 9146 41.17
04/18/2023 10:27:40.954 9149 41.17
04/18/2023 10:27:41.162 9139 41.17
04/18/2023 10:27:41.371 9138 41.17
04/18/2023 10:27:41.580 9129 41.17
04/18/2023 10:27:41.788 9139 41.17
04/18/2023 10:27:41.997 9144 41.17
04/18/2023 10:27:42.203 9145 41.17
04/18/2023 10:27:42.412 9152 41.17
04/18/2023 10:27:42.622 9120 41.17
04/18/2023 10:27:42.829 9129 41.20
04/18/2023 10:27:43.036 9124 41.20
04/18/2023 10:27:43.250 9141 41.17
04/18/2023 10:27:43.468 9145 41.17
04/18/2023 10:27:43.678 9134 41.17
04/18/2023 10:27:43.887 9132 41.20
04/18/2023 10:27:44.093 9141 41.17
04/18/2023 10:27:44.271 9151 41.20
04/18/2023 10:27:44.475 9142 41.17
04/18/2023 10:27:44.675 9162 41.17
04/18/2023 10:27:44.896 9158 41.17
04/18/2023 10:27:45.103 9140 41.17
04/18/2023 10:27:45.296 9157 41.17
04/18/2023 10:27:45.504 9149 41.17
04/18/2023 10:27:45.711 9149 41.17
04/18/2023 10:27:45.919 9129 41.20
04/18/2023 10:27:46.128 9137 41.20
04/18/2023 10:27:46.336 9149 41.20
04/18/2023 10:27:46.545 9146 41.20
04/18/2023 10:27:46.753 9153 41.20
04/18/2023 10:27:46.961 9127 41.20
04/18/2023 10:27:47.169 9153 41.20
04/18/2023 10:27:47.377 9167 41.20
04/18/2023 10:27:47.590 9146 41.20
04/18/2023 10:27:47.808 9136 41.20
04/18/2023 10:27:48.018 9146 41.20
04/18/2023 10:27:48.226 9153 41.20
04/18/2023 10:27:48.402 9145 41.20
04/18/2023 10:27:48.602 9154 41.20
04/18/2023 10:27:48.803 9140 41.20
04/18/2023 10:27:49.010 9148 41.20
04/18/2023 10:27:49.219 9150 41.20
04/18/2023 10:27:49.427 9157 41.20
04/18/2023 10:27:49.635 9148 41.20
04/18/2023 10:27:49.843 9150 41.20
