RAL10
Sampling=1
Gain=5
Zero_base=6877
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 10:22:25.791 1818 41.23
04/18/2023 10:22:25.984 1788 41.23
04/18/2023 10:22:26.192 1793 41.23
04/18/2023 10:22:26.401 1800 41.23
04/18/2023 10:22:26.615 1803 41.20
04/18/2023 10:22:26.832 1789 41.20
04/18/2023 10:22:27.041 1801 41.20
04/18/2023 10:22:27.250 1805 41.20
04/18/2023 10:22:27.458 1792 41.20
04/18/2023 10:22:27.634 1789 41.20
04/18/2023 10:22:27.842 1802 41.20
04/18/2023 10:22:28.046 1795 41.20
04/18/2023 10:22:28.247 1798 41.20
04/18/2023 10:22:28.450 1818 41.20
04/18/2023 10:22:28.658 1807 41.23
04/18/2023 10:22:28.866 1807 41.23
04/18/2023 10:22:29.076 1817 41.23
04/18/2023 10:22:29.284 1832 41.20
04/18/2023 10:22:29.492 1822 41.23
04/18/2023 10:22:29.700 1821 41.23
04/18/2023 10:22:29.908 1811 41.23
04/18/2023 10:22:30.117 1813 41.23
04/18/2023 10:22:30.325 1833 41.23
04/18/2023 10:22:30.533 1823 41.23
04/18/2023 10:22:30.750 1848 41.23
04/18/2023 10:22:30.964 1832 41.20
04/18/2023 10:22:31.172 1841 41.20
04/18/2023 10:22:31.381 1833 41.20
04/18/2023 10:22:31.589 1824 41.20
04/18/2023 10:22:31.765 1832 41.20
04/18/2023 10:22:31.973 1827 41.20
04/18/2023 10:22:32.175 1832 41.23
04/18/2023 10:22:32.373 1825 41.23
04/18/2023 10:22:32.582 1820 41.23
04/18/2023 10:22:32.790 1838 41.23
04/18/2023 10:22:32.998 1840 41.23
04/18/2023 10:22:33.205 1827 41.23
04/18/2023 10:22:33.414 1820 41.23
04/18/2023 10:22:33.623 1829 41.23
04/18/2023 10:22:33.830 1845 41.23
04/18/2023 10:22:34.039 1846 41.23
04/18/2023 10:22:34.247 1834 41.20
04/18/2023 10:22:34.455 1839 41.20
04/18/2023 10:22:34.663 1837 41.20
04/18/2023 10:22:34.872 1846 41.23
04/18/2023 10:22:35.092 1838 41.23
04/18/2023 10:22:35.304 1844 41.23
04/18/2023 10:22:35.512 1846 41.23
04/18/2023 10:22:35.721 1851 41.23
04/18/2023 10:22:35.897 1856 41.23
04/18/2023 10:22:36.103 1857 41.23
04/18/2023 10:22:36.303 1853 41.23
04/18/2023 10:22:36.505 1854 41.23
04/18/2023 10:22:36.714 1839 41.23
04/18/2023 10:22:36.922 1827 41.23
04/18/2023 10:22:37.129 1845 41.20
04/18/2023 10:22:37.337 1807 41.23
04/18/2023 10:22:37.545 1818 41.20
04/18/2023 10:22:37.754 1826 41.20
04/18/2023 10:22:37.962 1843 41.20
04/18/2023 10:22:38.170 1828 41.20
04/18/2023 10:22:38.378 1814 41.23
04/18/2023 10:22:38.586 1850 41.23
04/18/2023 10:22:38.794 1835 41.23
04/18/2023 10:22:39.010 1832 41.23
04/18/2023 10:22:39.228 1847 41.23
04/18/2023 10:22:39.436 1850 41.23
04/18/2023 10:22:39.645 1861 41.23
04/18/2023 10:22:39.869 1850 41.23
04/18/2023 10:22:40.044 1841 41.23
04/18/2023 10:22:40.236 1859 41.23
04/18/2023 10:22:40.433 1856 41.23
04/18/2023 10:22:40.636 1828 41.23
04/18/2023 10:22:40.844 1856 41.23
04/18/2023 10:22:41.053 1881 41.23
04/18/2023 10:22:41.261 1869 41.23
04/18/2023 10:22:41.468 1853 41.23
04/18/2023 10:22:41.678 1866 41.23
04/18/2023 10:22:41.884 1871 41.23
04/18/2023 10:22:42.094 1883 41.23
04/18/2023 10:22:42.302 1864 41.23
04/18/2023 10:22:42.510 1857 41.23
04/18/2023 10:22:42.719 1875 41.23
04/18/2023 10:22:42.926 1878 41.23
04/18/2023 10:22:43.139 1882 41.23
04/18/2023 10:22:43.357 1875 41.23
04/18/2023 10:22:43.568 1880 41.23
04/18/2023 10:22:43.774 1866 41.23
04/18/2023 10:22:43.988 1881 41.23
04/18/2023 10:22:44.160 1850 41.23
04/18/2023 10:22:44.366 1899 41.23
04/18/2023 10:22:44.565 1848 41.23
04/18/2023 10:22:44.768 1860 41.23
04/18/2023 10:22:44.977 1867 41.23
04/18/2023 10:22:45.181 1886 41.23
04/18/2023 10:22:45.392 1861 41.23
04/18/2023 10:22:45.600 1847 41.23
04/18/2023 10:22:45.808 1864 41.23
04/18/2023 10:22:46.017 1879 41.23
04/18/2023 10:22:46.222 1870 41.23
04/18/2023 10:22:46.432 1856 41.23
04/18/2023 10:22:46.641 1870 41.23
04/18/2023 10:22:46.849 1853 41.23
04/18/2023 10:22:47.056 1865 41.23
04/18/2023 10:22:47.270 1862 41.23
04/18/2023 10:22:47.486 1866 41.23
04/18/2023 10:22:47.698 1862 41.23
04/18/2023 10:22:47.905 1875 41.23
04/18/2023 10:22:48.113 1861 41.23
04/18/2023 10:22:48.291 1876 41.23
04/18/2023 10:22:48.494 1849 41.26
04/18/2023 10:22:48.694 1864 41.23
04/18/2023 10:22:48.914 1861 41.23
04/18/2023 10:22:49.106 1837 41.23
04/18/2023 10:22:49.314 1858 41.26
04/18/2023 10:22:49.522 1860 41.26
04/18/2023 10:22:49.731 1859 41.26
04/18/2023 10:22:49.939 1850 41.26
04/18/2023 10:22:50.147 1841 41.26
04/18/2023 10:22:50.355 1877 41.26
04/18/2023 10:22:50.564 1869 41.26
04/18/2023 10:22:50.772 1845 41.26
04/18/2023 10:22:50.980 1846 41.26
04/18/2023 10:22:51.187 1864 41.26
04/18/2023 10:22:51.404 1852 41.26
