RAL10
Sampling=1
Gain=1
Zero_base=6877
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 09:00:36.410 7837 41.20
04/18/2023 09:00:36.604 7872 41.20
04/18/2023 09:00:36.808 7878 41.20
04/18/2023 09:00:37.020 7877 41.23
04/18/2023 09:00:37.229 7879 41.23
04/18/2023 09:00:37.436 7881 41.23
04/18/2023 09:00:37.644 7879 41.23
04/18/2023 09:00:37.854 7878 41.23
04/18/2023 09:00:38.062 7865 41.23
04/18/2023 09:00:38.280 7881 41.23
04/18/2023 09:00:38.494 7881 41.23
04/18/2023 09:00:38.703 7886 41.23
04/18/2023 09:00:38.879 7881 41.23
04/18/2023 09:00:39.082 7878 41.23
04/18/2023 09:00:39.279 7880 41.23
04/18/2023 09:00:39.487 7883 41.23
04/18/2023 09:00:39.695 7886 41.23
04/18/2023 09:00:39.904 7882 41.23
04/18/2023 09:00:40.112 7881 41.23
04/18/2023 09:00:40.320 7871 41.20
04/18/2023 09:00:40.528 7874 41.23
04/18/2023 09:00:40.737 7875 41.20
04/18/2023 09:00:40.945 7880 41.23
04/18/2023 09:00:41.153 7881 41.23
04/18/2023 09:00:41.361 7874 41.20
04/18/2023 09:00:41.569 7887 41.20
04/18/2023 09:00:41.778 7877 41.20
04/18/2023 09:00:41.986 7887 41.20
04/18/2023 09:00:42.194 7882 41.20
04/18/2023 09:00:42.406 7881 41.20
04/18/2023 09:00:42.625 7881 41.20
04/18/2023 09:00:42.834 7878 41.20
04/18/2023 09:00:43.042 7875 41.20
04/18/2023 09:00:43.209 7895 41.20
04/18/2023 09:00:43.411 7884 41.20
04/18/2023 09:00:43.619 7893 41.20
04/18/2023 09:00:43.828 7885 41.20
04/18/2023 09:00:44.035 7881 41.20
04/18/2023 09:00:44.243 7878 41.20
04/18/2023 09:00:44.452 7882 41.20
04/18/2023 09:00:44.660 7883 41.20
04/18/2023 09:00:44.868 7887 41.20
04/18/2023 09:00:45.077 7885 41.20
04/18/2023 09:00:45.285 7881 41.20
04/18/2023 09:00:45.493 7878 41.20
04/18/2023 09:00:45.700 7880 41.20
04/18/2023 09:00:45.909 7893 41.20
04/18/2023 09:00:46.116 7879 41.20
04/18/2023 09:00:46.325 7876 41.20
04/18/2023 09:00:46.533 7882 41.20
04/18/2023 09:00:46.753 7879 41.20
04/18/2023 09:00:46.965 7872 41.20
04/18/2023 09:00:47.136 7887 41.20
04/18/2023 09:00:47.334 7878 41.20
04/18/2023 09:00:47.541 7891 41.20
04/18/2023 09:00:47.750 7888 41.20
04/18/2023 09:00:47.958 7868 41.20
04/18/2023 09:00:48.167 7872 41.20
04/18/2023 09:00:48.375 7881 41.20
04/18/2023 09:00:48.582 7883 41.20
04/18/2023 09:00:48.790 7877 41.20
04/18/2023 09:00:48.999 7881 41.20
04/18/2023 09:00:49.208 7881 41.20
04/18/2023 09:00:49.416 7879 41.20
04/18/2023 09:00:49.624 7875 41.20
04/18/2023 09:00:49.831 7871 41.20
04/18/2023 09:00:50.040 7880 41.20
04/18/2023 09:00:50.247 7879 41.20
04/18/2023 09:00:50.456 7877 41.20
04/18/2023 09:00:50.664 7873 41.20
04/18/2023 09:00:50.884 7880 41.20
04/18/2023 09:00:51.097 7872 41.20
04/18/2023 09:00:51.263 7885 41.20
04/18/2023 09:00:51.465 7891 41.20
04/18/2023 09:00:51.674 7875 41.20
04/18/2023 09:00:51.883 7877 41.20
04/18/2023 09:00:52.090 7875 41.20
04/18/2023 09:00:52.298 7872 41.20
04/18/2023 09:00:52.506 7874 41.20
04/18/2023 09:00:52.714 7885 41.20
04/18/2023 09:00:52.923 7882 41.20
04/18/2023 09:00:53.128 7867 41.20
04/18/2023 09:00:53.336 7879 41.20
04/18/2023 09:00:53.548 7874 41.20
04/18/2023 09:00:53.755 7876 41.20
04/18/2023 09:00:53.963 7881 41.20
04/18/2023 09:00:54.167 7878 41.20
04/18/2023 09:00:54.374 7880 41.20
04/18/2023 09:00:54.583 7870 41.20
04/18/2023 09:00:54.790 7866 41.20
04/18/2023 09:00:55.009 7873 41.20
04/18/2023 09:00:55.224 7868 41.20
04/18/2023 09:00:55.395 7875 41.20
04/18/2023 09:00:55.593 7875 41.20
04/18/2023 09:00:55.799 7870 41.20
04/18/2023 09:00:56.007 7871 41.20
04/18/2023 09:00:56.216 7876 41.20
04/18/2023 09:00:56.429 7860 41.20
04/18/2023 09:00:56.629 7881 41.20
04/18/2023 09:00:56.843 7875 41.20
04/18/2023 09:00:57.051 7865 41.20
04/18/2023 09:00:57.260 7861 41.20
04/18/2023 09:00:57.468 7870 41.20
04/18/2023 09:00:57.676 7875 41.20
04/18/2023 09:00:57.885 7870 41.20
04/18/2023 09:00:58.093 7866 41.20
04/18/2023 09:00:58.301 7870 41.20
04/18/2023 09:00:58.510 7869 41.20
04/18/2023 09:00:58.717 7862 41.20
04/18/2023 09:00:58.934 7861 41.20
04/18/2023 09:00:59.150 7868 41.20
04/18/2023 09:00:59.357 7860 41.20
04/18/2023 09:00:59.532 7866 41.20
04/18/2023 09:00:59.731 7861 41.20
04/18/2023 09:00:59.935 7865 41.20
04/18/2023 09:01:00.142 7863 41.20
04/18/2023 09:01:00.351 7860 41.20
04/18/2023 09:01:00.553 7855 41.20
04/18/2023 09:01:00.765 7859 41.20
04/18/2023 09:01:00.973 7860 41.20
04/18/2023 09:01:01.181 7850 41.20
04/18/2023 09:01:01.390 7862 41.20
04/18/2023 09:01:01.599 7859 41.20
04/18/2023 09:01:01.806 7870 41.20
04/18/2023 09:01:02.015 7864 41.20
04/18/2023 09:01:02.224 7862 41.20
04/18/2023 09:01:02.447 7859 41.20
04/18/2023 09:01:02.655 7856 41.20
04/18/2023 09:01:02.848 7853 41.20
04/18/2023 09:01:03.065 7866 41.20
04/18/2023 09:01:03.280 7855 41.20
04/18/2023 09:01:03.488 7860 41.20
04/18/2023 09:01:03.662 7864 41.20
04/18/2023 09:01:03.861 7855 41.20
04/18/2023 09:01:04.065 7856 41.20
04/18/2023 09:01:04.273 7859 41.20
04/18/2023 09:01:04.480 7848 41.20
04/18/2023 09:01:04.689 7856 41.20
04/18/2023 09:01:04.897 7853 41.20
04/18/2023 09:01:05.105 7862 41.20
04/18/2023 09:01:05.314 7853 41.20
