RAL10
Sampling=1
Gain=1
Zero_base=2832
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 09:06:40.261 14908 41.26
04/18/2023 09:06:40.471 14914 41.26
04/18/2023 09:06:40.678 14918 41.26
04/18/2023 09:06:40.886 14922 41.26
04/18/2023 09:06:41.095 14916 41.26
04/18/2023 09:06:41.303 14923 41.26
04/18/2023 09:06:41.520 14916 41.26
04/18/2023 09:06:41.719 14924 41.26
04/18/2023 09:06:41.928 14904 41.26
04/18/2023 09:06:42.137 14920 41.26
04/18/2023 09:06:42.344 14924 41.26
04/18/2023 09:06:42.553 14927 41.26
04/18/2023 09:06:42.761 14929 41.26
04/18/2023 09:06:42.973 14919 41.26
04/18/2023 09:06:43.190 14930 41.26
04/18/2023 09:06:43.402 14923 41.26
04/18/2023 09:06:43.609 14928 41.26
04/18/2023 09:06:43.787 14929 41.26
04/18/2023 09:06:43.985 14929 41.26
04/18/2023 09:06:44.186 14924 41.23
04/18/2023 09:06:44.394 14933 41.23
04/18/2023 09:06:44.602 14940 41.26
04/18/2023 09:06:44.812 14933 41.23
04/18/2023 09:06:45.019 14942 41.26
04/18/2023 09:06:45.228 14937 41.23
04/18/2023 09:06:45.437 14943 41.23
04/18/2023 09:06:45.645 14952 41.23
04/18/2023 09:06:45.853 14942 41.23
04/18/2023 09:06:46.060 14953 41.23
04/18/2023 09:06:46.270 14942 41.23
04/18/2023 09:06:46.477 14936 41.23
04/18/2023 09:06:46.684 14940 41.23
04/18/2023 09:06:46.894 14934 41.23
04/18/2023 09:06:47.102 14944 41.23
04/18/2023 09:06:47.310 14953 41.26
04/18/2023 09:06:47.527 14937 41.23
04/18/2023 09:06:47.741 14945 41.23
04/18/2023 09:06:47.951 14945 41.23
04/18/2023 09:06:48.110 14946 41.23
04/18/2023 09:06:48.318 14948 41.23
04/18/2023 09:06:48.527 14941 41.23
04/18/2023 09:06:48.735 14943 41.26
04/18/2023 09:06:48.943 14946 41.26
04/18/2023 09:06:49.152 14953 41.26
04/18/2023 09:06:49.360 14938 41.26
04/18/2023 09:06:49.568 14945 41.26
04/18/2023 09:06:49.774 14948 41.26
04/18/2023 09:06:49.980 14950 41.26
04/18/2023 09:06:50.192 14945 41.26
04/18/2023 09:06:50.400 14950 41.26
04/18/2023 09:06:50.609 14940 41.26
04/18/2023 09:06:50.817 14943 41.26
04/18/2023 09:06:51.026 14950 41.26
04/18/2023 09:06:51.233 14948 41.26
04/18/2023 09:06:51.441 14950 41.26
04/18/2023 09:06:51.650 14943 41.26
04/18/2023 09:06:51.865 14941 41.26
04/18/2023 09:06:52.082 14930 41.26
04/18/2023 09:06:52.242 14943 41.26
04/18/2023 09:06:52.450 14939 41.26
04/18/2023 09:06:52.658 14926 41.26
04/18/2023 09:06:52.865 14938 41.26
04/18/2023 09:06:53.074 14938 41.26
04/18/2023 09:06:53.283 14937 41.26
04/18/2023 09:06:53.485 14936 41.26
04/18/2023 09:06:53.698 14940 41.26
04/18/2023 09:06:53.898 14942 41.26
04/18/2023 09:06:54.102 14932 41.26
04/18/2023 09:06:54.320 14946 41.23
04/18/2023 09:06:54.532 14929 41.23
04/18/2023 09:06:54.740 14932 41.23
04/18/2023 09:06:54.948 14936 41.23
04/18/2023 09:06:55.156 14936 41.23
04/18/2023 09:06:55.364 14932 41.23
04/18/2023 09:06:55.572 14937 41.23
04/18/2023 09:06:55.780 14940 41.23
04/18/2023 09:06:55.988 14937 41.23
04/18/2023 09:06:56.207 14932 41.23
04/18/2023 09:06:56.372 14934 41.23
04/18/2023 09:06:56.581 14925 41.23
04/18/2023 09:06:56.789 14936 41.23
04/18/2023 09:06:56.998 14933 41.23
04/18/2023 09:06:57.205 14932 41.23
04/18/2023 09:06:57.414 14932 41.23
04/18/2023 09:06:57.623 14938 41.23
04/18/2023 09:06:57.826 14930 41.23
04/18/2023 09:06:58.022 14928 41.23
04/18/2023 09:06:58.231 14930 41.23
04/18/2023 09:06:58.438 14926 41.23
04/18/2023 09:06:58.657 14928 41.23
04/18/2023 09:06:58.871 14924 41.23
04/18/2023 09:06:59.080 14935 41.23
04/18/2023 09:06:59.287 14923 41.23
04/18/2023 09:06:59.495 14931 41.23
04/18/2023 09:06:59.704 14920 41.23
04/18/2023 09:06:59.912 14935 41.23
04/18/2023 09:07:00.120 14933 41.23
04/18/2023 09:07:00.328 14929 41.23
04/18/2023 09:07:00.504 14934 41.23
04/18/2023 09:07:00.713 14927 41.23
04/18/2023 09:07:00.922 14929 41.23
04/18/2023 09:07:01.130 14922 41.23
04/18/2023 09:07:01.338 14928 41.23
04/18/2023 09:07:01.546 14916 41.23
04/18/2023 09:07:01.752 14920 41.23
04/18/2023 09:07:01.951 14913 41.23
04/18/2023 09:07:02.155 14920 41.23
04/18/2023 09:07:02.363 14925 41.23
04/18/2023 09:07:02.571 14936 41.23
04/18/2023 09:07:02.779 14917 41.23
04/18/2023 09:07:02.996 14922 41.23
04/18/2023 09:07:03.211 14926 41.23
04/18/2023 09:07:03.420 14918 41.23
04/18/2023 09:07:03.628 14919 41.23
04/18/2023 09:07:03.837 14924 41.23
04/18/2023 09:07:04.044 14915 41.23
04/18/2023 09:07:04.254 14927 41.23
04/18/2023 09:07:04.476 14926 41.23
04/18/2023 09:07:04.653 14921 41.23
04/18/2023 09:07:04.861 14921 41.23
04/18/2023 09:07:05.053 14929 41.23
04/18/2023 09:07:05.261 14919 41.23
04/18/2023 09:07:05.469 14926 41.23
04/18/2023 09:07:05.678 14919 41.23
04/18/2023 09:07:05.881 14923 41.23
04/18/2023 09:07:06.078 14933 41.23
04/18/2023 09:07:06.286 14918 41.23
04/18/2023 09:07:06.494 14935 41.23
04/18/2023 09:07:06.702 14922 41.23
04/18/2023 09:07:06.910 14913 41.23
04/18/2023 09:07:07.119 14921 41.23
04/18/2023 09:07:07.338 14910 41.23
04/18/2023 09:07:07.551 14924 41.23
04/18/2023 09:07:07.759 14926 41.23
04/18/2023 09:07:07.968 14928 41.23
04/18/2023 09:07:08.175 14918 41.23
04/18/2023 09:07:08.384 14922 41.23
04/18/2023 09:07:08.592 14922 41.23
04/18/2023 09:07:08.799 14922 41.23
04/18/2023 09:07:08.976 14921 41.23
04/18/2023 09:07:09.184 14926 41.23
04/18/2023 09:07:09.392 14930 41.23
04/18/2023 09:07:09.600 14929 41.23
04/18/2023 09:07:09.807 14933 41.23
04/18/2023 09:07:10.007 14934 41.23
04/18/2023 09:07:10.209 14934 41.23
04/18/2023 09:07:10.417 14927 41.23
04/18/2023 09:07:10.625 14924 41.23
04/18/2023 09:07:10.834 14926 41.23
04/18/2023 09:07:11.041 14929 41.23
04/18/2023 09:07:11.250 14930 41.23
04/18/2023 09:07:11.457 14921 41.23
04/18/2023 09:07:11.676 14925 41.23
04/18/2023 09:07:11.891 14920 41.23
04/18/2023 09:07:12.093 14929 41.23
04/18/2023 09:07:12.307 14935 41.23
04/18/2023 09:07:12.514 14933 41.23
04/18/2023 09:07:12.722 14932 41.23
04/18/2023 09:07:12.929 14918 41.23
04/18/2023 09:07:13.106 14924 41.23
04/18/2023 09:07:13.315 14921 41.23
04/18/2023 09:07:13.523 14932 41.23
04/18/2023 09:07:13.731 14925 41.23
04/18/2023 09:07:13.937 14929 41.23
04/18/2023 09:07:14.137 14926 41.23
04/18/2023 09:07:14.341 14913 41.23
04/18/2023 09:07:14.548 14934 41.23
04/18/2023 09:07:14.756 14918 41.23
04/18/2023 09:07:14.965 14925 41.23
04/18/2023 09:07:15.173 14924 41.23
04/18/2023 09:07:15.381 14922 41.23
04/18/2023 09:07:15.590 14928 41.23
04/18/2023 09:07:15.798 14931 41.23
04/18/2023 09:07:16.019 14927 41.23
04/18/2023 09:07:16.230 14923 41.23
04/18/2023 09:07:16.437 14922 41.23
04/18/2023 09:07:16.647 14937 41.23
04/18/2023 09:07:16.854 14927 41.23
04/18/2023 09:07:17.063 14930 41.23
04/18/2023 09:07:17.239 14925 41.23
04/18/2023 09:07:17.448 14921 41.23
