RAL10
Sampling=1
Gain=1
Zero_base=6877
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 10:07:40.540 1097 41.08
04/18/2023 10:07:40.699 1099 41.05
04/18/2023 10:07:40.907 1086 41.05
04/18/2023 10:07:41.117 1081 41.05
04/18/2023 10:07:41.324 1092 41.05
04/18/2023 10:07:41.533 1084 41.05
04/18/2023 10:07:41.741 1088 41.05
04/18/2023 10:07:41.949 1089 41.05
04/18/2023 10:07:42.157 1078 41.05
04/18/2023 10:07:42.365 1090 41.05
04/18/2023 10:07:42.572 1094 41.05
04/18/2023 10:07:42.782 1082 41.05
04/18/2023 10:07:42.990 1079 41.05
04/18/2023 10:07:43.198 1086 41.05
04/18/2023 10:07:43.405 1087 41.05
04/18/2023 10:07:43.615 1083 41.05
04/18/2023 10:07:43.822 1094 41.05
04/18/2023 10:07:44.031 1095 41.05
04/18/2023 10:07:44.247 1097 41.05
04/18/2023 10:07:44.463 1092 41.05
04/18/2023 10:07:44.630 1100 41.05
04/18/2023 10:07:44.832 1099 41.05
04/18/2023 10:07:45.041 1115 41.05
04/18/2023 10:07:45.263 1098 41.05
04/18/2023 10:07:45.457 1096 41.05
04/18/2023 10:07:45.680 1105 41.05
04/18/2023 10:07:45.873 1100 41.05
04/18/2023 10:07:46.080 1081 41.05
04/18/2023 10:07:46.289 1090 41.05
04/18/2023 10:07:46.494 1094 41.05
04/18/2023 10:07:46.706 1082 41.05
04/18/2023 10:07:46.914 1075 41.05
04/18/2023 10:07:47.121 1088 41.05
04/18/2023 10:07:47.330 1113 41.05
04/18/2023 10:07:47.538 1084 41.05
04/18/2023 10:07:47.746 1072 41.05
04/18/2023 10:07:47.955 1068 41.05
04/18/2023 10:07:48.163 1084 41.05
04/18/2023 10:07:48.381 1090 41.05
04/18/2023 10:07:48.595 1087 41.05
04/18/2023 10:07:48.755 1079 41.05
04/18/2023 10:07:48.964 1072 41.05
04/18/2023 10:07:49.171 1072 41.05
04/18/2023 10:07:49.379 1077 41.05
04/18/2023 10:07:49.585 1083 41.05
04/18/2023 10:07:49.796 1088 41.05
04/18/2023 10:07:50.005 1072 41.05
04/18/2023 10:07:50.213 1061 41.05
04/18/2023 10:07:50.419 1077 41.05
04/18/2023 10:07:50.622 1083 41.05
04/18/2023 10:07:50.836 1065 41.05
04/18/2023 10:07:51.045 1061 41.05
04/18/2023 10:07:51.253 1070 41.05
04/18/2023 10:07:51.461 1069 41.05
04/18/2023 10:07:51.674 1082 41.05
04/18/2023 10:07:51.877 1067 41.05
04/18/2023 10:07:52.086 1056 41.05
04/18/2023 10:07:52.294 1069 41.05
04/18/2023 10:07:52.515 1080 41.05
04/18/2023 10:07:52.726 1061 41.05
04/18/2023 10:07:52.886 1068 41.05
04/18/2023 10:07:53.095 1082 41.05
04/18/2023 10:07:53.302 1079 41.05
04/18/2023 10:07:53.510 1060 41.05
04/18/2023 10:07:53.720 1071 41.05
04/18/2023 10:07:53.927 1068 41.05
04/18/2023 10:07:54.135 1067 41.05
04/18/2023 10:07:54.344 1067 41.05
04/18/2023 10:07:54.547 1076 41.05
04/18/2023 10:07:54.759 1080 41.05
04/18/2023 10:07:54.984 1069 41.05
04/18/2023 10:07:55.191 1071 41.05
04/18/2023 10:07:55.384 1082 41.05
04/18/2023 10:07:55.593 1071 41.05
04/18/2023 10:07:55.801 1068 41.05
04/18/2023 10:07:56.008 1068 41.05
04/18/2023 10:07:56.218 1073 41.05
04/18/2023 10:07:56.433 1069 41.05
04/18/2023 10:07:56.651 1060 41.05
04/18/2023 10:07:56.809 1076 41.05
04/18/2023 10:07:57.017 1087 41.05
04/18/2023 10:07:57.226 1072 41.05
04/18/2023 10:07:57.433 1060 41.05
04/18/2023 10:07:57.643 1067 41.05
04/18/2023 10:07:57.850 1077 41.05
04/18/2023 10:07:58.059 1062 41.05
04/18/2023 10:07:58.267 1050 41.05
04/18/2023 10:07:58.476 1070 41.05
04/18/2023 10:07:58.677 1059 41.05
04/18/2023 10:07:58.892 1055 41.05
04/18/2023 10:07:59.100 1045 41.05
04/18/2023 10:07:59.308 1066 41.05
04/18/2023 10:07:59.516 1049 41.05
04/18/2023 10:07:59.725 1045 41.05
04/18/2023 10:07:59.933 1055 41.05
04/18/2023 10:08:00.141 1064 41.05
04/18/2023 10:08:00.350 1055 41.05
04/18/2023 10:08:00.570 1045 41.05
04/18/2023 10:08:00.781 1044 41.05
04/18/2023 10:08:00.942 1051 41.05
04/18/2023 10:08:01.149 1048 41.05
04/18/2023 10:08:01.357 1037 41.05
04/18/2023 10:08:01.567 1049 41.05
04/18/2023 10:08:01.774 1045 41.05
04/18/2023 10:08:01.981 1047 41.05
04/18/2023 10:08:02.189 1042 41.05
04/18/2023 10:08:02.398 1047 41.05
04/18/2023 10:08:02.603 1037 41.05
04/18/2023 10:08:02.810 1035 41.05
04/18/2023 10:08:03.024 1036 41.05
04/18/2023 10:08:03.232 1046 41.05
04/18/2023 10:08:03.440 1042 41.05
04/18/2023 10:08:03.647 1037 41.05
04/18/2023 10:08:03.856 1036 41.05
04/18/2023 10:08:04.081 1038 41.05
04/18/2023 10:08:04.272 1041 41.05
04/18/2023 10:08:04.485 1037 41.05
04/18/2023 10:08:04.703 1029 41.05
04/18/2023 10:08:04.865 1043 41.05
04/18/2023 10:08:05.074 1040 41.05
04/18/2023 10:08:05.281 1031 41.05
04/18/2023 10:08:05.489 1047 41.05
04/18/2023 10:08:05.693 1032 41.05
04/18/2023 10:08:05.904 1029 41.05
04/18/2023 10:08:06.112 1030 41.05
04/18/2023 10:08:06.321 1040 41.05
04/18/2023 10:08:06.528 1040 41.05
04/18/2023 10:08:06.733 1023 41.05
04/18/2023 10:08:06.945 1037 41.05
04/18/2023 10:08:07.154 1035 41.05
04/18/2023 10:08:07.360 1027 41.05
04/18/2023 10:08:07.565 1028 41.05
04/18/2023 10:08:07.772 1035 41.05
04/18/2023 10:08:07.983 1040 41.05
04/18/2023 10:08:08.194 1034 41.05
04/18/2023 10:08:08.410 1031 41.05
04/18/2023 10:08:08.627 1037 41.05
04/18/2023 10:08:08.835 1039 41.05
04/18/2023 10:08:08.999 1027 41.05
04/18/2023 10:08:09.202 1023 41.05
04/18/2023 10:08:09.411 1038 41.05
04/18/2023 10:08:09.619 1033 41.05
04/18/2023 10:08:09.827 1026 41.05
04/18/2023 10:08:10.036 1033 41.05
04/18/2023 10:08:10.261 1028 41.05
04/18/2023 10:08:10.468 1035 41.05
04/18/2023 10:08:10.675 1031 41.05
04/18/2023 10:08:10.868 1030 41.05
04/18/2023 10:08:11.077 1034 41.05
04/18/2023 10:08:11.290 1031 41.05
04/18/2023 10:08:11.493 1036 41.05
04/18/2023 10:08:11.701 1043 41.05
04/18/2023 10:08:11.910 1038 41.05
04/18/2023 10:08:12.118 1037 41.05
04/18/2023 10:08:12.325 1036 41.05
04/18/2023 10:08:12.545 1044 41.05
04/18/2023 10:08:12.757 1036 41.05
04/18/2023 10:08:12.928 1034 41.05
04/18/2023 10:08:13.126 1034 41.05
04/18/2023 10:08:13.335 1046 41.05
04/18/2023 10:08:13.547 1034 41.05
04/18/2023 10:08:13.750 1043 41.05
04/18/2023 10:08:13.959 1037 41.05
04/18/2023 10:08:14.167 1038 41.05
04/18/2023 10:08:14.376 1039 41.05
04/18/2023 10:08:14.583 1034 41.05
04/18/2023 10:08:14.791 1043 41.05
04/18/2023 10:08:15.001 1036 41.05
04/18/2023 10:08:15.208 1031 41.05
04/18/2023 10:08:15.417 1035 41.05
04/18/2023 10:08:15.625 1040 41.05
04/18/2023 10:08:15.833 1036 41.05
04/18/2023 10:08:16.040 1031 41.05
04/18/2023 10:08:16.250 1056 41.05
04/18/2023 10:08:16.463 1041 41.05
04/18/2023 10:08:16.681 1040 41.05
04/18/2023 10:08:16.890 1027 41.05
04/18/2023 10:08:17.055 1044 41.05
04/18/2023 10:08:17.259 1045 41.05
04/18/2023 10:08:17.467 1029 41.05
04/18/2023 10:08:17.674 1037 41.05
04/18/2023 10:08:17.882 1042 41.05
04/18/2023 10:08:18.089 1039 41.05
04/18/2023 10:08:18.299 1025 41.05
04/18/2023 10:08:18.507 1021 41.05
04/18/2023 10:08:18.715 1022 41.05
04/18/2023 10:08:18.924 1021 41.05
04/18/2023 10:08:19.132 1020 41.05
04/18/2023 10:08:19.341 1022 41.05
04/18/2023 10:08:19.548 1016 41.05
04/18/2023 10:08:19.757 1013 41.05
04/18/2023 10:08:19.965 1004 41.05
04/18/2023 10:08:20.177 1013 41.05
04/18/2023 10:08:20.381 1010 41.05
04/18/2023 10:08:20.599 1012 41.05
04/18/2023 10:08:20.813 996 41.05
04/18/2023 10:08:20.983 1000 41.05
04/18/2023 10:08:21.181 1011 41.05
04/18/2023 10:08:21.390 1006 41.05
04/18/2023 10:08:21.597 1002 41.05
04/18/2023 10:08:21.805 1002 41.05
04/18/2023 10:08:22.013 1005 41.05
04/18/2023 10:08:22.221 1000 41.05
04/18/2023 10:08:22.430 1007 41.05
04/18/2023 10:08:22.638 1004 41.05
04/18/2023 10:08:22.846 1006 41.05
04/18/2023 10:08:23.055 990 41.05
04/18/2023 10:08:23.263 1000 41.05
04/18/2023 10:08:23.471 1008 41.05
04/18/2023 10:08:23.680 995 41.05
04/18/2023 10:08:23.887 991 41.05
04/18/2023 10:08:24.096 995 41.02
04/18/2023 10:08:24.304 993 41.02
04/18/2023 10:08:24.522 999 41.02
04/18/2023 10:08:24.736 1002 41.02
04/18/2023 10:08:24.945 989 41.05
04/18/2023 10:08:25.110 994 41.02
04/18/2023 10:08:25.313 984 41.02
04/18/2023 10:08:25.522 984 41.02
04/18/2023 10:08:25.730 992 41.02
04/18/2023 10:08:25.937 982 41.02
04/18/2023 10:08:26.145 971 41.02
04/18/2023 10:08:26.354 981 41.02
04/18/2023 10:08:26.562 991 41.02
04/18/2023 10:08:26.770 998 41.02
04/18/2023 10:08:26.978 989 41.02
04/18/2023 10:08:27.186 1008 41.02
04/18/2023 10:08:27.395 1015 41.02
04/18/2023 10:08:27.603 998 41.02
04/18/2023 10:08:27.812 990 41.02
04/18/2023 10:08:28.019 1000 41.02
04/18/2023 10:08:28.228 1012 41.02
04/18/2023 10:08:28.436 998 41.02
04/18/2023 10:08:28.656 982 41.02
04/18/2023 10:08:28.868 986 41.02
04/18/2023 10:08:29.037 987 41.02
04/18/2023 10:08:29.236 974 41.02
