RAL10
Sampling=1
Gain=1
Zero_base=0
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 10:14:39.071 13224 41.20
04/18/2023 10:14:39.249 13234 41.17
04/18/2023 10:14:39.456 13232 41.17
04/18/2023 10:14:39.665 13240 41.17
04/18/2023 10:14:39.873 13243 41.17
04/18/2023 10:14:40.078 13239 41.17
04/18/2023 10:14:40.278 13241 41.17
04/18/2023 10:14:40.484 13231 41.17
04/18/2023 10:14:40.705 13224 41.20
04/18/2023 10:14:40.902 13223 41.20
04/18/2023 10:14:41.112 13222 41.20
04/18/2023 10:14:41.322 13222 41.20
04/18/2023 10:14:41.533 13231 41.20
04/18/2023 10:14:41.741 13237 41.20
04/18/2023 10:14:41.950 13232 41.20
04/18/2023 10:14:42.159 13228 41.20
04/18/2023 10:14:42.368 13231 41.20
04/18/2023 10:14:42.579 13230 41.20
04/18/2023 10:14:42.787 13241 41.20
04/18/2023 10:14:42.996 13227 41.20
04/18/2023 10:14:43.203 13237 41.20
04/18/2023 10:14:43.412 13225 41.20
04/18/2023 10:14:43.620 13224 41.20
04/18/2023 10:14:43.829 13224 41.20
04/18/2023 10:14:44.037 13223 41.20
04/18/2023 10:14:44.206 13226 41.20
04/18/2023 10:14:44.405 13223 41.20
04/18/2023 10:14:44.613 13228 41.20
04/18/2023 10:14:44.821 13222 41.20
04/18/2023 10:14:45.029 13225 41.20
04/18/2023 10:14:45.237 13239 41.20
04/18/2023 10:14:45.445 13225 41.20
04/18/2023 10:14:45.654 13229 41.20
04/18/2023 10:14:45.862 13225 41.20
04/18/2023 10:14:46.068 13225 41.20
04/18/2023 10:14:46.268 13232 41.20
04/18/2023 10:14:46.474 13221 41.20
04/18/2023 10:14:46.679 13219 41.20
04/18/2023 10:14:46.886 13213 41.20
04/18/2023 10:14:47.095 13226 41.20
04/18/2023 10:14:47.302 13208 41.20
04/18/2023 10:14:47.512 13228 41.20
04/18/2023 10:14:47.720 13225 41.20
04/18/2023 10:14:47.927 13211 41.20
04/18/2023 10:14:48.136 13223 41.20
04/18/2023 10:14:48.345 13227 41.20
04/18/2023 10:14:48.551 13219 41.20
04/18/2023 10:14:48.760 13208 41.20
04/18/2023 10:14:48.968 13223 41.20
04/18/2023 10:14:49.177 13226 41.20
04/18/2023 10:14:49.384 13213 41.20
04/18/2023 10:14:49.594 13210 41.20
04/18/2023 10:14:49.801 13221 41.20
04/18/2023 10:14:50.011 13225 41.20
04/18/2023 10:14:50.234 13212 41.20
04/18/2023 10:14:50.442 13218 41.20
04/18/2023 10:14:50.634 13200 41.20
04/18/2023 10:14:50.842 13214 41.20
04/18/2023 10:14:51.050 13211 41.20
04/18/2023 10:14:51.259 13217 41.20
04/18/2023 10:14:51.467 13215 41.20
04/18/2023 10:14:51.644 13217 41.20
04/18/2023 10:14:51.851 13219 41.20
04/18/2023 10:14:52.058 13210 41.20
04/18/2023 10:14:52.257 13212 41.20
04/18/2023 10:14:52.460 13219 41.20
04/18/2023 10:14:52.668 13214 41.20
04/18/2023 10:14:52.876 13219 41.20
04/18/2023 10:14:53.084 13204 41.20
04/18/2023 10:14:53.293 13217 41.20
04/18/2023 10:14:53.501 13210 41.20
04/18/2023 10:14:53.708 13208 41.20
04/18/2023 10:14:53.917 13210 41.20
04/18/2023 10:14:54.121 13212 41.20
04/18/2023 10:14:54.321 13212 41.20
04/18/2023 10:14:54.531 13216 41.20
04/18/2023 10:14:54.733 13210 41.20
04/18/2023 10:14:54.942 13212 41.20
04/18/2023 10:14:55.150 13207 41.20
04/18/2023 10:14:55.358 13209 41.20
04/18/2023 10:14:55.566 13229 41.20
04/18/2023 10:14:55.774 13219 41.20
04/18/2023 10:14:55.982 13211 41.20
04/18/2023 10:14:56.190 13202 41.20
04/18/2023 10:14:56.399 13207 41.20
04/18/2023 10:14:56.608 13210 41.17
04/18/2023 10:14:56.815 13203 41.17
04/18/2023 10:14:57.024 13216 41.17
04/18/2023 10:14:57.232 13212 41.17
04/18/2023 10:14:57.439 13218 41.17
04/18/2023 10:14:57.648 13207 41.17
04/18/2023 10:14:57.856 13224 41.17
04/18/2023 10:14:58.065 13207 41.17
04/18/2023 10:14:58.272 13204 41.17
04/18/2023 10:14:58.481 13210 41.17
04/18/2023 10:14:58.689 13197 41.17
04/18/2023 10:14:58.897 13211 41.17
04/18/2023 10:14:59.074 13199 41.17
04/18/2023 10:14:59.281 13201 41.17
04/18/2023 10:14:59.490 13198 41.17
04/18/2023 10:14:59.698 13211 41.17
04/18/2023 10:14:59.907 13205 41.17
04/18/2023 10:15:00.111 13208 41.17
04/18/2023 10:15:00.310 13212 41.17
04/18/2023 10:15:00.515 13210 41.17
04/18/2023 10:15:00.723 13202 41.17
04/18/2023 10:15:00.931 13204 41.17
04/18/2023 10:15:01.139 13203 41.17
04/18/2023 10:15:01.348 13209 41.17
04/18/2023 10:15:01.555 13197 41.17
04/18/2023 10:15:01.764 13207 41.17
04/18/2023 10:15:01.972 13214 41.17
04/18/2023 10:15:02.174 13210 41.17
04/18/2023 10:15:02.373 13200 41.20
04/18/2023 10:15:02.581 13219 41.20
04/18/2023 10:15:02.789 13217 41.20
04/18/2023 10:15:02.997 13206 41.20
04/18/2023 10:15:03.208 13209 41.20
04/18/2023 10:15:03.418 13215 41.20
04/18/2023 10:15:03.627 13212 41.20
04/18/2023 10:15:03.837 13207 41.20
04/18/2023 10:15:04.048 13209 41.20
04/18/2023 10:15:04.258 13212 41.20
04/18/2023 10:15:04.467 13219 41.20
04/18/2023 10:15:04.677 13215 41.20
04/18/2023 10:15:04.887 13205 41.17
04/18/2023 10:15:05.093 13217 41.17
04/18/2023 10:15:05.303 13214 41.17
04/18/2023 10:15:05.511 13202 41.17
04/18/2023 10:15:05.718 13209 41.17
04/18/2023 10:15:05.929 13208 41.17
04/18/2023 10:15:06.137 13214 41.17
04/18/2023 10:15:06.311 13215 41.17
04/18/2023 10:15:06.520 13219 41.17
04/18/2023 10:15:06.717 13217 41.17
04/18/2023 10:15:06.920 13217 41.20
04/18/2023 10:15:07.129 13206 41.17
04/18/2023 10:15:07.337 13212 41.17
04/18/2023 10:15:07.545 13212 41.17
04/18/2023 10:15:07.753 13200 41.17
04/18/2023 10:15:07.962 13200 41.17
04/18/2023 10:15:08.166 13200 41.17
04/18/2023 10:15:08.360 13205 41.17
04/18/2023 10:15:08.570 13203 41.17
04/18/2023 10:15:08.779 13206 41.17
04/18/2023 10:15:08.991 13200 41.17
04/18/2023 10:15:09.194 13199 41.17
04/18/2023 10:15:09.403 13195 41.17
04/18/2023 10:15:09.610 13202 41.17
04/18/2023 10:15:09.818 13199 41.17
04/18/2023 10:15:10.027 13192 41.17
04/18/2023 10:15:10.234 13182 41.17
04/18/2023 10:15:10.444 13191 41.17
04/18/2023 10:15:10.651 13181 41.17
04/18/2023 10:15:10.860 13194 41.17
04/18/2023 10:15:11.067 13203 41.17
04/18/2023 10:15:11.276 13201 41.17
04/18/2023 10:15:11.483 13197 41.17
04/18/2023 10:15:11.692 13198 41.17
04/18/2023 10:15:11.900 13211 41.17
04/18/2023 10:15:12.109 13201 41.17
04/18/2023 10:15:12.318 13192 41.17
04/18/2023 10:15:12.542 13198 41.17
04/18/2023 10:15:12.749 13200 41.17
04/18/2023 10:15:12.941 13197 41.17
04/18/2023 10:15:13.150 13191 41.17
04/18/2023 10:15:13.357 13192 41.17
04/18/2023 10:15:13.533 13194 41.17
04/18/2023 10:15:13.742 13187 41.17
04/18/2023 10:15:13.951 13189 41.17
04/18/2023 10:15:14.155 13197 41.17
04/18/2023 10:15:14.355 13197 41.17
04/18/2023 10:15:14.558 13191 41.17
04/18/2023 10:15:14.767 13212 41.17
04/18/2023 10:15:14.976 13191 41.17
04/18/2023 10:15:15.184 13188 41.17
04/18/2023 10:15:15.392 13184 41.17
04/18/2023 10:15:15.604 13194 41.17
04/18/2023 10:15:15.808 13189 41.17
04/18/2023 10:15:16.015 13183 41.17
04/18/2023 10:15:16.219 13186 41.17
04/18/2023 10:15:16.416 13204 41.17
04/18/2023 10:15:16.625 13198 41.17
04/18/2023 10:15:16.833 13197 41.17
04/18/2023 10:15:17.042 13193 41.17
04/18/2023 10:15:17.249 13206 41.17
04/18/2023 10:15:17.457 13197 41.17
04/18/2023 10:15:17.665 13192 41.17
04/18/2023 10:15:17.874 13192 41.17
04/18/2023 10:15:18.082 13200 41.17
04/18/2023 10:15:18.290 13186 41.17
04/18/2023 10:15:18.498 13180 41.17
04/18/2023 10:15:18.706 13194 41.17
04/18/2023 10:15:18.915 13193 41.17
04/18/2023 10:15:19.123 13189 41.17
04/18/2023 10:15:19.331 13193 41.17
04/18/2023 10:15:19.539 13192 41.17
04/18/2023 10:15:19.748 13187 41.17
04/18/2023 10:15:19.956 13171 41.17
04/18/2023 10:15:20.164 13185 41.17
04/18/2023 10:15:20.372 13192 41.17
04/18/2023 10:15:20.580 13188 41.17
04/18/2023 10:15:20.789 13179 41.17
04/18/2023 10:15:20.997 13181 41.17
04/18/2023 10:15:21.173 13183 41.17
04/18/2023 10:15:21.381 13180 41.17
04/18/2023 10:15:21.589 13180 41.17
04/18/2023 10:15:21.797 13188 41.17
04/18/2023 10:15:22.004 13184 41.17
04/18/2023 10:15:22.210 13179 41.17
04/18/2023 10:15:22.409 13193 41.17
04/18/2023 10:15:22.614 13200 41.17
04/18/2023 10:15:22.822 13191 41.17
04/18/2023 10:15:23.030 13190 41.17
04/18/2023 10:15:23.238 13192 41.17
04/18/2023 10:15:23.448 13196 41.17
04/18/2023 10:15:23.654 13177 41.17
04/18/2023 10:15:23.863 13197 41.17
04/18/2023 10:15:24.071 13193 41.17
04/18/2023 10:15:24.274 13201 41.17
04/18/2023 10:15:24.472 13191 41.17
04/18/2023 10:15:24.679 13198 41.17
04/18/2023 10:15:24.888 13190 41.17
04/18/2023 10:15:25.095 13184 41.17
04/18/2023 10:15:25.304 13189 41.17
04/18/2023 10:15:25.512 13191 41.17
04/18/2023 10:15:25.721 13194 41.17
04/18/2023 10:15:25.932 13187 41.17
04/18/2023 10:15:26.141 13194 41.17
04/18/2023 10:15:26.351 13203 41.17
04/18/2023 10:15:26.561 13185 41.17
04/18/2023 10:15:26.770 13190 41.17
04/18/2023 10:15:26.979 13189 41.17
04/18/2023 10:15:27.189 13185 41.17
04/18/2023 10:15:27.400 13198 41.17
04/18/2023 10:15:27.609 13194 41.17
04/18/2023 10:15:27.819 13188 41.17
04/18/2023 10:15:28.026 13191 41.17
04/18/2023 10:15:28.235 13189 41.17
04/18/2023 10:15:28.441 13189 41.17
04/18/2023 10:15:28.604 13191 41.17
04/18/2023 10:15:28.811 13187 41.17
04/18/2023 10:15:29.019 13185 41.17
04/18/2023 10:15:29.228 13186 41.17
04/18/2023 10:15:29.436 13185 41.17
04/18/2023 10:15:29.644 13186 41.17
04/18/2023 10:15:29.853 13191 41.17
04/18/2023 10:15:30.060 13187 41.17
04/18/2023 10:15:30.263 13198 41.17
04/18/2023 10:15:30.477 13194 41.17
04/18/2023 10:15:30.678 13198 41.17
04/18/2023 10:15:30.892 13196 41.17
04/18/2023 10:15:31.101 13203 41.17
04/18/2023 10:15:31.293 13194 41.17
04/18/2023 10:15:31.501 13193 41.17
04/18/2023 10:15:31.714 13194 41.17
04/18/2023 10:15:31.918 13189 41.17
04/18/2023 10:15:32.126 13181 41.17
04/18/2023 10:15:32.334 13176 41.17
04/18/2023 10:15:32.543 13164 41.17
