RAL10
Sampling=1
Gain=1
Zero_base=10518
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 08:54:39.824 1365 41.02
04/18/2023 08:54:40.031 1363 41.02
04/18/2023 08:54:40.243 1360 41.02
04/18/2023 08:54:40.452 1354 41.02
04/18/2023 08:54:40.650 1357 41.02
04/18/2023 08:54:40.851 1361 41.02
04/18/2023 08:54:41.052 1352 41.02
04/18/2023 08:54:41.267 1361 41.02
04/18/2023 08:54:41.475 1358 41.02
04/18/2023 08:54:41.684 1358 41.02
04/18/2023 08:54:41.896 1363 41.02
04/18/2023 08:54:42.108 1348 41.02
04/18/2023 08:54:42.323 1359 41.02
04/18/2023 08:54:42.531 1355 41.02
04/18/2023 08:54:42.740 1348 41.02
04/18/2023 08:54:42.949 1359 41.02
04/18/2023 08:54:43.151 1355 41.02
04/18/2023 08:54:43.333 1347 41.02
04/18/2023 08:54:43.541 1363 41.02
04/18/2023 08:54:43.749 1353 41.02
04/18/2023 08:54:43.957 1359 41.02
04/18/2023 08:54:44.162 1350 41.02
04/18/2023 08:54:44.371 1358 41.02
04/18/2023 08:54:44.581 1344 41.02
04/18/2023 08:54:44.783 1351 41.02
04/18/2023 08:54:44.982 1351 41.02
04/18/2023 08:54:45.208 1354 41.02
04/18/2023 08:54:45.427 1348 41.02
04/18/2023 08:54:45.621 1350 41.02
04/18/2023 08:54:45.829 1349 41.02
04/18/2023 08:54:46.038 1353 41.02
04/18/2023 08:54:46.246 1356 41.02
04/18/2023 08:54:46.459 1346 41.05
04/18/2023 08:54:46.679 1345 41.02
04/18/2023 08:54:46.849 1348 41.02
04/18/2023 08:54:47.046 1357 41.02
04/18/2023 08:54:47.254 1344 41.02
04/18/2023 08:54:47.457 1352 41.02
04/18/2023 08:54:47.666 1353 41.02
04/18/2023 08:54:47.879 1349 41.02
04/18/2023 08:54:48.087 1352 41.02
04/18/2023 08:54:48.294 1343 41.02
04/18/2023 08:54:48.503 1352 41.02
04/18/2023 08:54:48.709 1352 41.02
04/18/2023 08:54:48.919 1359 41.02
04/18/2023 08:54:49.127 1346 41.02
04/18/2023 08:54:49.335 1353 41.02
04/18/2023 08:54:49.548 1346 41.02
04/18/2023 08:54:49.767 1357 41.02
04/18/2023 08:54:49.977 1347 41.02
04/18/2023 08:54:50.185 1348 41.02
04/18/2023 08:54:50.392 1354 41.02
04/18/2023 08:54:50.569 1342 41.02
04/18/2023 08:54:50.777 1348 41.02
04/18/2023 08:54:50.981 1351 41.02
04/18/2023 08:54:51.178 1350 41.02
04/18/2023 08:54:51.386 1349 41.02
04/18/2023 08:54:51.594 1356 41.02
04/18/2023 08:54:51.803 1341 41.02
04/18/2023 08:54:52.026 1356 41.02
04/18/2023 08:54:52.218 1356 41.02
04/18/2023 08:54:52.427 1353 41.02
04/18/2023 08:54:52.634 1356 41.02
04/18/2023 08:54:52.853 1345 41.02
04/18/2023 08:54:53.066 1361 41.02
04/18/2023 08:54:53.276 1352 41.02
04/18/2023 08:54:53.483 1339 41.02
04/18/2023 08:54:53.691 1350 41.02
04/18/2023 08:54:53.899 1348 41.02
04/18/2023 08:54:54.075 1352 41.02
04/18/2023 08:54:54.285 1350 41.02
04/18/2023 08:54:54.492 1350 41.02
04/18/2023 08:54:54.701 1350 41.02
04/18/2023 08:54:54.909 1346 41.02
04/18/2023 08:54:55.109 1351 41.02
04/18/2023 08:54:55.309 1353 41.02
