RAL10
Sampling=1
Gain=1
Zero_base=2832
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 10:01:49.105 8396 41.11
04/18/2023 10:01:49.299 8377 41.11
04/18/2023 10:01:49.508 8391 41.11
04/18/2023 10:01:49.716 8380 41.11
04/18/2023 10:01:49.924 8383 41.11
04/18/2023 10:01:50.131 8392 41.11
04/18/2023 10:01:50.337 8388 41.11
04/18/2023 10:01:50.549 8393 41.11
04/18/2023 10:01:50.758 8386 41.11
04/18/2023 10:01:50.969 8384 41.11
04/18/2023 10:01:51.188 8383 41.11
04/18/2023 10:01:51.349 8396 41.11
04/18/2023 10:01:51.558 8398 41.11
04/18/2023 10:01:51.765 8392 41.11
04/18/2023 10:01:51.974 8389 41.11
04/18/2023 10:01:52.183 8380 41.11
04/18/2023 10:01:52.390 8374 41.11
04/18/2023 10:01:52.599 8378 41.11
04/18/2023 10:01:52.808 8378 41.11
04/18/2023 10:01:53.011 8376 41.11
04/18/2023 10:01:53.208 8379 41.11
04/18/2023 10:01:53.425 8376 41.11
04/18/2023 10:01:53.640 8384 41.11
04/18/2023 10:01:53.848 8371 41.11
04/18/2023 10:01:54.056 8370 41.11
04/18/2023 10:01:54.265 8372 41.11
04/18/2023 10:01:54.473 8373 41.11
04/18/2023 10:01:54.681 8376 41.11
04/18/2023 10:01:54.888 8379 41.11
04/18/2023 10:01:55.096 8380 41.11
04/18/2023 10:01:55.314 8379 41.11
04/18/2023 10:01:55.479 8377 41.11
04/18/2023 10:01:55.689 8378 41.11
04/18/2023 10:01:55.898 8368 41.11
04/18/2023 10:01:56.106 8370 41.11
04/18/2023 10:01:56.314 8369 41.11
04/18/2023 10:01:56.522 8366 41.11
04/18/2023 10:01:56.731 8363 41.11
04/18/2023 10:01:56.938 8366 41.11
04/18/2023 10:01:57.140 8360 41.11
04/18/2023 10:01:57.339 8359 41.11
04/18/2023 10:01:57.553 8370 41.11
04/18/2023 10:01:57.771 8362 41.11
04/18/2023 10:01:57.979 8356 41.11
04/18/2023 10:01:58.187 8366 41.11
04/18/2023 10:01:58.395 8368 41.11
04/18/2023 10:01:58.604 8376 41.11
04/18/2023 10:01:58.828 8361 41.11
