data_ora,rad,temperatura,elevazione
2022-12-23 02:45:48.120,5255,40.38,20.0
2022-12-23 02:45:48.323,5221,40.38,20.0
2022-12-23 02:45:48.542,5199,40.38,20.0
2022-12-23 02:45:48.745,5179,40.38,20.0
2022-12-23 02:45:48.948,5175,40.38,20.0
2022-12-23 02:45:49.167,5196,40.38,20.0
2022-12-23 02:45:49.385,5156,40.38,20.0
2022-12-23 02:45:49.588,5166,40.38,20.0
2022-12-23 02:45:49.792,5144,40.38,20.0
2022-12-23 02:45:50.010,5126,40.38,20.0
2022-12-23 02:45:50.213,5115,40.38,20.0
2022-12-23 02:45:50.417,5096,40.38,20.0
2022-12-23 02:45:50.635,5068,40.38,20.0
2022-12-23 02:45:50.854,5061,40.38,20.0
2022-12-23 02:45:51.026,5045,40.38,20.0
2022-12-23 02:45:51.229,5032,40.38,20.0
2022-12-23 02:45:51.432,5039,40.38,20.0
2022-12-23 02:45:51.635,5047,40.38,20.0
2022-12-23 02:45:51.838,5015,40.38,20.0
2022-12-23 02:45:52.057,5013,40.35,20.0
2022-12-23 02:45:52.260,4977,40.35,20.0
2022-12-23 02:45:52.463,4987,40.35,20.0
2022-12-23 02:45:52.682,4962,40.35,20.0
2022-12-23 02:45:52.885,4957,40.35,20.0
2022-12-23 02:45:53.104,4950,40.35,20.0
2022-12-23 02:45:53.291,4944,40.35,20.0
2022-12-23 02:45:53.510,4943,40.35,20.0
2022-12-23 02:45:53.713,4937,40.35,20.0
2022-12-23 02:45:53.916,4952,40.35,20.0
2022-12-23 02:45:54.135,4924,40.35,20.0
2022-12-23 02:45:54.354,4940,40.35,20.0
2022-12-23 02:45:54.557,4920,40.35,20.0
2022-12-23 02:45:54.776,4951,40.35,20.0
2022-12-23 02:45:54.979,4928,40.35,20.0
2022-12-23 02:45:55.151,4915,40.35,20.0
2022-12-23 02:45:55.354,4897,40.35,20.0
2022-12-23 02:45:55.557,4861,40.35,20.0
2022-12-23 02:45:55.760,4891,40.35,20.0
2022-12-23 02:45:55.963,4891,40.35,20.0
2022-12-23 02:45:56.182,4861,40.35,20.0
2022-12-23 02:45:56.385,4859,40.35,20.0
2022-12-23 02:45:56.588,4875,40.35,20.0
2022-12-23 02:45:56.791,4854,40.35,20.0
2022-12-23 02:45:57.010,4856,40.35,20.0
2022-12-23 02:45:57.213,4852,40.35,20.0
2022-12-23 02:45:57.416,4886,40.35,20.0
2022-12-23 02:45:57.635,4905,40.35,20.0
2022-12-23 02:45:57.838,4963,40.35,20.0
2022-12-23 02:45:58.057,4995,40.35,20.0
2022-12-23 02:45:58.260,5038,40.35,20.0
2022-12-23 02:45:58.479,5082,40.35,20.0
2022-12-23 02:45:58.682,5130,40.35,20.0
2022-12-23 02:45:58.885,5220,40.35,20.0
2022-12-23 02:45:59.104,5301,40.35,20.0
2022-12-23 02:45:59.323,5383,40.35,20.0
2022-12-23 02:45:59.479,5417,40.35,20.0
2022-12-23 02:45:59.698,5481,40.35,20.0
2022-12-23 02:45:59.901,5524,40.35,20.0
2022-12-23 02:46:00.104,5549,40.35,20.0
2022-12-23 02:46:00.307,5578,40.35,20.0
2022-12-23 02:46:00.526,5654,40.35,20.0
2022-12-23 02:46:00.729,5699,40.35,20.0
2022-12-23 02:46:00.916,5700,40.35,20.0
2022-12-23 02:46:01.135,5717,40.35,20.0
2022-12-23 02:46:01.338,5692,40.35,20.0
2022-12-23 02:46:01.541,5686,40.35,20.0
2022-12-23 02:46:01.760,5630,40.35,20.0
2022-12-23 02:46:01.979,5618,40.35,20.0
2022-12-23 02:46:02.182,5693,40.32,20.0
2022-12-23 02:46:02.385,5739,40.32,20.0
2022-12-23 02:46:02.604,5661,40.32,20.0
2022-12-23 02:46:02.807,5635,40.32,20.0
2022-12-23 02:46:03.010,5589,40.32,20.0
2022-12-23 02:46:03.213,5546,40.32,20.0
2022-12-23 02:46:03.447,5479,40.32,20.0
2022-12-23 02:46:03.604,5437,40.32,20.0
2022-12-23 02:46:03.807,5377,40.32,20.0
2022-12-23 02:46:04.026,5340,40.32,20.0
2022-12-23 02:46:04.229,5323,40.32,20.0
2022-12-23 02:46:04.432,5313,40.32,20.0
2022-12-23 02:46:04.650,5264,40.32,20.0
2022-12-23 02:46:04.854,5258,40.32,20.0
2022-12-23 02:46:05.057,5256,40.32,20.0
2022-12-23 02:46:05.275,5253,40.32,20.0
2022-12-23 02:46:05.479,5244,40.32,20.0
2022-12-23 02:46:05.682,5275,40.32,20.0
2022-12-23 02:46:05.885,5282,40.32,20.0
2022-12-23 02:46:06.104,5280,40.32,20.0
2022-12-23 02:46:06.307,5292,40.32,20.0
2022-12-23 02:46:06.510,5277,40.32,20.0
2022-12-23 02:46:06.729,5285,40.32,20.0
2022-12-23 02:46:06.932,5300,40.32,20.0
2022-12-23 02:46:07.150,5307,40.32,20.0
2022-12-23 02:46:07.354,5308,40.32,20.0
2022-12-23 02:46:07.572,5294,40.32,20.0
2022-12-23 02:46:07.744,5304,40.32,20.0
2022-12-23 02:46:07.947,5287,40.32,20.0
2022-12-23 02:46:08.150,5271,40.32,20.0
2022-12-23 02:46:08.369,5248,40.32,20.0
2022-12-23 02:46:08.557,5238,40.29,20.0
2022-12-23 02:46:08.760,5217,40.29,20.0
2022-12-23 02:46:08.978,5229,40.29,20.0
2022-12-23 02:46:09.197,5238,40.29,20.0
2022-12-23 02:46:09.385,5199,40.29,20.0
2022-12-23 02:46:09.603,5202,40.29,20.0
2022-12-23 02:46:09.807,5197,40.29,20.0
2022-12-23 02:46:10.010,5164,40.29,20.0
2022-12-23 02:46:10.213,5172,40.29,20.0
2022-12-23 02:46:10.432,5171,40.29,20.0
2022-12-23 02:46:10.650,5164,40.29,20.0
2022-12-23 02:46:10.853,5152,40.29,20.0
2022-12-23 02:46:11.072,5132,40.29,20.0
2022-12-23 02:46:11.275,5146,40.29,20.0
2022-12-23 02:46:11.478,5165,40.29,20.0
2022-12-23 02:46:11.697,5197,40.29,20.0
2022-12-23 02:46:11.900,5211,40.29,20.0
2022-12-23 02:46:12.072,5222,40.29,20.0
2022-12-23 02:46:12.275,5214,40.29,20.0
2022-12-23 02:46:12.494,5202,40.29,20.0
2022-12-23 02:46:12.713,5211,40.29,20.0
2022-12-23 02:46:12.900,5242,40.29,20.0
2022-12-23 02:46:13.119,5204,40.29,20.0
2022-12-23 02:46:13.322,5245,40.29,20.0
2022-12-23 02:46:13.525,5245,40.26,20.0
2022-12-23 02:46:13.713,5227,40.26,20.0
2022-12-23 02:46:13.931,5244,40.26,20.0
2022-12-23 02:46:14.129,5259,40.26,20.0
2022-12-23 02:46:14.363,5231,40.26,20.0
2022-12-23 02:46:14.567,5232,40.29,20.0
2022-12-23 02:46:14.770,5246,40.26,20.0
2022-12-23 02:46:14.988,5254,40.26,20.0
2022-12-23 02:50:12.168,3984,40.35,25.0
2022-12-23 02:50:12.371,3987,40.35,25.0
2022-12-23 02:50:12.574,3990,40.35,25.0
2022-12-23 02:50:12.793,4008,40.32,25.0
2022-12-23 02:50:12.996,4008,40.32,25.0
2022-12-23 02:50:13.215,4007,40.32,25.0
2022-12-23 02:50:13.434,4014,40.32,25.0
2022-12-23 02:50:13.637,4008,40.32,25.0
2022-12-23 02:50:13.809,3996,40.32,25.0
2022-12-23 02:50:14.012,4018,40.32,25.0
2022-12-23 02:50:14.225,4001,40.32,25.0
2022-12-23 02:50:14.413,3989,40.32,25.0
2022-12-23 02:50:14.631,3985,40.32,25.0
2022-12-23 02:50:14.850,3985,40.32,25.0
2022-12-23 02:50:15.038,3983,40.32,25.0
2022-12-23 02:50:15.256,3957,40.32,25.0
2022-12-23 02:50:15.459,3969,40.32,25.0
