               data_ora   rad  temperatura  elevazione
2022-12-25 02:34:54.128  4499        40.32        20.0
2022-12-25 02:34:54.331  4493        40.32        20.0
2022-12-25 02:34:54.550  4511        40.29        20.0
2022-12-25 02:34:54.753  4502        40.32        20.0
2022-12-25 02:34:54.956  4506        40.32        20.0
2022-12-25 02:34:55.160  4506        40.32        20.0
2022-12-25 02:34:55.363  4507        40.32        20.0
2022-12-25 02:34:55.560  4524        40.32        20.0
2022-12-25 02:34:55.795  4517        40.32        20.0
2022-12-25 02:34:55.998  4512        40.32        20.0
2022-12-25 02:34:56.201  4516        40.32        20.0
2022-12-25 02:34:56.420  4526        40.32        20.0
2022-12-25 02:34:56.623  4522        40.32        20.0
2022-12-25 02:34:56.857  4509        40.32        20.0
2022-12-25 02:34:57.045  4541        40.32        20.0
2022-12-25 02:34:57.248  4527        40.32        20.0
2022-12-25 02:34:57.467  4528        40.32        20.0
2022-12-25 02:34:57.670  4535        40.32        20.0
2022-12-25 02:34:57.841  4522        40.32        20.0
2022-12-25 02:34:58.045  4524        40.32        20.0
2022-12-25 02:34:58.248  4538        40.32        20.0
2022-12-25 02:34:58.466  4534        40.32        20.0
2022-12-25 02:34:58.670  4535        40.32        20.0
2022-12-25 02:34:58.873  4527        40.32        20.0
2022-12-25 02:34:59.076  4543        40.32        20.0
2022-12-25 02:34:59.295  4519        40.32        20.0
2022-12-25 02:34:59.513  4531        40.32        20.0
2022-12-25 02:34:59.701  4537        40.32        20.0
2022-12-25 02:34:59.920  4543        40.32        20.0
2022-12-25 02:35:00.123  4523        40.32        20.0
2022-12-25 02:35:00.326  4545        40.32        20.0
2022-12-25 02:35:00.545  4539        40.32        20.0
2022-12-25 02:35:00.748  4546        40.32        20.0
2022-12-25 02:35:00.966  4545        40.32        20.0
2022-12-25 02:35:01.170  4545        40.32        20.0
2022-12-25 02:35:01.388  4537        40.32        20.0
2022-12-25 02:35:01.591  4528        40.32        20.0
2022-12-25 02:35:01.795  4543        40.32        20.0
2022-12-25 02:35:01.982  4533        40.32        20.0
2022-12-25 02:35:02.185  4535        40.32        20.0
2022-12-25 02:35:02.388  4541        40.35        20.0
2022-12-25 02:35:02.591  4548        40.35        20.0
2022-12-25 02:35:02.810  4522        40.35        20.0
2022-12-25 02:35:03.013  4533        40.35        20.0
2022-12-25 02:35:03.201  4522        40.35        20.0
2022-12-25 02:35:03.419  4526        40.35        20.0
2022-12-25 02:35:03.623  4535        40.35        20.0
2022-12-25 02:35:03.826  4533        40.35        20.0
2022-12-25 02:35:04.029  4538        40.35        20.0
2022-12-25 02:35:04.248  4514        40.35        20.0
2022-12-25 02:35:04.466  4518        40.35        20.0
2022-12-25 02:35:04.669  4497        40.35        20.0
2022-12-25 02:35:04.888  4488        40.35        20.0
2022-12-25 02:35:05.091  4515        40.35        20.0
2022-12-25 02:35:05.294  4507        40.35        20.0
2022-12-25 02:35:05.513  4503        40.35        20.0
2022-12-25 02:35:05.716  4508        40.35        20.0
2022-12-25 02:35:05.919  4493        40.35        20.0
2022-12-25 02:35:06.091  4509        40.35        20.0
2022-12-25 02:35:06.310  4485        40.35        20.0
2022-12-25 02:35:06.513  4493        40.35        20.0
2022-12-25 02:35:06.716  4498        40.35        20.0
2022-12-25 02:35:06.935  4500        40.35        20.0
2022-12-25 02:35:07.138  4503        40.35        20.0
2022-12-25 02:35:07.341  4510        40.35        20.0
2022-12-25 02:35:07.544  4495        40.35        20.0
2022-12-25 02:35:07.763  4506        40.35        20.0
2022-12-25 02:35:07.966  4496        40.35        20.0
2022-12-25 02:35:08.169  4498        40.35        20.0
2022-12-25 02:35:08.388  4487        40.35        20.0
2022-12-25 02:35:08.591  4502        40.35        20.0
2022-12-25 02:35:08.794  4500        40.35        20.0
2022-12-25 02:35:09.013  4489        40.35        20.0
2022-12-25 02:35:09.216  4513        40.35        20.0
2022-12-25 02:35:09.419  4502        40.35        20.0
2022-12-25 02:35:09.638  4513        40.35        20.0
2022-12-25 02:35:09.857  4520        40.38        20.0
2022-12-25 02:35:10.060  4522        40.35        20.0
2022-12-25 02:35:10.232  4501        40.35        20.0
2022-12-25 02:35:10.435  4502        40.35        20.0
2022-12-25 02:35:10.654  4527        40.38        20.0
2022-12-25 02:35:10.857  4498        40.38        20.0
2022-12-25 02:35:11.044  4513        40.38        20.0
2022-12-25 02:35:11.294  4503        40.38        20.0
2022-12-25 02:35:11.466  4501        40.38        20.0
2022-12-25 02:35:11.669  4497        40.38        20.0
2022-12-25 02:35:11.888  4507        40.38        20.0
2022-12-25 02:35:12.091  4511        40.38        20.0
2022-12-25 02:35:12.294  4518        40.38        20.0
2022-12-25 02:35:12.513  4505        40.38        20.0
2022-12-25 02:35:12.716  4513        40.38        20.0
2022-12-25 02:35:12.919  4513        40.38        20.0
2022-12-25 02:35:13.138  4521        40.38        20.0
2022-12-25 02:35:13.404  4507        40.38        20.0
2022-12-25 02:35:13.560  4523        40.35        20.0
2022-12-25 02:35:13.763  4523        40.35        20.0
2022-12-25 02:35:13.982  4509        40.35        20.0
2022-12-25 02:35:14.185  4527        40.35        20.0
2022-12-25 02:35:14.388  4513        40.35        20.0
2022-12-25 02:35:14.560  4528        40.35        20.0
2022-12-25 02:35:14.778  4533        40.35        20.0
2022-12-25 02:35:14.982  4528        40.35        20.0
2022-12-25 02:35:15.185  4509        40.35        20.0
2022-12-25 02:35:15.403  4524        40.35        20.0
2022-12-25 02:35:15.607  4518        40.35        20.0
2022-12-25 02:35:15.810  4527        40.35        20.0
