               data_ora   rad  temperatura
2022-12-29 03:18:51.015  3939        40.32
2022-12-29 03:18:51.218  3947        40.32
2022-12-29 03:18:51.421  3951        40.32
2022-12-29 03:18:51.640  3944        40.32
2022-12-29 03:18:51.843  3930        40.32
2022-12-29 03:18:52.093  3938        40.32
2022-12-29 03:18:52.265  3949        40.32
2022-12-29 03:18:52.499  3943        40.32
2022-12-29 03:18:52.687  3941        40.29
2022-12-29 03:18:52.906  3930        40.29
2022-12-29 03:18:53.077  3952        40.32
2022-12-29 03:18:53.281  3947        40.29
2022-12-29 03:18:53.484  3938        40.29
2022-12-29 03:18:53.687  3943        40.32
2022-12-29 03:18:53.906  3943        40.29
2022-12-29 03:18:54.093  3924        40.29
2022-12-29 03:18:54.312  3913        40.29
2022-12-29 03:18:54.515  3939        40.29
2022-12-29 03:18:54.718  3924        40.29
2022-12-29 03:18:54.921  3942        40.29
2022-12-29 03:18:55.140  3935        40.32
2022-12-29 03:18:55.343  3934        40.32
2022-12-29 03:18:55.546  3945        40.32
2022-12-29 03:18:55.765  3928        40.32
2022-12-29 03:18:55.984  3917        40.29
2022-12-29 03:18:56.187  3937        40.29
2022-12-29 03:18:56.405  3939        40.29
2022-12-29 03:18:56.609  3922        40.29
2022-12-29 03:18:56.812  3921        40.29
2022-12-29 03:18:57.015  3922        40.29
2022-12-29 03:18:57.202  3910        40.29
2022-12-29 03:18:57.405  3917        40.29
2022-12-29 03:18:57.609  3917        40.29
2022-12-29 03:18:57.827  3937        40.29
2022-12-29 03:18:58.030  3915        40.29
2022-12-29 03:18:58.234  3920        40.29
2022-12-29 03:18:58.437  3931        40.29
2022-12-29 03:18:58.655  3912        40.29
2022-12-29 03:18:58.859  3898        40.29
2022-12-29 03:18:59.046  3901        40.29
2022-12-29 03:18:59.265  3902        40.29
2022-12-29 03:18:59.483  3909        40.29
2022-12-29 03:18:59.702  3900        40.29
2022-12-29 03:18:59.890  3900        40.29
2022-12-29 03:19:00.108  3903        40.29
2022-12-29 03:19:00.312  3898        40.29
2022-12-29 03:19:00.515  3900        40.29
2022-12-29 03:19:00.733  3902        40.29
2022-12-29 03:19:00.952  3876        40.29
2022-12-29 03:19:01.155  3901        40.29
2022-12-29 03:19:01.327  3906        40.29
2022-12-29 03:19:01.530  3886        40.29
2022-12-29 03:19:01.733  3908        40.29
2022-12-29 03:19:01.937  3891        40.29
2022-12-29 03:19:02.171  3898        40.29
2022-12-29 03:19:02.374  3901        40.29
2022-12-29 03:19:02.562  3895        40.29
2022-12-29 03:19:02.780  3905        40.29
2022-12-29 03:19:02.983  3897        40.29
2022-12-29 03:19:03.187  3887        40.29
2022-12-29 03:19:03.390  3881        40.29
2022-12-29 03:19:03.608  3893        40.29
2022-12-29 03:19:03.812  3886        40.29
2022-12-29 03:19:04.015  3874        40.29
2022-12-29 03:19:04.233  3887        40.29
2022-12-29 03:19:04.452  3872        40.29
2022-12-29 03:19:04.655  3897        40.29
2022-12-29 03:19:04.874  3893        40.29
2022-12-29 03:19:05.077  3903        40.32
2022-12-29 03:19:05.249  3904        40.32
2022-12-29 03:19:05.452  3893        40.32
2022-12-29 03:19:05.671  3902        40.32
2022-12-29 03:19:05.905  3922        40.32
2022-12-29 03:19:06.077  3907        40.32
2022-12-29 03:19:06.280  3904        40.32
2022-12-29 03:19:06.483  3910        40.32
2022-12-29 03:19:06.686  3911        40.32
2022-12-29 03:19:06.905  3909        40.32
2022-12-29 03:19:07.108  3913        40.32
2022-12-29 03:19:07.311  3920        40.32
2022-12-29 03:19:07.514  3912        40.32
2022-12-29 03:19:07.733  3920        40.32
2022-12-29 03:19:07.952  3910        40.32
2022-12-29 03:19:08.155  3918        40.32
2022-12-29 03:19:08.374  3918        40.32
2022-12-29 03:19:08.577  3901        40.32
2022-12-29 03:19:08.780  3890        40.32
2022-12-29 03:19:08.983  3917        40.32
2022-12-29 03:19:09.202  3937        40.32
2022-12-29 03:19:09.374  3929        40.32
