               data_ora   rad  temperatura elevazione
2023-04-02 22:44:17.116 10326        41.32         20
2023-04-02 22:44:17.317 10316        41.32         20
2023-04-02 22:44:17.519 10257        41.32         20
2023-04-02 22:44:17.727 10218        41.32         20
2023-04-02 22:44:17.938 10137        41.32         20
2023-04-02 22:44:18.155 10074        41.32         20
2023-04-02 22:44:18.368 10011        41.32         20
2023-04-02 22:44:18.576  9955        41.32         20
2023-04-02 22:44:18.784  9903        41.32         20
2023-04-02 22:44:18.992  9833        41.32         20
2023-04-02 22:44:19.199  9749        41.32         20
2023-04-02 22:44:19.409  9709        41.32         20
2023-04-02 22:44:19.616  9638        41.32         20
2023-04-02 22:44:19.825  9577        41.32         20
2023-04-02 22:44:20.001  9563        41.32         20
2023-04-02 22:44:20.209  9490        41.32         20
2023-04-02 22:44:20.417  9447        41.32         20
2023-04-02 22:44:20.626  9426        41.32         20
2023-04-02 22:44:20.834  9375        41.32         20
2023-04-02 22:44:21.042  9333        41.32         20
2023-04-02 22:44:21.244  9319        41.32         20
2023-04-02 22:44:21.442  9273        41.32         20
2023-04-02 22:44:21.651  9239        41.32         20
2023-04-02 22:44:21.858  9169        41.32         20
2023-04-02 22:44:22.067  9149        41.32         20
2023-04-02 22:44:22.284  9124        41.32         20
2023-04-02 22:44:22.499  9092        41.32         20
2023-04-02 22:44:22.707  9048        41.32         20
2023-04-02 22:44:22.916  9028        41.32         20
2023-04-02 22:44:23.124  8993        41.32         20
2023-04-02 22:44:23.333  8948        41.32         20
2023-04-02 22:44:23.540  8919        41.32         20
2023-04-02 22:44:23.749  8921        41.32         20
2023-04-02 22:44:23.926  8897        41.32         20
2023-04-02 22:44:24.150  8894        41.32         20
2023-04-02 22:44:24.357  8900        41.32         20
2023-04-02 22:44:24.549  8898        41.32         20
2023-04-02 22:44:24.757  8849        41.32         20
2023-04-02 22:44:24.966  8867        41.32         20
2023-04-02 22:44:25.171  8867        41.32         20
2023-04-02 22:44:25.370  8880        41.32         20
2023-04-02 22:44:25.575  8970        41.32         20
2023-04-02 22:44:25.784  9000        41.32         20
2023-04-02 22:44:25.990  9056        41.32         20
2023-04-02 22:44:26.199  9069        41.32         20
2023-04-02 22:44:26.414  9078        41.32         20
2023-04-02 22:44:26.631  9131        41.32         20
2023-04-02 22:44:26.840  9149        41.32         20
2023-04-02 22:44:27.048  9144        41.32         20
2023-04-02 22:44:27.256  9203        41.32         20
2023-04-02 22:44:27.465  9181        41.32         20
2023-04-02 22:44:27.673  9231        41.32         20
2023-04-02 22:44:27.881  9283        41.32         20
2023-04-02 22:44:28.057  9289        41.32         20
2023-04-02 22:44:28.266  9321        41.32         20
2023-04-02 22:44:28.474  9360        41.32         20
2023-04-02 22:44:28.682  9378        41.32         20
2023-04-02 22:44:28.890  9413        41.32         20
2023-04-02 22:44:29.097  9422        41.32         20
2023-04-02 22:44:29.298  9445        41.32         20
2023-04-02 22:44:29.498  9477        41.32         20
2023-04-02 22:44:29.706  9491        41.32         20
2023-04-02 22:44:29.913  9493        41.32         20
2023-04-02 22:44:30.122  9576        41.32         20
2023-04-02 22:44:30.331  9630        41.32         20
2023-04-02 22:44:30.542  9688        41.32         20
2023-04-02 22:44:30.759  9757        41.32         20
2023-04-02 22:44:30.970  9819        41.32         20
2023-04-02 22:44:31.179  9876        41.32         20
2023-04-02 22:44:31.388  9926        41.32         20
2023-04-02 22:44:31.596  9905        41.32         20
2023-04-02 22:44:31.803  9929        41.32         20
2023-04-02 22:44:32.012  9905        41.32         20
2023-04-02 22:44:32.188  9901        41.32         20
2023-04-02 22:44:32.397  9930        41.32         20
2023-04-02 22:44:32.605  9941        41.29         20
2023-04-02 22:44:32.813  9924        41.32         20
2023-04-02 22:44:33.020  9912        41.32         20
2023-04-02 22:44:33.225  9898        41.32         20
2023-04-02 22:44:33.425  9895        41.32         20
2023-04-02 22:44:33.630  9922        41.32         20
2023-04-02 22:44:33.836  9901        41.32         20
2023-04-02 22:44:34.063  9913        41.32         20
2023-04-02 22:44:34.271  9918        41.32         20
2023-04-02 22:44:34.478  9937        41.32         20
2023-04-02 22:44:34.668  9897        41.29         20
2023-04-02 22:44:34.887  9931        41.29         20
2023-04-02 22:44:35.102  9937        41.29         20
2023-04-02 22:44:35.311  9948        41.29         20
2023-04-02 22:44:35.519  9960        41.32         20
2023-04-02 22:44:35.727  9925        41.29         20
2023-04-02 22:44:35.936  9896        41.29         20
2023-04-02 22:44:36.144  9912        41.29         20
2023-04-02 22:44:36.320  9879        41.29         20
2023-04-02 22:44:36.528  9896        41.29         20
2023-04-02 22:44:36.737  9898        41.29         20
2023-04-02 22:44:36.942  9902        41.29         20
2023-04-02 22:44:37.153  9925        41.29         20
2023-04-02 22:44:37.353  9891        41.29         20
2023-04-02 22:44:37.553  9873        41.29         20
2023-04-02 22:44:37.762  9886        41.32         20
2023-04-02 22:44:37.970  9865        41.29         20
2023-04-02 22:44:38.178  9864        41.32         20
2023-04-02 22:44:38.386  9907        41.32         20
2023-04-02 22:44:38.594  9885        41.29         20
2023-04-02 22:44:38.803  9845        41.32         20
2023-04-02 22:44:39.018  9861        41.32         20
2023-04-02 22:44:39.235  9888        41.32         20
2023-04-02 22:44:39.443  9881        41.32         20
2023-04-02 22:44:39.651  9947        41.29         20
2023-04-02 22:44:39.860  9988        41.32         20
2023-04-02 22:44:40.068  9935        41.32         20
2023-04-02 22:44:40.275  9963        41.32         20
2023-04-02 22:44:40.452  9952        41.32         20
2023-04-02 22:44:40.660  9943        41.32         20
2023-04-02 22:44:40.868  9959        41.32         20
2023-04-02 22:44:41.077  9944        41.32         20
2023-04-02 22:44:41.282  9914        41.32         20
2023-04-02 22:44:41.481  9908        41.32         20
2023-04-02 22:44:41.685  9894        41.32         20
2023-04-02 22:44:41.894  9907        41.32         20
2023-04-02 22:44:42.100  9883        41.32         20
2023-04-02 22:44:42.310  9878        41.32         20
2023-04-02 22:44:42.517  9902        41.32         20
2023-04-02 22:44:42.726  9904        41.32         20
2023-04-02 22:44:42.934  9901        41.32         20
2023-04-02 22:44:43.142  9920        41.32         20
2023-04-02 22:44:43.362  9908        41.32         20
2023-04-02 22:44:43.575  9880        41.32         20
2023-04-02 22:44:43.783  9905        41.32         20
2023-04-02 22:44:43.992  9908        41.32         20
2023-04-02 22:44:44.200  9928        41.32         20
2023-04-02 22:44:44.407  9910        41.32         20
2023-04-02 22:44:44.584  9910        41.32         20
2023-04-02 22:44:44.792  9882        41.32         20
2023-04-02 22:44:45.000  9921        41.32         20
2023-04-02 22:44:45.207  9905        41.32         20
2023-04-02 22:44:45.408  9876        41.32         20
2023-04-02 22:44:45.608  9870        41.32         20
2023-04-02 22:44:45.817  9884        41.32         20
2023-04-02 22:44:46.025  9895        41.32         20
2023-04-02 22:44:46.233  9891        41.32         20
2023-04-02 22:44:46.441  9900        41.32         20
2023-04-02 22:44:46.649  9932        41.32         20
2023-04-02 22:44:46.858  9931        41.32         20
2023-04-02 22:44:47.065  9936        41.32         20
2023-04-02 22:44:47.274  9945        41.32         20
2023-04-02 22:44:47.487  9981        41.32         20
2023-04-02 22:44:47.704  9999        41.32         20
2023-04-02 22:44:47.914 10017        41.32         20
2023-04-02 22:44:48.123 10018        41.32         20
2023-04-02 22:44:48.331  9988        41.32         20
2023-04-02 22:44:48.539 10014        41.32         20
2023-04-02 22:44:48.715 10002        41.32         20
2023-04-02 22:44:48.923  9981        41.32         20
2023-04-02 22:44:49.132  9999        41.35         20
2023-04-02 22:44:49.337 10002        41.32         20
2023-04-02 22:44:49.536  9998        41.35         20
2023-04-02 22:44:49.740 10000        41.35         20
2023-04-02 22:44:49.949 10010        41.35         20
2023-04-02 22:44:50.157  9971        41.35         20
2023-04-02 22:44:50.364  9949        41.35         20
2023-04-02 22:44:50.573  9919        41.35         20
2023-04-02 22:44:50.782  9921        41.35         20
2023-04-02 22:44:50.989  9940        41.32         20
2023-04-02 22:44:51.198  9955        41.32         20
2023-04-02 22:44:51.406  9972        41.32         20
2023-04-02 22:44:51.619  9943        41.32         20
2023-04-02 22:44:51.839  9900        41.32         20
2023-04-02 22:44:52.046  9910        41.32         20
2023-04-02 22:44:52.254  9924        41.32         20
2023-04-02 22:44:52.463  9914        41.32         20
2023-04-02 22:44:52.671  9911        41.32         20
2023-04-02 22:44:52.847  9879        41.32         20
2023-04-02 22:44:53.055  9865        41.32         20
