               data_ora   rad  temperatura elevazione
2023-04-06 23:06:35.178  5426        40.35         20
2023-04-06 23:06:35.386  5430        40.35         20
2023-04-06 23:06:35.605  5402        40.35         20
2023-04-06 23:06:35.819  5418        40.35         20
2023-04-06 23:06:36.027  5416        40.35         20
2023-04-06 23:06:36.236  5426        40.35         20
2023-04-06 23:06:36.408  5420        40.35         20
2023-04-06 23:06:36.607  5412        40.35         20
2023-04-06 23:06:36.811  5425        40.35         20
2023-04-06 23:06:37.020  5399        40.35         20
2023-04-06 23:06:37.228  5391        40.35         20
2023-04-06 23:06:37.435  5410        40.35         20
2023-04-06 23:06:37.644  5414        40.35         20
2023-04-06 23:06:37.853  5412        40.35         20
2023-04-06 23:06:38.061  5428        40.35         20
2023-04-06 23:06:38.269  5414        40.35         20
2023-04-06 23:06:38.478  5425        40.35         20
2023-04-06 23:06:38.686  5407        40.35         20
2023-04-06 23:06:38.894  5408        40.35         20
2023-04-06 23:06:39.102  5423        40.35         20
2023-04-06 23:06:39.310  5419        40.35         20
2023-04-06 23:06:39.526  5417        40.35         20
2023-04-06 23:06:39.742  5421        40.35         20
2023-04-06 23:06:39.951  5407        40.35         20
2023-04-06 23:06:40.159  5405        40.35         20
2023-04-06 23:06:40.329  5415        40.35         20
2023-04-06 23:06:40.527  5411        40.35         20
2023-04-06 23:06:40.735  5403        40.35         20
2023-04-06 23:06:40.943  5400        40.35         20
2023-04-06 23:06:41.151  5403        40.35         20
2023-04-06 23:06:41.359  5395        40.35         20
2023-04-06 23:06:41.583  5385        40.35         20
2023-04-06 23:06:41.791  5375        40.35         20
2023-04-06 23:06:41.984  5363        40.35         20
2023-04-06 23:06:42.190  5384        40.35         20
2023-04-06 23:06:42.400  5380        40.35         20
2023-04-06 23:06:42.608  5379        40.35         20
2023-04-06 23:06:42.816  5391        40.35         20
2023-04-06 23:06:43.025  5389        40.35         20
2023-04-06 23:06:43.233  5378        40.35         20
2023-04-06 23:06:43.444  5372        40.35         20
2023-04-06 23:06:43.662  5357        40.35         20
2023-04-06 23:06:43.873  5382        40.35         20
2023-04-06 23:06:44.082  5378        40.35         20
2023-04-06 23:06:44.250  5363        40.35         20
2023-04-06 23:06:44.449  5372        40.35         20
2023-04-06 23:06:44.658  5385        40.35         20
2023-04-06 23:06:44.866  5369        40.35         20
2023-04-06 23:06:45.075  5372        40.35         20
2023-04-06 23:06:45.283  5387        40.35         20
2023-04-06 23:06:45.491  5377        40.35         20
2023-04-06 23:06:45.699  5375        40.35         20
2023-04-06 23:06:45.908  5393        40.35         20
2023-04-06 23:06:46.116  5385        40.35         20
2023-04-06 23:06:46.324  5426        40.35         20
2023-04-06 23:06:46.531  5421        40.35         20
2023-04-06 23:06:46.740  5420        40.35         20
2023-04-06 23:06:46.949  5425        40.35         20
2023-04-06 23:06:47.157  5444        40.35         20
2023-04-06 23:06:47.368  5430        40.35         20
2023-04-06 23:06:47.587  5425        40.32         20
2023-04-06 23:06:47.797  5429        40.32         20
2023-04-06 23:06:48.005  5426        40.32         20
2023-04-06 23:06:48.171  5451        40.32         20
2023-04-06 23:06:48.373  5439        40.32         20
2023-04-06 23:06:48.581  5440        40.32         20
2023-04-06 23:06:48.791  5442        40.35         20
2023-04-06 23:06:48.999  5441        40.35         20
2023-04-06 23:06:49.207  5449        40.35         20
2023-04-06 23:06:49.414  5455        40.35         20
2023-04-06 23:06:49.623  5454        40.35         20
2023-04-06 23:06:49.830  5452        40.35         20
2023-04-06 23:06:50.039  5466        40.35         20
2023-04-06 23:06:50.247  5442        40.35         20
2023-04-06 23:06:50.456  5464        40.35         20
2023-04-06 23:06:50.663  5459        40.35         20
2023-04-06 23:06:50.872  5486        40.35         20
2023-04-06 23:06:51.079  5485        40.35         20
2023-04-06 23:06:51.289  5483        40.35         20
2023-04-06 23:06:51.504  5491        40.35         20
2023-04-06 23:06:51.721  5512        40.35         20
2023-04-06 23:06:51.930  5490        40.35         20
2023-04-06 23:06:52.090  5504        40.35         20
2023-04-06 23:06:52.314  5498        40.35         20
2023-04-06 23:06:52.522  5502        40.35         20
2023-04-06 23:06:52.730  5509        40.35         20
2023-04-06 23:06:52.922  5498        40.35         20
2023-04-06 23:06:53.131  5490        40.35         20
2023-04-06 23:06:53.339  5491        40.35         20
2023-04-06 23:06:53.547  5514        40.35         20
2023-04-06 23:06:53.752  5504        40.35         20
2023-04-06 23:06:53.963  5519        40.35         20
2023-04-06 23:06:54.170  5502        40.35         20
2023-04-06 23:06:54.379  5503        40.35         20
2023-04-06 23:06:54.586  5505        40.35         20
2023-04-06 23:06:54.796  5512        40.35         20
2023-04-06 23:06:55.003  5521        40.35         20
2023-04-06 23:06:55.212  5509        40.35         20
2023-04-06 23:06:55.424  5520        40.35         20
2023-04-06 23:06:55.644  5535        40.35         20
2023-04-06 23:06:55.853  5508        40.32         20
2023-04-06 23:06:56.012  5532        40.35         20
2023-04-06 23:06:56.221  5528        40.35         20
2023-04-06 23:06:56.429  5538        40.35         20
2023-04-06 23:06:56.636  5537        40.32         20
2023-04-06 23:06:56.844  5522        40.32         20
2023-04-06 23:06:57.054  5523        40.32         20
2023-04-06 23:06:57.262  5535        40.32         20
2023-04-06 23:06:57.470  5549        40.32         20
2023-04-06 23:06:57.674  5524        40.32         20
2023-04-06 23:06:57.887  5534        40.32         20
2023-04-06 23:06:58.094  5529        40.32         20
2023-04-06 23:06:58.303  5535        40.32         20
2023-04-06 23:06:58.511  5526        40.35         20
2023-04-06 23:06:58.720  5549        40.32         20
2023-04-06 23:06:58.926  5549        40.32         20
2023-04-06 23:06:59.136  5537        40.32         20
2023-04-06 23:06:59.344  5528        40.32         20
2023-04-06 23:06:59.563  5540        40.32         20
2023-04-06 23:06:59.776  5553        40.32         20
2023-04-06 23:06:59.937  5544        40.32         20
2023-04-06 23:07:00.144  5527        40.32         20
2023-04-06 23:07:00.352  5523        40.32         20
2023-04-06 23:07:00.561  5526        40.32         20
2023-04-06 23:07:00.768  5524        40.32         20
2023-04-06 23:07:00.975  5529        40.32         20
2023-04-06 23:07:01.185  5525        40.32         20
2023-04-06 23:07:01.394  5542        40.32         20
2023-04-06 23:07:01.595  5533        40.32         20
2023-04-06 23:07:01.810  5561        40.32         20
2023-04-06 23:07:02.017  5546        40.32         20
2023-04-06 23:07:02.227  5549        40.32         20
2023-04-06 23:07:02.434  5547        40.32         20
2023-04-06 23:07:02.642  5541        40.32         20
2023-04-06 23:07:02.850  5533        40.32         20
2023-04-06 23:07:03.058  5531        40.32         20
2023-04-06 23:07:03.271  5550        40.32         20
2023-04-06 23:07:03.490  5548        40.32         20
2023-04-06 23:07:03.655  5549        40.32         20
2023-04-06 23:07:03.860  5564        40.32         20
2023-04-06 23:07:04.068  5566        40.32         20
2023-04-06 23:07:04.276  5559        40.32         20
2023-04-06 23:07:04.484  5571        40.32         20
2023-04-06 23:07:04.693  5574        40.32         20
2023-04-06 23:07:04.901  5588        40.32         20
2023-04-06 23:07:05.109  5576        40.32         20
2023-04-06 23:07:05.311  5562        40.32         20
2023-04-06 23:07:05.519  5569        40.32         20
2023-04-06 23:07:05.727  5550        40.32         20
2023-04-06 23:07:05.934  5560        40.32         20
2023-04-06 23:07:06.148  5560        40.32         20
2023-04-06 23:07:06.356  5559        40.32         20
2023-04-06 23:07:06.564  5564        40.32         20
2023-04-06 23:07:06.773  5564        40.32         20
2023-04-06 23:07:06.984  5559        40.32         20
2023-04-06 23:07:07.202  5562        40.32         20
2023-04-06 23:07:07.411  5538        40.32         20
2023-04-06 23:07:07.584  5551        40.32         20
2023-04-06 23:07:07.781  5564        40.32         20
2023-04-06 23:07:07.989  5565        40.32         20
2023-04-06 23:07:08.190  5568        40.32         20
2023-04-06 23:07:08.405  5594        40.32         20
2023-04-06 23:07:08.613  5572        40.32         20
2023-04-06 23:07:08.822  5569        40.32         20
2023-04-06 23:07:09.029  5572        40.32         20
2023-04-06 23:07:09.238  5565        40.32         20
2023-04-06 23:07:09.447  5555        40.32         20
2023-04-06 23:07:09.654  5589        40.32         20
2023-04-06 23:07:09.863  5578        40.32         20
2023-04-06 23:07:10.071  5566        40.32         20
2023-04-06 23:07:10.279  5568        40.32         20
2023-04-06 23:07:10.487  5572        40.32         20
2023-04-06 23:07:10.692  5568        40.32         20
2023-04-06 23:07:10.908  5571        40.32         20
2023-04-06 23:07:11.127  5577        40.32         20
2023-04-06 23:07:11.335  5581        40.32         20
2023-04-06 23:07:11.508  5554        40.32         20
2023-04-06 23:07:11.707  5566        40.32         20
2023-04-06 23:07:11.912  5550        40.32         20
2023-04-06 23:07:12.120  5574        40.32         20
2023-04-06 23:07:12.329  5571        40.32         20
2023-04-06 23:07:12.537  5575        40.32         20
2023-04-06 23:07:12.745  5563        40.32         20
2023-04-06 23:07:12.953  5581        40.32         20
2023-04-06 23:07:13.162  5564        40.32         20
2023-04-06 23:07:13.370  5563        40.32         20
2023-04-06 23:07:13.578  5564        40.32         20
2023-04-06 23:07:13.802  5579        40.32         20
2023-04-06 23:07:14.010  5592        40.32         20
2023-04-06 23:07:14.218  5588        40.32         20
2023-04-06 23:07:14.411  5592        40.32         20
2023-04-06 23:07:14.619  5600        40.32         20
2023-04-06 23:07:14.832  5608        40.32         20
2023-04-06 23:07:15.051  5606        40.32         20
2023-04-06 23:07:15.259  5639        40.32         20
2023-04-06 23:07:15.429  5652        40.32         20
2023-04-06 23:07:15.628  5647        40.32         20
2023-04-06 23:07:15.836  5657        40.32         20
2023-04-06 23:07:16.044  5670        40.32         20
2023-04-06 23:07:16.251  5664        40.32         20
2023-04-06 23:07:16.461  5677        40.32         20
2023-04-06 23:07:16.668  5681        40.32         20
2023-04-06 23:07:16.876  5673        40.32         20
2023-04-06 23:07:17.084  5669        40.32         20
2023-04-06 23:07:17.293  5669        40.32         20
2023-04-06 23:07:17.501  5672        40.32         20
2023-04-06 23:07:17.710  5657        40.32         20
2023-04-06 23:07:17.918  5650        40.32         20
2023-04-06 23:07:18.126  5653        40.32         20
2023-04-06 23:07:18.334  5640        40.32         20
2023-04-06 23:07:18.543  5636        40.32         20
2023-04-06 23:07:18.751  5619        40.32         20
2023-04-06 23:07:18.968  5632        40.32         20
2023-04-06 23:07:19.183  5619        40.32         20
2023-04-06 23:07:19.350  5612        40.32         20
2023-04-06 23:07:19.551  5630        40.32         20
2023-04-06 23:07:19.760  5636        40.32         20
2023-04-06 23:07:19.968  5641        40.32         20
2023-04-06 23:07:20.175  5658        40.32         20
2023-04-06 23:07:20.384  5660        40.32         20
2023-04-06 23:07:20.592  5655        40.32         20
2023-04-06 23:07:20.800  5649        40.32         20
2023-04-06 23:07:21.009  5664        40.32         20
2023-04-06 23:07:21.216  5639        40.32         20
2023-04-06 23:07:21.440  5662        40.32         20
2023-04-06 23:07:21.648  5652        40.32         20
2023-04-06 23:07:21.839  5668        40.32         20
2023-04-06 23:07:22.047  5654        40.32         20
2023-04-06 23:07:22.257  5676        40.32         20
2023-04-06 23:07:22.465  5673        40.32         20
2023-04-06 23:07:22.674  5671        40.35         20
2023-04-06 23:07:22.893  5690        40.35         20
2023-04-06 23:07:23.106  5701        40.32         20
2023-04-06 23:07:23.271  5704        40.32         20
2023-04-06 23:07:23.473  5698        40.32         20
2023-04-06 23:07:23.682  5699        40.32         20
2023-04-06 23:07:23.890  5705        40.32         20
2023-04-06 23:07:24.099  5727        40.32         20
2023-04-06 23:07:24.307  5727        40.32         20
2023-04-06 23:07:24.516  5747        40.32         20
2023-04-06 23:07:24.724  5756        40.32         20
2023-04-06 23:07:24.932  5764        40.35         20
2023-04-06 23:07:25.137  5785        40.35         20
2023-04-06 23:07:25.349  5798        40.35         20
2023-04-06 23:07:25.556  5784        40.35         20
2023-04-06 23:07:25.764  5787        40.35         20
2023-04-06 23:07:25.972  5809        40.35         20
2023-04-06 23:07:26.181  5789        40.35         20
2023-04-06 23:07:26.390  5797        40.35         20
2023-04-06 23:07:26.596  5817        40.35         20
2023-04-06 23:07:26.811  5802        40.35         20
2023-04-06 23:07:27.030  5793        40.35         20
2023-04-06 23:07:27.190  5779        40.35         20
2023-04-06 23:07:27.399  5762        40.35         20
2023-04-06 23:07:27.606  5764        40.35         20
2023-04-06 23:07:27.815  5768        40.35         20
2023-04-06 23:07:28.023  5755        40.35         20
2023-04-06 23:07:28.231  5756        40.35         20
2023-04-06 23:07:28.440  5737        40.35         20
2023-04-06 23:07:28.647  5735        40.35         20
2023-04-06 23:07:28.852  5728        40.35         20
2023-04-06 23:07:29.048  5730        40.35         20
2023-04-06 23:07:29.268  5761        40.35         20
2023-04-06 23:07:29.480  5728        40.35         20
2023-04-06 23:07:29.689  5735        40.35         20
2023-04-06 23:07:29.897  5737        40.35         20
2023-04-06 23:07:30.120  5725        40.35         20
2023-04-06 23:07:30.329  5716        40.35         20
2023-04-06 23:07:30.535  5710        40.35         20
2023-04-06 23:07:30.730  5714        40.35         20
2023-04-06 23:07:30.944  5698        40.35         20
2023-04-06 23:07:31.114  5740        40.35         20
2023-04-06 23:07:31.321  5735        40.35         20
2023-04-06 23:07:31.530  5733        40.35         20
2023-04-06 23:07:31.739  5710        40.35         20
2023-04-06 23:07:31.946  5725        40.35         20
2023-04-06 23:07:32.155  5718        40.38         20
2023-04-06 23:07:32.362  5721        40.35         20
2023-04-06 23:07:32.571  5701        40.35         20
2023-04-06 23:07:32.773  5717        40.38         20
2023-04-06 23:07:32.972  5724        40.38         20
2023-04-06 23:07:33.189  5713        40.38         20
2023-04-06 23:07:33.405  5719        40.38         20
2023-04-06 23:07:33.612  5715        40.38         20
2023-04-06 23:07:33.819  5694        40.38         20
2023-04-06 23:07:34.026  5716        40.38         20
2023-04-06 23:07:34.236  5732        40.38         20
2023-04-06 23:07:34.443  5702        40.38         20
2023-04-06 23:07:34.652  5719        40.38         20
2023-04-06 23:07:34.864  5716        40.38         20
2023-04-06 23:07:35.037  5705        40.38         20
2023-04-06 23:07:35.245  5696        40.38         20
2023-04-06 23:07:35.453  5706        40.35         20
2023-04-06 23:07:35.661  5713        40.35         20
2023-04-06 23:07:35.870  5701        40.35         20
2023-04-06 23:07:36.078  5711        40.35         20
2023-04-06 23:07:36.286  5699        40.35         20
2023-04-06 23:07:36.493  5710        40.35         20
2023-04-06 23:07:36.694  5711        40.35         20
2023-04-06 23:07:36.895  5701        40.35         20
2023-04-06 23:07:37.109  5707        40.35         20
2023-04-06 23:07:37.327  5701        40.35         20
2023-04-06 23:07:37.535  5716        40.35         20
2023-04-06 23:07:37.743  5714        40.35         20
2023-04-06 23:07:37.950  5712        40.35         20
2023-04-06 23:07:38.160  5709        40.35         20
2023-04-06 23:07:38.368  5732        40.35         20
2023-04-06 23:07:38.576  5747        40.35         20
2023-04-06 23:07:38.784  5724        40.35         20
2023-04-06 23:07:39.000  5718        40.35         20
2023-04-06 23:07:39.169  5736        40.35         20
2023-04-06 23:07:39.376  5742        40.35         20
2023-04-06 23:07:39.585  5729        40.35         20
2023-04-06 23:07:39.792  5752        40.35         20
2023-04-06 23:07:40.001  5754        40.35         20
2023-04-06 23:07:40.209  5770        40.35         20
2023-04-06 23:07:40.415  5736        40.35         20
2023-04-06 23:07:40.614  5732        40.35         20
2023-04-06 23:07:40.817  5739        40.35         20
2023-04-06 23:07:41.027  5743        40.35         20
2023-04-06 23:07:41.244  5743        40.35         20
2023-04-06 23:07:41.459  5745        40.35         20
2023-04-06 23:07:41.667  5740        40.35         20
2023-04-06 23:07:41.874  5741        40.38         20
2023-04-06 23:07:42.083  5718        40.35         20
2023-04-06 23:07:42.292  5711        40.35         20
2023-04-06 23:07:42.501  5694        40.35         20
2023-04-06 23:07:42.709  5698        40.35         20
2023-04-06 23:07:42.915  5683        40.35         20
2023-04-06 23:07:43.093  5701        40.35         20
2023-04-06 23:07:43.301  5714        40.35         20
2023-04-06 23:07:43.509  5690        40.35         20
2023-04-06 23:07:43.717  5695        40.35         20
2023-04-06 23:07:43.924  5698        40.35         20
2023-04-06 23:07:44.133  5719        40.35         20
2023-04-06 23:07:44.335  5711        40.35         20
2023-04-06 23:07:44.531  5702        40.35         20
2023-04-06 23:07:44.743  5710        40.35         20
2023-04-06 23:07:44.951  5680        40.35         20
2023-04-06 23:07:45.159  5693        40.38         20
2023-04-06 23:07:45.377  5686        40.35         20
2023-04-06 23:07:45.591  5680        40.35         20
2023-04-06 23:07:45.800  5678        40.35         20
2023-04-06 23:07:46.008  5674        40.38         20
2023-04-06 23:07:46.214  5641        40.38         20
2023-04-06 23:07:46.424  5639        40.38         20
2023-04-06 23:07:46.632  5629        40.38         20
2023-04-06 23:07:46.839  5645        40.38         20
2023-04-06 23:07:47.016  5661        40.35         20
2023-04-06 23:07:47.224  5656        40.35         20
2023-04-06 23:07:47.432  5650        40.35         20
2023-04-06 23:07:47.641  5648        40.35         20
2023-04-06 23:07:47.848  5655        40.35         20
2023-04-06 23:07:48.056  5657        40.38         20
2023-04-06 23:07:48.256  5672        40.38         20
2023-04-06 23:07:48.456  5657        40.38         20
2023-04-06 23:07:48.666  5690        40.38         20
2023-04-06 23:07:48.872  5677        40.38         20
2023-04-06 23:07:49.082  5689        40.38         20
2023-04-06 23:07:49.295  5694        40.38         20
2023-04-06 23:07:49.512  5701        40.38         20
2023-04-06 23:07:49.722  5682        40.38         20
2023-04-06 23:07:49.930  5692        40.38         20
2023-04-06 23:07:50.139  5689        40.38         20
