               data_ora  rad  temperatura elevazione
2023-04-07 23:21:14.197 4949        40.32         20
2023-04-07 23:21:14.405 4981        40.32         20
2023-04-07 23:21:14.613 4979        40.32         20
2023-04-07 23:21:14.822 4972        40.32         20
2023-04-07 23:21:15.030 4982        40.32         20
2023-04-07 23:21:15.233 4995        40.32         20
2023-04-07 23:21:15.434 4995        40.32         20
2023-04-07 23:21:15.636 5011        40.32         20
2023-04-07 23:21:15.854 5013        40.32         20
2023-04-07 23:21:16.071 5019        40.32         20
2023-04-07 23:21:16.278 5000        40.32         20
2023-04-07 23:21:16.487 5016        40.32         20
2023-04-07 23:21:16.695 5020        40.32         20
2023-04-07 23:21:16.903 4999        40.32         20
2023-04-07 23:21:17.112 5003        40.32         20
2023-04-07 23:21:17.320 5003        40.32         20
2023-04-07 23:21:17.528 4989        40.32         20
2023-04-07 23:21:17.703 4974        40.32         20
2023-04-07 23:21:17.911 4967        40.32         20
2023-04-07 23:21:18.120 4950        40.32         20
2023-04-07 23:21:18.328 4916        40.32         20
2023-04-07 23:21:18.537 4905        40.32         20
2023-04-07 23:21:18.744 4885        40.32         20
2023-04-07 23:21:18.953 4859        40.32         20
2023-04-07 23:21:19.155 4846        40.32         20
2023-04-07 23:21:19.354 4830        40.32         20
2023-04-07 23:21:19.562 4812        40.32         20
2023-04-07 23:21:19.778 4784        40.32         20
2023-04-07 23:21:19.993 4779        40.32         20
2023-04-07 23:21:20.202 4781        40.32         20
2023-04-07 23:21:20.410 4786        40.32         20
2023-04-07 23:21:20.619 4777        40.32         20
2023-04-07 23:21:20.827 4792        40.32         20
2023-04-07 23:21:21.034 4808        40.32         20
2023-04-07 23:21:21.242 4823        40.32         20
2023-04-07 23:21:21.452 4828        40.32         20
2023-04-07 23:21:21.627 4845        40.32         20
2023-04-07 23:21:21.836 4873        40.32         20
2023-04-07 23:21:22.044 4911        40.32         20
2023-04-07 23:21:22.252 4951        40.32         20
2023-04-07 23:21:22.460 4977        40.32         20
2023-04-07 23:21:22.668 5006        40.32         20
2023-04-07 23:21:22.876 5024        40.32         20
2023-04-07 23:21:23.077 5046        40.32         20
2023-04-07 23:21:23.277 5037        40.32         20
2023-04-07 23:21:23.485 5059        40.32         20
2023-04-07 23:21:23.703 5050        40.32         20
2023-04-07 23:21:23.918 5079        40.32         20
2023-04-07 23:21:24.142 5074        40.32         20
2023-04-07 23:21:24.350 5059        40.32         20
2023-04-07 23:21:24.558 5045        40.32         20
2023-04-07 23:21:24.750 5053        40.32         20
2023-04-07 23:21:24.958 5035        40.32         20
2023-04-07 23:21:25.166 5013        40.32         20
2023-04-07 23:21:25.373 5020        40.32         20
2023-04-07 23:21:25.549 4992        40.32         20
2023-04-07 23:21:25.759 4987        40.32         20
2023-04-07 23:21:25.966 4974        40.32         20
2023-04-07 23:21:26.175 4955        40.32         20
2023-04-07 23:21:26.381 4950        40.32         20
2023-04-07 23:21:26.591 4948        40.32         20
2023-04-07 23:21:26.797 4936        40.32         20
2023-04-07 23:21:26.996 4943        40.32         20
2023-04-07 23:21:27.199 4923        40.32         20
2023-04-07 23:21:27.409 4929        40.32         20
2023-04-07 23:21:27.616 4933        40.32         20
2023-04-07 23:21:27.835 4919        40.32         20
2023-04-07 23:21:28.048 4936        40.32         20
2023-04-07 23:21:28.257 4959        40.32         20
2023-04-07 23:21:28.465 4959        40.32         20
2023-04-07 23:21:28.673 4957        40.32         20
2023-04-07 23:21:28.881 4950        40.32         20
2023-04-07 23:21:29.090 4940        40.32         20
2023-04-07 23:21:29.298 4947        40.32         20
2023-04-07 23:21:29.475 4945        40.32         20
2023-04-07 23:21:29.683 4928        40.32         20
2023-04-07 23:21:29.890 4928        40.32         20
2023-04-07 23:21:30.099 4921        40.32         20
