               data_ora   rad  temperatura elevazione
2023-04-08 12:53:05.161  7932        40.32         20
2023-04-08 12:53:05.382  7926        40.32         20
2023-04-08 12:53:05.595  7917        40.32         20
2023-04-08 12:53:05.803  7923        40.32         20
2023-04-08 12:53:06.011  7921        40.32         20
2023-04-08 12:53:06.219  7919        40.32         20
2023-04-08 12:53:06.427  7937        40.32         20
2023-04-08 12:53:06.604  7952        40.32         20
2023-04-08 12:53:06.812  7950        40.32         20
2023-04-08 12:53:07.021  7906        40.32         20
2023-04-08 12:53:07.228  7909        40.32         20
2023-04-08 12:53:07.430  7906        40.32         20
2023-04-08 12:53:07.629  7914        40.32         20
2023-04-08 12:53:07.838  7907        40.32         20
2023-04-08 12:53:08.046  7924        40.32         20
2023-04-08 12:53:08.252  7900        40.32         20
2023-04-08 12:53:08.462  7886        40.32         20
2023-04-08 12:53:08.670  7853        40.32         20
2023-04-08 12:53:08.877  7843        40.32         20
2023-04-08 12:53:09.087  7850        40.32         20
2023-04-08 12:53:09.295  7826        40.32         20
2023-04-08 12:53:09.512  7816        40.32         20
2023-04-08 12:53:09.727  7830        40.32         20
2023-04-08 12:53:09.935  7820        40.32         20
2023-04-08 12:53:10.144  7837        40.32         20
2023-04-08 12:53:10.352  7826        40.32         20
2023-04-08 12:53:10.560  7821        40.32         20
2023-04-08 12:53:10.735  7807        40.32         20
2023-04-08 12:53:10.944  7839        40.32         20
2023-04-08 12:53:11.149  7833        40.32         20
2023-04-08 12:53:11.348  7833        40.32         20
2023-04-08 12:53:11.553  7845        40.32         20
2023-04-08 12:53:11.761  7835        40.32         20
2023-04-08 12:53:11.970  7849        40.32         20
2023-04-08 12:53:12.178  7850        40.32         20
2023-04-08 12:53:12.386  7850        40.32         20
2023-04-08 12:53:12.594  7830        40.32         20
2023-04-08 12:53:12.801  7806        40.32         20
2023-04-08 12:53:13.010  7813        40.32         20
2023-04-08 12:53:13.219  7791        40.32         20
2023-04-08 12:53:13.425  7826        40.32         20
2023-04-08 12:53:13.640  7800        40.32         20
2023-04-08 12:53:13.856  7812        40.32         20
2023-04-08 12:53:14.067  7826        40.32         20
2023-04-08 12:53:14.275  7846        40.32         20
2023-04-08 12:53:14.483  7845        40.32         20
2023-04-08 12:53:14.658  7842        40.35         20
2023-04-08 12:53:14.866  7845        40.35         20
2023-04-08 12:53:15.069  7845        40.35         20
2023-04-08 12:53:15.267  7849        40.35         20
2023-04-08 12:53:15.475  7852        40.35         20
2023-04-08 12:53:15.684  7866        40.35         20
2023-04-08 12:53:15.892  7881        40.35         20
2023-04-08 12:53:16.100  7890        40.35         20
2023-04-08 12:53:16.308  7873        40.35         20
2023-04-08 12:53:16.517  7884        40.35         20
2023-04-08 12:53:16.725  7889        40.35         20
2023-04-08 12:53:16.933  7842        40.35         20
2023-04-08 12:53:17.141  7845        40.35         20
2023-04-08 12:53:17.348  7843        40.35         20
2023-04-08 12:53:17.558  7867        40.35         20
2023-04-08 12:53:17.766  7860        40.35         20
2023-04-08 12:53:17.978  7836        40.35         20
2023-04-08 12:53:18.197  7845        40.35         20
2023-04-08 12:53:18.406  7852        40.35         20
2023-04-08 12:53:18.614  7858        40.38         20
2023-04-08 12:53:18.788  7845        40.38         20
2023-04-08 12:53:18.989  7847        40.38         20
2023-04-08 12:53:19.191  7844        40.35         20
2023-04-08 12:53:19.399  7846        40.38         20
2023-04-08 12:53:19.607  7855        40.38         20
2023-04-08 12:53:19.816  7857        40.38         20
2023-04-08 12:53:20.024  7835        40.38         20
2023-04-08 12:53:20.233  7841        40.38         20
2023-04-08 12:53:20.440  7857        40.38         20
2023-04-08 12:53:20.646  7864        40.38         20
2023-04-08 12:53:20.856  7871        40.38         20
2023-04-08 12:53:21.065  7867        40.38         20
2023-04-08 12:53:21.288  7867        40.38         20
2023-04-08 12:53:21.497  7868        40.38         20
2023-04-08 12:53:21.704  7871        40.38         20
2023-04-08 12:53:21.898  7864        40.38         20
2023-04-08 12:53:22.106  7846        40.38         20
2023-04-08 12:53:22.315  7940        40.38         20
2023-04-08 12:53:22.534  7908        40.38         20
2023-04-08 12:53:22.746  7925        40.38         20
2023-04-08 12:53:22.907  7936        40.38         20
2023-04-08 12:53:23.114  7920        40.38         20
2023-04-08 12:53:23.324  7912        40.38         20
2023-04-08 12:53:23.531  7909        40.38         20
2023-04-08 12:53:23.740  7921        40.38         20
2023-04-08 12:53:23.948  7951        40.38         20
2023-04-08 12:53:24.156  7924        40.38         20
2023-04-08 12:53:24.363  7920        40.38         20
2023-04-08 12:53:24.570  7930        40.38         20
2023-04-08 12:53:24.774  7909        40.38         20
2023-04-08 12:53:24.988  7916        40.38         20
2023-04-08 12:53:25.197  7901        40.38         20
2023-04-08 12:53:25.405  7912        40.38         20
2023-04-08 12:53:25.613  7889        40.38         20
2023-04-08 12:53:25.822  7918        40.38         20
2023-04-08 12:53:26.030  7934        40.38         20
2023-04-08 12:53:26.238  7899        40.38         20
2023-04-08 12:53:26.446  7924        40.38         20
2023-04-08 12:53:26.662  7920        40.38         20
2023-04-08 12:53:26.830  7918        40.38         20
2023-04-08 12:53:27.039  7887        40.38         20
2023-04-08 12:53:27.248  7878        40.38         20
2023-04-08 12:53:27.470  7883        40.38         20
2023-04-08 12:53:27.679  7868        40.38         20
2023-04-08 12:53:27.870  7877        40.38         20
2023-04-08 12:53:28.080  7857        40.38         20
2023-04-08 12:53:28.288  7879        40.38         20
2023-04-08 12:53:28.492  7893        40.38         20
2023-04-08 12:53:28.687  7902        40.38         20
2023-04-08 12:53:28.906  7890        40.38         20
2023-04-08 12:53:29.120  7895        40.38         20
2023-04-08 12:53:29.328  7899        40.38         20
2023-04-08 12:53:29.535  7920        40.38         20
2023-04-08 12:53:29.743  7917        40.38         20
2023-04-08 12:53:29.953  7882        40.38         20
2023-04-08 12:53:30.161  7859        40.38         20
2023-04-08 12:53:30.369  7879        40.38         20
2023-04-08 12:53:30.577  7864        40.38         20
2023-04-08 12:53:30.798  7865        40.38         20
2023-04-08 12:53:30.961  7877        40.38         20
2023-04-08 12:53:31.169  7856        40.38         20
2023-04-08 12:53:31.378  7852        40.38         20
2023-04-08 12:53:31.586  7846        40.38         20
2023-04-08 12:53:31.794  7838        40.38         20
2023-04-08 12:53:32.002  7832        40.38         20
2023-04-08 12:53:32.209  7816        40.38         20
2023-04-08 12:53:32.409  7809        40.38         20
2023-04-08 12:53:32.611  7815        40.38         20
2023-04-08 12:53:32.819  7811        40.38         20
2023-04-08 12:53:33.035  7815        40.38         20
2023-04-08 12:53:33.252  7763        40.38         20
2023-04-08 12:53:33.460  7767        40.38         20
2023-04-08 12:53:33.667  7784        40.38         20
2023-04-08 12:53:33.876  7781        40.38         20
