           data_ora  elevazione  azimuth
2023-04-08 12:53:05        20.1     95.0
2023-04-08 12:53:08        20.0     95.0
2023-04-08 12:53:11        20.0     95.0
2023-04-08 12:53:14        20.0     95.0
2023-04-08 12:53:17        20.0     95.0
2023-04-08 12:53:20        20.0     95.0
2023-04-08 12:53:23        20.0     95.0
2023-04-08 12:53:26        20.0     95.0
2023-04-08 12:53:29        20.0     95.0
2023-04-08 12:53:32        20.0     95.0
2023-04-08 12:53:35        20.0     95.0
2023-04-08 12:53:38        20.0     95.0
2023-04-08 12:53:41        20.0     95.0
2023-04-08 12:53:44        20.0     95.0
2023-04-08 12:53:47        20.0     95.0
2023-04-08 12:53:50        20.0     95.0
2023-04-08 12:53:53        20.0     94.8
2023-04-08 12:53:56        20.0     94.8
2023-04-08 12:53:59        20.0     94.8
2023-04-08 12:54:02        20.0     94.8
2023-04-08 12:54:05        20.0     94.8
2023-04-08 12:54:08        20.0     94.8
2023-04-08 12:54:11        20.0     94.8
2023-04-08 12:54:14        20.0     94.8
2023-04-08 12:54:17        20.0     94.8
2023-04-08 12:54:20        20.0     94.8
2023-04-08 12:54:23        20.0     94.8
2023-04-08 12:54:26        20.0     94.8
2023-04-08 12:54:29        20.0     94.8
2023-04-08 12:54:32        20.0     94.8
2023-04-08 12:54:35        20.0     94.8
2023-04-08 12:54:38        20.0     94.8
2023-04-08 12:54:41        20.0     94.8
2023-04-08 12:54:44        20.0     94.8
2023-04-08 12:54:47        20.0     94.8
2023-04-08 12:54:50        20.0     94.8
2023-04-08 12:54:53        20.0     94.8
2023-04-08 12:54:56        20.0     94.8
2023-04-08 12:54:59        20.0     94.8
2023-04-08 12:55:02        20.0     94.8
2023-04-08 12:55:05        20.0     94.8
2023-04-08 12:55:08        20.0     94.8
2023-04-08 12:55:11        20.0     94.8
2023-04-08 12:55:14        20.0     94.8
2023-04-08 12:55:17        20.0     94.8
2023-04-08 12:55:20        20.0     94.8
2023-04-08 12:55:23        20.0     94.8
2023-04-08 12:55:26        20.0     94.8
2023-04-08 12:55:29        20.0     94.8
2023-04-08 12:55:32        20.0     94.8
2023-04-08 12:55:35        20.0     94.8
2023-04-08 12:55:38        20.0     94.8
2023-04-08 12:55:41        20.0     94.8
2023-04-08 12:55:44        20.0     94.8
2023-04-08 12:55:47        20.0     94.8
2023-04-08 12:55:50        20.0     94.8
2023-04-08 12:55:53        20.0     94.8
2023-04-08 12:55:56        20.0     94.8
2023-04-08 12:55:59        20.0     94.8
2023-04-08 12:56:02        20.0     94.8
2023-04-08 12:56:05        20.0     94.8
2023-04-08 12:56:08        20.0     94.8
2023-04-08 12:56:11        20.0     94.8
2023-04-08 12:56:14        20.0     94.8
2023-04-08 12:56:17        20.0     94.8
2023-04-08 12:56:20        20.0     94.8
2023-04-08 12:56:23        20.0     94.8
2023-04-08 12:56:26        20.0     94.8
2023-04-08 12:56:29        20.0     94.8
2023-04-08 12:56:32        20.0     94.8
2023-04-08 12:56:35        20.0     94.8
2023-04-08 12:56:38        20.0     94.8
2023-04-08 12:56:41        20.0     94.8
2023-04-08 12:56:44        20.0     94.8
2023-04-08 12:56:47        20.0     94.8
2023-04-08 12:56:50        20.0     94.8
2023-04-08 12:56:53        20.0     94.8
2023-04-08 12:56:56        20.0     94.8
2023-04-08 12:56:59        20.0     94.8
2023-04-08 12:57:02        20.0     94.8
2023-04-08 12:57:05        20.0     94.8
2023-04-08 12:57:08        20.0     94.8
2023-04-08 12:57:11        20.0     94.8
2023-04-08 12:57:14        20.0     94.8
2023-04-08 12:57:17        20.0     94.8
2023-04-08 12:57:20        20.0     94.8
2023-04-08 12:57:23        20.0     94.8
2023-04-08 12:57:26        20.0     94.8
2023-04-08 12:57:29        20.0     94.8
2023-04-08 12:57:32        20.0     94.8
2023-04-08 12:57:35        20.0     94.8
2023-04-08 12:57:38        20.0     94.8
2023-04-08 12:57:41        20.0     94.8
2023-04-08 12:57:44        20.0     94.8
2023-04-08 12:57:47        20.0     94.8
2023-04-08 12:57:50        20.0     94.8
2023-04-08 12:57:53        20.0     94.8
2023-04-08 12:57:56        20.0     94.8
2023-04-08 12:57:59        20.0     94.8
2023-04-08 12:58:02        20.0     94.8
2023-04-08 12:58:05        20.0     94.8
2023-04-08 12:58:08        20.0     94.8
2023-04-08 12:58:11        20.0     94.8
2023-04-08 12:58:14        20.0     94.8
2023-04-08 12:58:17        20.0     94.8
2023-04-08 12:58:20        20.0     94.8
2023-04-08 12:58:23        20.0     94.8
