               data_ora  rad  temperatura elevazione
2023-04-08 23:20:44.058 3417        40.41         20
2023-04-08 23:20:44.276 3432        40.41         20
2023-04-08 23:20:44.482 3414        40.41         20
2023-04-08 23:20:44.692 3419        40.41         20
2023-04-08 23:20:44.899 3421        40.41         20
2023-04-08 23:20:45.076 3393        40.41         20
2023-04-08 23:20:45.282 3391        40.41         20
2023-04-08 23:20:45.481 3377        40.41         20
2023-04-08 23:20:45.684 3368        40.41         20
2023-04-08 23:20:45.893 3373        40.41         20
2023-04-08 23:20:46.101 3353        40.41         20
2023-04-08 23:20:46.309 3363        40.41         20
2023-04-08 23:20:46.518 3375        40.41         20
2023-04-08 23:20:46.726 3359        40.41         20
2023-04-08 23:20:46.934 3371        40.41         20
2023-04-08 23:20:47.142 3336        40.41         20
2023-04-08 23:20:47.350 3338        40.41         20
2023-04-08 23:20:47.558 3347        40.41         20
2023-04-08 23:20:47.766 3337        40.41         20
2023-04-08 23:20:47.979 3333        40.41         20
2023-04-08 23:20:48.196 3334        40.41         20
2023-04-08 23:20:48.407 3340        40.41         20
2023-04-08 23:20:48.615 3316        40.41         20
2023-04-08 23:20:48.823 3323        40.41         20
2023-04-08 23:20:49.000 3325        40.41         20
2023-04-08 23:20:49.204 3320        40.41         20
2023-04-08 23:20:49.403 3321        40.41         20
2023-04-08 23:20:49.624 3327        40.41         20
2023-04-08 23:20:49.831 3314        40.41         20
2023-04-08 23:20:50.024 3320        40.41         20
2023-04-08 23:20:50.233 3316        40.41         20
2023-04-08 23:20:50.440 3319        40.41         20
2023-04-08 23:20:50.649 3332        40.41         20
2023-04-08 23:20:50.857 3329        40.41         20
2023-04-08 23:20:51.066 3341        40.44         20
2023-04-08 23:20:51.274 3328        40.41         20
2023-04-08 23:20:51.482 3332        40.41         20
2023-04-08 23:20:51.690 3331        40.41         20
2023-04-08 23:20:51.902 3331        40.41         20
2023-04-08 23:20:52.120 3336        40.41         20
2023-04-08 23:20:52.330 3333        40.41         20
2023-04-08 23:20:52.539 3332        40.41         20
2023-04-08 23:20:52.747 3326        40.41         20
2023-04-08 23:20:52.922 3315        40.41         20
2023-04-08 23:20:53.126 3318        40.41         20
2023-04-08 23:20:53.324 3330        40.41         20
2023-04-08 23:20:53.532 3317        40.41         20
2023-04-08 23:20:53.740 3333        40.41         20
2023-04-08 23:20:53.948 3336        40.44         20
