               data_ora   rad  temperatura
2023-04-11 14:14:59.061  6206        40.53
2023-04-11 14:14:59.264  6203        40.53
2023-04-11 14:14:59.483  6218        40.53
2023-04-11 14:14:59.701  6235        40.53
2023-04-11 14:14:59.904  6219        40.53
2023-04-11 14:15:00.108  6228        40.53
2023-04-11 14:15:00.326  6221        40.53
2023-04-11 14:15:00.529  6232        40.53
2023-04-11 14:15:00.733  6237        40.53
2023-04-11 14:15:00.936  6239        40.53
2023-04-11 14:15:01.123  6252        40.53
2023-04-11 14:15:01.326  6264        40.53
2023-04-11 14:15:01.529  6264        40.53
2023-04-11 14:15:01.748  6273        40.53
2023-04-11 14:15:01.951  6270        40.53
2023-04-11 14:15:02.154  6267        40.53
2023-04-11 14:15:02.358  6251        40.53
2023-04-11 14:15:02.561  6255        40.53
2023-04-11 14:15:02.764  6249        40.53
2023-04-11 14:15:02.982  6238        40.53
2023-04-11 14:15:03.186  6232        40.53
2023-04-11 14:15:03.389  6230        40.53
2023-04-11 14:15:03.607  6241        40.53
2023-04-11 14:15:03.826  6252        40.53
2023-04-11 14:15:04.029  6237        40.53
2023-04-11 14:15:04.248  6251        40.53
2023-04-11 14:15:04.451  6248        40.53
2023-04-11 14:15:04.654  6235        40.53
2023-04-11 14:15:04.873  6243        40.53
2023-04-11 14:15:05.045  6243        40.53
2023-04-11 14:15:05.248  6250        40.53
2023-04-11 14:15:05.467  6254        40.53
2023-04-11 14:15:05.670  6246        40.53
2023-04-11 14:15:05.873  6268        40.53
2023-04-11 14:15:06.076  6246        40.53
2023-04-11 14:15:06.279  6213        40.53
2023-04-11 14:15:06.482  6240        40.53
2023-04-11 14:15:06.686  6248        40.53
2023-04-11 14:15:06.904  6318        40.53
2023-04-11 14:15:07.107  6391        40.53
2023-04-11 14:15:07.311  6457        40.53
2023-04-11 14:15:07.529  6876        40.53
2023-04-11 14:15:07.732  6865        40.53
2023-04-11 14:15:07.951  6824        40.53
2023-04-11 14:15:08.170  6878        40.53
2023-04-11 14:15:08.373  6845        40.53
2023-04-11 14:15:08.576  6797        40.53
2023-04-11 14:15:08.795  6706        40.53
2023-04-11 14:15:08.998  6720        40.53
2023-04-11 14:15:09.170  6662        40.53
2023-04-11 14:15:09.389  6709        40.53
2023-04-11 14:15:09.592  6709        40.53
2023-04-11 14:15:09.795  6680        40.53
2023-04-11 14:15:09.998  6712        40.53
2023-04-11 14:15:10.201  6661        40.53
2023-04-11 14:15:10.404  6683        40.53
2023-04-11 14:15:10.623  6664        40.53
2023-04-11 14:15:10.826  6686        40.53
2023-04-11 14:15:11.045  6716        40.56
2023-04-11 14:15:11.248  6730        40.53
2023-04-11 14:15:11.451  6732        40.53
2023-04-11 14:15:11.654  6656        40.56
2023-04-11 14:15:11.873  6439        40.56
2023-04-11 14:15:12.076  6297        40.56
2023-04-11 14:15:12.295  6285        40.56
2023-04-11 14:15:12.513  6357        40.56
2023-04-11 14:15:12.717  6410        40.56
2023-04-11 14:15:12.920  6400        40.56
2023-04-11 14:15:13.138  6368        40.56
2023-04-11 14:15:13.310  6348        40.56
2023-04-11 14:15:13.513  6338        40.53
2023-04-11 14:15:13.717  6317        40.53
2023-04-11 14:15:13.920  6325        40.53
2023-04-11 14:15:14.123  6322        40.53
2023-04-11 14:15:14.326  6302        40.53
2023-04-11 14:15:14.545  6278        40.53
2023-04-11 14:15:14.748  6275        40.53
2023-04-11 14:15:14.967  6275        40.53
2023-04-11 14:15:15.170  6284        40.53
2023-04-11 14:15:15.373  6268        40.53
2023-04-11 14:15:15.576  6256        40.53
2023-04-11 14:15:15.795  6204        40.53
2023-04-11 14:15:15.998  6177        40.53
2023-04-11 14:15:16.216  6204        40.53
2023-04-11 14:15:16.435  6224        40.53
2023-04-11 14:15:16.638  6239        40.53
2023-04-11 14:15:16.841  6251        40.53
2023-04-11 14:15:17.060  6242        40.53
2023-04-11 14:15:17.232  6228        40.53
2023-04-11 14:15:17.435  6235        40.53
2023-04-11 14:15:17.638  6244        40.53
2023-04-11 14:15:17.841  6298        40.53
2023-04-11 14:15:18.045  6301        40.53
2023-04-11 14:15:18.263  6263        40.53
2023-04-11 14:15:18.466  6257        40.53
2023-04-11 14:15:18.670  6246        40.53
2023-04-11 14:15:18.888  6262        40.53
2023-04-11 14:15:19.091  6241        40.53
2023-04-11 14:15:19.295  6259        40.53
2023-04-11 14:15:19.513  6234        40.53
2023-04-11 14:15:19.716  6214        40.53
2023-04-11 14:15:19.919  6247        40.53
2023-04-11 14:15:20.138  6229        40.53
2023-04-11 14:15:20.357  6197        40.53
2023-04-11 14:15:20.560  6241        40.53
2023-04-11 14:15:20.779  6245        40.53
2023-04-11 14:15:20.982  6267        40.53
2023-04-11 14:15:21.154  6274        40.53
2023-04-11 14:15:21.357  6288        40.53
2023-04-11 14:15:21.560  6291        40.53
2023-04-11 14:15:21.763  6269        40.53
2023-04-11 14:15:21.982  6277        40.53
2023-04-11 14:15:22.185  6259        40.53
2023-04-11 14:15:22.388  6254        40.53
2023-04-11 14:15:22.591  6277        40.53
2023-04-11 14:15:22.810  6274        40.53
2023-04-11 14:15:23.013  6262        40.53
2023-04-11 14:15:23.216  6258        40.53
2023-04-11 14:15:23.435  6257        40.53
2023-04-11 14:15:23.638  6271        40.53
2023-04-11 14:15:23.841  6252        40.53
2023-04-11 14:15:24.060  6263        40.53
2023-04-11 14:15:24.263  6270        40.53
2023-04-11 14:15:24.482  6263        40.53
2023-04-11 14:15:24.701  6242        40.53
2023-04-11 14:15:24.904  6242        40.53
2023-04-11 14:15:25.107  6255        40.53
2023-04-11 14:15:25.279  6245        40.53
2023-04-11 14:15:25.482  6242        40.53
2023-04-11 14:15:25.685  6237        40.53
2023-04-11 14:15:25.904  6253        40.53
2023-04-11 14:15:26.107  6236        40.53
2023-04-11 14:15:26.310  6248        40.53
2023-04-11 14:15:26.529  6248        40.53
2023-04-11 14:15:26.732  6224        40.53
2023-04-11 14:15:26.935  6231        40.50
2023-04-11 14:15:27.138  6297        40.50
2023-04-11 14:15:27.357  6332        40.53
2023-04-11 14:15:27.570  6294        40.53
2023-04-11 14:15:27.773  6285        40.53
2023-04-11 14:15:27.976  6314        40.53
2023-04-11 14:15:28.179  6301        40.53
2023-04-11 14:15:28.398  6303        40.53
2023-04-11 14:15:28.617  6307        40.53
2023-04-11 14:15:28.836  6265        40.53
2023-04-11 14:15:29.039  6282        40.53
2023-04-11 14:15:29.211  6311        40.53
2023-04-11 14:15:29.414  6279        40.53
2023-04-11 14:15:29.617  6318        40.53
2023-04-11 14:15:29.820  6301        40.50
2023-04-11 14:15:30.023  6286        40.50
2023-04-11 14:15:30.242  6273        40.50
2023-04-11 14:15:30.445  6279        40.50
2023-04-11 14:15:30.648  6266        40.50
2023-04-11 14:15:30.867  6288        40.50
2023-04-11 14:15:31.070  6291        40.50
2023-04-11 14:15:31.273  6280        40.50
2023-04-11 14:15:31.492  6267        40.50
2023-04-11 14:15:31.695  6274        40.50
2023-04-11 14:15:31.898  6287        40.50
2023-04-11 14:15:32.117  6261        40.50
2023-04-11 14:15:32.320  6270        40.50
2023-04-11 14:15:32.523  6260        40.50
2023-04-11 14:15:32.742  6260        40.50
2023-04-11 14:15:32.961  6236        40.50
2023-04-11 14:15:33.117  6257        40.50
2023-04-11 14:15:33.336  6237        40.50
2023-04-11 14:15:33.539  6238        40.53
2023-04-11 14:15:33.742  6214        40.53
2023-04-11 14:15:33.961  6221        40.53
2023-04-11 14:15:34.164  6225        40.53
2023-04-11 14:15:34.367  6227        40.50
2023-04-11 14:15:34.570  6229        40.53
2023-04-11 14:15:34.789  6243        40.53
2023-04-11 14:15:34.992  6255        40.53
2023-04-11 14:15:35.195  6246        40.53
2023-04-11 14:15:35.414  6259        40.53
