               data_ora   rad  temperatura elevazione
2023-04-24 23:13:44.095 12517        41.99         20
2023-04-24 23:13:44.298 12609        41.99         20
2023-04-24 23:13:44.516 12633        41.99         20
2023-04-24 23:13:44.735 12693        41.99         20
2023-04-24 23:13:44.938 12824        41.99         20
2023-04-24 23:13:45.141 12798        41.99         20
2023-04-24 23:13:45.360 12872        41.99         20
2023-04-24 23:13:45.563 12778        41.99         20
2023-04-24 23:13:45.735 12781        41.99         20
2023-04-24 23:13:45.954 12843        41.99         20
2023-04-24 23:13:46.157 12780        41.99         20
2023-04-24 23:13:46.360 12830        41.99         20
2023-04-24 23:13:46.563 12756        41.99         20
2023-04-24 23:13:46.766 12935        41.99         20
2023-04-24 23:13:46.969 13000        41.99         20
2023-04-24 23:13:47.188 13018        41.99         20
2023-04-24 23:13:47.391 13106        41.99         20
2023-04-24 23:13:47.594 13006        41.99         20
2023-04-24 23:13:47.798 13136        41.99         20
2023-04-24 23:13:48.016 13114        41.99         20
2023-04-24 23:13:48.219 13149        41.99         20
2023-04-24 23:13:48.423 13219        41.99         20
2023-04-24 23:13:48.641 13133        41.99         20
2023-04-24 23:13:48.860 13167        41.99         20
2023-04-24 23:13:49.063 13061        41.99         20
2023-04-24 23:13:49.282 13041        41.99         20
2023-04-24 23:13:49.485 13054        41.99         20
2023-04-24 23:13:49.688 12898        41.99         20
2023-04-24 23:13:49.876 12934        41.99         20
2023-04-24 23:13:50.079 12905        41.99         20
2023-04-24 23:13:50.298 12974        41.99         20
2023-04-24 23:13:50.501 13065        41.99         20
2023-04-24 23:13:50.704 13000        41.99         20
2023-04-24 23:13:50.891 12971        41.99         20
2023-04-24 23:13:51.110 12876        41.99         20
2023-04-24 23:13:51.313 12904        41.99         20
2023-04-24 23:13:51.516 12900        41.99         20
2023-04-24 23:13:51.735 12881        41.99         20
2023-04-24 23:13:51.938 12873        41.99         20
2023-04-24 23:13:52.141 12751        41.99         20
2023-04-24 23:13:52.360 12747        41.99         20
2023-04-24 23:13:52.563 12608        41.99         20
2023-04-24 23:13:52.782 12594        41.99         20
2023-04-24 23:13:52.985 12706        41.99         20
2023-04-24 23:13:53.204 12611        41.99         20
2023-04-24 23:13:53.407 12615        41.99         20
2023-04-24 23:13:53.626 12581        41.99         20
2023-04-24 23:13:53.829 12487        41.99         20
2023-04-24 23:13:54.032 12593        42.03         20
2023-04-24 23:13:54.219 12629        41.99         20
2023-04-24 23:13:54.422 12753        41.99         20
2023-04-24 23:13:54.626 12782        41.99         20
2023-04-24 23:13:54.829 12811        41.99         20
2023-04-24 23:13:55.032 12804        41.99         20
2023-04-24 23:13:55.235 12800        41.99         20
2023-04-24 23:13:55.438 12824        41.99         20
2023-04-24 23:13:55.657 12710        41.99         20
2023-04-24 23:13:55.860 12736        41.99         20
2023-04-24 23:13:56.079 12763        41.99         20
2023-04-24 23:13:56.282 12733        41.99         20
2023-04-24 23:13:56.485 12765        41.99         20
2023-04-24 23:13:56.704 12722        41.99         20
2023-04-24 23:13:56.907 12754        41.99         20
2023-04-24 23:13:57.125 12803        41.99         20
2023-04-24 23:13:57.344 12740        41.99         20
2023-04-24 23:13:57.547 12758        41.99         20
2023-04-24 23:13:57.750 12710        41.99         20
2023-04-24 23:13:57.954 12704        41.99         20
2023-04-24 23:13:58.172 12631        41.99         20
2023-04-24 23:13:58.344 12575        41.99         20
2023-04-24 23:13:58.547 12581        41.99         20
2023-04-24 23:13:58.766 12536        41.99         20
2023-04-24 23:13:58.969 12535        41.99         20
2023-04-24 23:13:59.172 12405        41.99         20
2023-04-24 23:13:59.370 12397        41.99         20
2023-04-24 23:13:59.573 12444        41.99         20
2023-04-24 23:13:59.792 12457        41.99         20
2023-04-24 23:13:59.995 12526        41.99         20
2023-04-24 23:14:00.198 12487        41.99         20
2023-04-24 23:14:00.417 12484        41.99         20
2023-04-24 23:14:00.620 12432        41.99         20
2023-04-24 23:14:00.823 12460        41.99         20
2023-04-24 23:14:01.026 12542        41.99         20
2023-04-24 23:14:01.245 12528        41.99         20
2023-04-24 23:14:01.464 12632        41.99         20
2023-04-24 23:14:01.682 12657        41.99         20
2023-04-24 23:14:01.886 12725        41.99         20
2023-04-24 23:14:02.089 12745        41.99         20
2023-04-24 23:14:02.292 12763        41.99         20
2023-04-24 23:14:02.511 12816        41.99         20
2023-04-24 23:14:02.682 12745        41.99         20
2023-04-24 23:14:02.886 12745        41.99         20
2023-04-24 23:14:03.089 12826        41.99         20
2023-04-24 23:14:03.292 12748        41.99         20
2023-04-24 23:14:03.511 12790        41.99         20
2023-04-24 23:14:03.714 12697        41.99         20
2023-04-24 23:14:03.917 12605        41.99         20
2023-04-24 23:14:04.120 12527        41.99         20
2023-04-24 23:14:04.339 12486        41.99         20
2023-04-24 23:14:04.542 12481        41.99         20
2023-04-24 23:14:04.745 12340        41.99         20
2023-04-24 23:14:04.964 12350        41.99         20
2023-04-24 23:14:05.167 12336        41.99         20
2023-04-24 23:14:05.370 12331        41.99         20
2023-04-24 23:14:05.589 12356        41.99         20
2023-04-24 23:14:05.807 12330        41.99         20
2023-04-24 23:14:06.010 12350        41.99         20
2023-04-24 23:14:06.229 12389        41.99         20
2023-04-24 23:14:06.432 12442        41.99         20
2023-04-24 23:14:06.635 12545        41.99         20
2023-04-24 23:14:06.823 12405        41.99         20
2023-04-24 23:14:07.026 12367        41.99         20
2023-04-24 23:14:07.229 12396        41.99         20
2023-04-24 23:14:07.432 12445        41.99         20
2023-04-24 23:14:07.635 12532        41.99         20
2023-04-24 23:14:07.839 12517        41.99         20
2023-04-24 23:14:08.042 12531        41.99         20
2023-04-24 23:14:08.260 12522        41.99         20
2023-04-24 23:14:08.464 12544        41.99         20
2023-04-24 23:14:08.667 12495        41.99         20
2023-04-24 23:14:08.885 12519        41.99         20
2023-04-24 23:14:09.089 12526        41.99         20
2023-04-24 23:14:09.292 12452        41.99         20
2023-04-24 23:14:09.510 12482        41.99         20
2023-04-24 23:14:09.713 12551        41.99         20
2023-04-24 23:14:09.932 12519        41.99         20
2023-04-24 23:14:10.151 12662        41.99         20
2023-04-24 23:14:10.354 12575        41.99         20
2023-04-24 23:14:10.557 12672        41.99         20
2023-04-24 23:14:10.776 12572        41.99         20
2023-04-24 23:14:10.948 12517        41.99         20
2023-04-24 23:14:11.167 12564        41.99         20
2023-04-24 23:14:11.354 12524        41.99         20
2023-04-24 23:14:11.557 12540        41.99         20
2023-04-24 23:14:11.760 12457        41.99         20
2023-04-24 23:14:11.979 12525        41.99         20
2023-04-24 23:14:12.182 12664        41.99         20
2023-04-24 23:14:12.385 12666        41.99         20
2023-04-24 23:14:12.604 12687        41.99         20
2023-04-24 23:14:12.807 12569        41.99         20
2023-04-24 23:14:13.010 12645        41.99         20
2023-04-24 23:14:13.229 12646        41.99         20
2023-04-24 23:14:13.432 12650        41.99         20
2023-04-24 23:14:13.635 12597        41.99         20
2023-04-24 23:14:13.854 12535        41.99         20
2023-04-24 23:14:14.057 12417        41.99         20
2023-04-24 23:14:14.260 12365        41.99         20
2023-04-24 23:14:14.479 12373        41.99         20
2023-04-24 23:14:14.698 12462        41.99         20
2023-04-24 23:14:14.901 12501        41.99         20
2023-04-24 23:14:15.120 12517        41.99         20
2023-04-24 23:14:15.291 12564        41.99         20
2023-04-24 23:14:15.495 12559        41.99         20
2023-04-24 23:14:15.682 12645        41.99         20
2023-04-24 23:14:15.901 12671        41.99         20
2023-04-24 23:14:16.104 12742        41.99         20
2023-04-24 23:14:16.323 12715        41.99         20
2023-04-24 23:14:16.526 12801        41.99         20
2023-04-24 23:14:16.729 12883        41.99         20
2023-04-24 23:14:16.932 12852        41.99         20
