           data_ora  elevazione  azimuth
2023-02-15 03:00:12        20.0    260.0
2023-02-15 03:00:15        20.0    260.0
2023-02-15 03:00:18        20.0    260.0
2023-02-15 03:00:21        20.0    260.0
2023-02-15 03:00:24        20.0    260.0
2023-02-15 03:00:27        20.0    260.0
2023-02-15 03:00:30        20.0    260.0
2023-02-15 03:00:33        20.0    260.0
2023-02-15 03:00:36        20.0    260.0
2023-02-15 03:00:39        20.0    260.0
2023-02-15 03:00:42        20.0    260.0
2023-02-15 03:00:45        20.0    260.0
2023-02-15 03:00:48        20.0    260.0
2023-02-15 03:00:51        20.0    260.0
2023-02-15 03:00:54        20.0    260.0
2023-02-15 03:00:57        20.0    260.0
2023-02-15 03:01:00        20.0    260.0
2023-02-15 03:01:03        20.0    260.0
2023-02-15 03:01:06        20.0    260.0
2023-02-15 03:01:09        20.0    260.0
2023-02-15 03:01:12        20.0    260.0
2023-02-15 03:01:15        20.0    260.0
2023-02-15 03:01:18        20.0    260.0
2023-02-15 03:01:21        20.0    260.0
2023-02-15 03:01:24        20.0    260.0
2023-02-15 03:01:27        20.0    260.0
2023-02-15 03:01:30        20.0    260.0
2023-02-15 03:01:33        20.0    260.0
2023-02-15 03:01:36        20.0    260.0
2023-02-15 03:01:39        20.0    260.0
2023-02-15 03:01:42        20.0    260.0
2023-02-15 03:01:45        20.0    260.0
2023-02-15 03:01:48        20.0    260.0
2023-02-15 03:01:51        20.0    260.0
2023-02-15 03:01:54        20.0    260.0
2023-02-15 03:01:57        20.0    260.0
2023-02-15 03:02:00        20.0    260.0
2023-02-15 03:02:03        20.0    260.0
2023-02-15 03:02:06        20.0    260.0
2023-02-15 03:02:09        20.0    260.0
2023-02-15 03:02:12        20.0    260.0
2023-02-15 03:02:15        20.0    260.0
2023-02-15 03:02:18        20.0    260.0
2023-02-15 03:02:21        20.0    260.0
2023-02-15 03:02:24        20.0    260.0
2023-02-15 03:02:27        20.0    260.0
2023-02-15 03:02:30        20.0    260.0
2023-02-15 03:02:33        20.0    260.0
2023-02-15 03:02:36        20.0    260.0
2023-02-15 03:02:39        20.0    260.0
2023-02-15 03:02:42        20.0    260.0
2023-02-15 03:02:45        20.0    260.0
2023-02-15 03:02:48        20.0    260.0
2023-02-15 03:02:51        20.0    260.0
2023-02-15 03:02:54        20.0    260.0
2023-02-15 03:02:57        20.0    260.0
2023-02-15 03:03:00        20.0    260.0
2023-02-15 03:03:03        20.0    260.0
2023-02-15 03:03:06        20.0    260.0
2023-02-15 03:03:09        20.0    260.0
2023-02-15 03:03:12        20.0    260.0
2023-02-15 03:03:15        20.0    260.0
2023-02-15 03:03:18        20.0    260.0
2023-02-15 03:03:21        20.0    260.0
2023-02-15 03:03:24        20.0    260.0
2023-02-15 03:03:27        20.0    260.0
2023-02-15 03:03:30        20.0    260.0
2023-02-15 03:03:33        20.0    260.0
2023-02-15 03:03:36        20.0    260.0
2023-02-15 03:03:39        20.0    260.0
2023-02-15 03:03:42        20.0    260.0
2023-02-15 03:03:45        20.0    260.0
2023-02-15 03:03:48        20.0    260.0
2023-02-15 03:03:51        20.0    260.0
2023-02-15 03:03:54        20.0    260.0
2023-02-15 03:03:57        20.0    260.0
2023-02-15 03:04:00        20.0    260.0
2023-02-15 03:04:03        20.0    260.0
2023-02-15 03:04:06        20.0    260.0
2023-02-15 03:04:09        20.0    260.0
2023-02-15 03:04:12        20.0    260.0
2023-02-15 03:04:15        20.0    260.0
2023-02-15 03:04:18        20.0    260.0
2023-02-15 03:04:21        20.0    260.0
2023-02-15 03:04:24        20.0    260.0
2023-02-15 03:04:27        20.0    260.0
2023-02-15 03:04:30        20.0    260.0
2023-02-15 03:04:33        20.0    260.0
2023-02-15 03:04:36        20.0    260.0
2023-02-15 03:04:39        20.0    260.0
2023-02-15 03:04:42        20.0    260.0
2023-02-15 03:04:45        20.0    260.0
2023-02-15 03:04:48        20.0    260.0
2023-02-15 03:04:51        20.0    260.0
2023-02-15 03:04:54        20.0    260.0
2023-02-15 03:04:57        20.0    260.0
2023-02-15 03:05:00        20.0    260.0
2023-02-15 03:05:03        20.0    260.0
2023-02-15 03:05:06        20.0    260.0
2023-02-15 03:05:09        20.0    260.0
2023-02-15 03:05:12        20.0    260.0
2023-02-15 03:05:15        20.0    260.0
2023-02-15 03:05:18        20.0    260.0
2023-02-15 03:05:21        20.0    260.0
2023-02-15 03:05:24        20.0    260.0
2023-02-15 03:05:27        20.0    260.0
2023-02-15 03:05:30        20.0    260.0
2023-02-15 03:05:33        20.0    260.0
2023-02-15 03:05:36        20.0    260.0
2023-02-15 03:05:39        20.0    260.0
2023-02-15 03:05:42        20.0    260.0
2023-02-15 03:05:45        20.0    260.0
2023-02-15 03:05:48        20.0    260.0
2023-02-15 03:05:51        20.0    260.0
2023-02-15 03:05:54        20.0    260.0
2023-02-15 03:05:57        20.0    260.0
2023-02-15 03:06:00        20.0    260.0
2023-02-15 03:06:03        20.0    260.0
2023-02-15 03:06:06        20.0    260.0
2023-02-15 03:06:09        20.0    260.0
2023-02-15 03:06:12        20.0    260.0
2023-02-15 03:06:15        20.0    260.0
2023-02-15 03:06:18        20.0    260.0
2023-02-15 03:06:21        20.0    260.0
2023-02-15 03:06:24        20.0    260.0
2023-02-15 03:06:27        20.0    260.0
2023-02-15 03:06:30        20.0    260.0
2023-02-15 03:06:33        20.0    260.0
2023-02-15 03:06:36        20.0    260.0
2023-02-15 03:06:39        20.0    260.0
2023-02-15 03:06:42        20.0    260.0
2023-02-15 03:06:45        20.0    260.0
2023-02-15 03:06:48        20.0    260.0
2023-02-15 03:06:51        20.0    260.0
2023-02-15 03:06:54        20.0    260.0
2023-02-15 03:06:57        20.0    260.0
