               data_ora  rad  temperatura elevazione
2023-02-16 03:00:12.126 5277        40.35         20
2023-02-16 03:00:12.333 5289        40.35         20
2023-02-16 03:00:12.544 5296        40.35         20
2023-02-16 03:00:12.720 5275        40.35         20
2023-02-16 03:00:12.927 5280        40.35         20
2023-02-16 03:00:13.136 5306        40.35         20
2023-02-16 03:00:13.337 5278        40.35         20
2023-02-16 03:00:13.536 5313        40.35         20
2023-02-16 03:00:13.745 5303        40.35         20
2023-02-16 03:00:13.951 5302        40.35         20
2023-02-16 03:00:14.159 5309        40.35         20
2023-02-16 03:00:14.369 5308        40.35         20
2023-02-16 03:00:14.577 5300        40.35         20
2023-02-16 03:00:14.785 5292        40.35         20
2023-02-16 03:00:14.994 5297        40.35         20
2023-02-16 03:00:15.202 5285        40.35         20
2023-02-16 03:00:15.410 5289        40.35         20
2023-02-16 03:00:15.629 5286        40.35         20
2023-02-16 03:00:15.842 5313        40.35         20
2023-02-16 03:00:16.048 5318        40.35         20
2023-02-16 03:00:16.258 5320        40.35         20
2023-02-16 03:00:16.466 5321        40.35         20
2023-02-16 03:00:16.642 5324        40.35         20
2023-02-16 03:00:16.850 5317        40.35         20
2023-02-16 03:00:17.058 5329        40.35         20
2023-02-16 03:00:17.263 5340        40.38         20
2023-02-16 03:00:17.462 5325        40.38         20
2023-02-16 03:00:17.667 5346        40.35         20
2023-02-16 03:00:17.875 5348        40.35         20
2023-02-16 03:00:18.082 5330        40.38         20
2023-02-16 03:00:18.291 5325        40.38         20
2023-02-16 03:00:18.499 5340        40.38         20
2023-02-16 03:00:18.706 5354        40.38         20
2023-02-16 03:00:18.915 5354        40.38         20
2023-02-16 03:00:19.123 5345        40.38         20
2023-02-16 03:00:19.335 5340        40.38         20
2023-02-16 03:00:19.553 5353        40.38         20
2023-02-16 03:00:19.764 5355        40.38         20
2023-02-16 03:00:19.970 5344        40.38         20
2023-02-16 03:00:20.180 5364        40.38         20
2023-02-16 03:00:20.388 5358        40.38         20
2023-02-16 03:00:20.594 5350        40.38         20
2023-02-16 03:00:20.772 5364        40.38         20
2023-02-16 03:00:20.980 5375        40.38         20
2023-02-16 03:00:21.187 5377        40.38         20
2023-02-16 03:00:21.389 5369        40.38         20
2023-02-16 03:00:21.589 5386        40.38         20
2023-02-16 03:00:21.797 5374        40.38         20
2023-02-16 03:00:22.005 5382        40.38         20
2023-02-16 03:00:22.213 5393        40.38         20
2023-02-16 03:00:22.421 5385        40.38         20
2023-02-16 03:00:22.629 5384        40.38         20
2023-02-16 03:00:22.838 5383        40.35         20
2023-02-16 03:00:23.043 5399        40.35         20
2023-02-16 03:00:23.253 5398        40.35         20
2023-02-16 03:00:23.472 5410        40.38         20
2023-02-16 03:00:23.685 5395        40.38         20
2023-02-16 03:00:23.891 5410        40.38         20
2023-02-16 03:00:24.101 5409        40.38         20
2023-02-16 03:00:24.309 5409        40.38         20
2023-02-16 03:00:24.517 5407        40.38         20
2023-02-16 03:00:24.694 5403        40.38         20
2023-02-16 03:00:24.901 5410        40.38         20
2023-02-16 03:00:25.110 5411        40.38         20
2023-02-16 03:00:25.315 5427        40.38         20
2023-02-16 03:00:25.514 5425        40.38         20
2023-02-16 03:00:25.717 5417        40.35         20
2023-02-16 03:00:25.926 5421        40.35         20
2023-02-16 03:00:26.134 5415        40.35         20
2023-02-16 03:00:26.353 5423        40.35         20
2023-02-16 03:00:26.550 5432        40.35         20
2023-02-16 03:00:26.758 5438        40.35         20
2023-02-16 03:00:26.967 5432        40.35         20
2023-02-16 03:00:27.173 5434        40.35         20
2023-02-16 03:00:27.387 5434        40.38         20
2023-02-16 03:00:27.602 5418        40.38         20
2023-02-16 03:00:27.815 5443        40.35         20
2023-02-16 03:00:28.023 5422        40.35         20
2023-02-16 03:00:28.230 5429        40.35         20
2023-02-16 03:00:28.439 5450        40.35         20
2023-02-16 03:00:28.648 5434        40.35         20
2023-02-16 03:00:28.822 5438        40.35         20
2023-02-16 03:00:29.031 5432        40.35         20
2023-02-16 03:00:29.238 5446        40.35         20
2023-02-16 03:00:29.442 5456        40.35         20
2023-02-16 03:00:29.638 5433        40.35         20
2023-02-16 03:00:29.848 5421        40.35         20
2023-02-16 03:00:30.056 5435        40.38         20
2023-02-16 03:00:30.265 5442        40.38         20
2023-02-16 03:00:30.471 5433        40.38         20
2023-02-16 03:00:30.680 5443        40.38         20
2023-02-16 03:00:30.889 5447        40.38         20
2023-02-16 03:00:31.097 5439        40.38         20
2023-02-16 03:00:31.305 5439        40.38         20
2023-02-16 03:00:31.521 5439        40.38         20
2023-02-16 03:00:31.736 5430        40.38         20
2023-02-16 03:00:31.945 5424        40.38         20
2023-02-16 03:00:32.153 5439        40.38         20
2023-02-16 03:00:32.375 5427        40.38         20
2023-02-16 03:00:32.584 5433        40.38         20
2023-02-16 03:00:32.745 5445        40.38         20
2023-02-16 03:00:32.951 5422        40.38         20
2023-02-16 03:00:33.162 5429        40.38         20
2023-02-16 03:00:33.368 5428        40.38         20
2023-02-16 03:00:33.568 5425        40.38         20
2023-02-16 03:00:33.770 5414        40.38         20
2023-02-16 03:00:33.978 5408        40.38         20
2023-02-16 03:00:34.186 5412        40.38         20
2023-02-16 03:00:34.393 5418        40.38         20
2023-02-16 03:00:34.602 5423        40.38         20
2023-02-16 03:00:34.811 5422        40.38         20
2023-02-16 03:00:35.019 5416        40.38         20
2023-02-16 03:00:35.227 5397        40.38         20
2023-02-16 03:00:35.441 5421        40.38         20
2023-02-16 03:00:35.658 5411        40.38         20
2023-02-16 03:00:35.866 5424        40.38         20
2023-02-16 03:00:36.075 5419        40.38         20
2023-02-16 03:00:36.282 5420        40.38         20
2023-02-16 03:00:36.488 5420        40.38         20
2023-02-16 03:00:36.664 5443        40.35         20
2023-02-16 03:00:36.873 5448        40.35         20
2023-02-16 03:00:37.083 5444        40.35         20
2023-02-16 03:00:37.291 5453        40.35         20
2023-02-16 03:00:37.493 5449        40.35         20
2023-02-16 03:00:37.691 5451        40.35         20
2023-02-16 03:00:37.899 5449        40.35         20
2023-02-16 03:00:38.107 5454        40.35         20
2023-02-16 03:00:38.316 5450        40.35         20
2023-02-16 03:00:38.524 5470        40.35         20
2023-02-16 03:00:38.732 5462        40.35         20
2023-02-16 03:00:38.940 5463        40.35         20
2023-02-16 03:00:39.148 5442        40.35         20
2023-02-16 03:00:39.356 5468        40.35         20
2023-02-16 03:00:39.575 5469        40.35         20
2023-02-16 03:00:39.788 5462        40.35         20
2023-02-16 03:00:39.996 5472        40.35         20
2023-02-16 03:00:40.203 5498        40.35         20
2023-02-16 03:00:40.413 5484        40.35         20
2023-02-16 03:00:40.621 5470        40.35         20
2023-02-16 03:00:40.795 5489        40.35         20
2023-02-16 03:00:41.005 5472        40.35         20
2023-02-16 03:00:41.213 5480        40.35         20
2023-02-16 03:00:41.420 5491        40.35         20
2023-02-16 03:00:41.619 5496        40.35         20
2023-02-16 03:00:41.823 5486        40.35         20
2023-02-16 03:00:42.029 5471        40.35         20
2023-02-16 03:00:42.238 5485        40.35         20
2023-02-16 03:00:42.447 5475        40.35         20
2023-02-16 03:00:42.654 5464        40.35         20
2023-02-16 03:00:42.860 5488        40.35         20
2023-02-16 03:00:43.070 5464        40.35         20
2023-02-16 03:00:43.278 5457        40.35         20
2023-02-16 03:00:43.495 5453        40.35         20
2023-02-16 03:00:43.711 5483        40.35         20
2023-02-16 03:00:43.918 5490        40.35         20
2023-02-16 03:00:44.125 5488        40.35         20
2023-02-16 03:00:44.334 5470        40.35         20
2023-02-16 03:00:44.543 5457        40.35         20
2023-02-16 03:00:44.719 5488        40.35         20
2023-02-16 03:00:44.927 5494        40.35         20
2023-02-16 03:00:45.135 5475        40.35         20
2023-02-16 03:00:45.344 5478        40.35         20
2023-02-16 03:00:45.544 5487        40.35         20
2023-02-16 03:00:45.743 5461        40.35         20
