data_ora,rad,temperatura,elevazione
2023-02-17 04:11:30.005,3748,40.38,30
2023-02-17 04:11:30.222,3728,40.38,30
2023-02-17 04:11:30.437,3726,40.38,30
2023-02-17 04:11:30.645,3732,40.38,30
2023-02-17 04:11:30.853,3742,40.38,30
2023-02-17 04:11:31.029,3750,40.38,30
2023-02-17 04:11:31.231,3760,40.38,30
2023-02-17 04:11:31.427,3723,40.38,30
2023-02-17 04:11:31.636,3723,40.38,30
2023-02-17 04:11:31.844,3706,40.38,30
2023-02-17 04:11:32.052,3690,40.38,30
2023-02-17 04:11:32.260,3679,40.38,30
2023-02-17 04:11:32.468,3665,40.38,30
2023-02-17 04:11:32.677,3680,40.38,30
2023-02-17 04:11:32.885,3687,40.38,30
2023-02-17 04:11:33.094,3706,40.38,30
2023-02-17 04:11:33.302,3718,40.38,30
2023-02-17 04:11:33.509,3702,40.38,30
2023-02-17 04:11:33.718,3694,40.38,30
2023-02-17 04:11:33.930,3702,40.38,30
2023-02-17 04:11:34.147,3690,40.38,30
2023-02-17 04:11:34.358,3705,40.38,30
2023-02-17 04:11:34.566,3697,40.38,30
2023-02-17 04:11:34.775,3685,40.35,30
2023-02-17 04:11:34.951,3691,40.35,30
2023-02-17 04:11:35.156,3680,40.35,30
2023-02-17 04:11:35.355,3694,40.35,30
2023-02-17 04:11:35.560,3687,40.35,30
2023-02-17 04:11:35.768,3694,40.35,30
2023-02-17 04:11:35.976,3678,40.35,30
2023-02-17 04:11:36.184,3676,40.35,30
2023-02-17 04:11:36.407,3693,40.35,30
2023-02-17 04:11:36.615,3676,40.35,30
2023-02-17 04:11:36.824,3695,40.35,30
2023-02-17 04:11:37.014,3683,40.35,30
2023-02-17 04:11:37.225,3675,40.35,30
2023-02-17 04:11:37.433,3683,40.35,30
2023-02-17 04:11:37.641,3680,40.35,30
2023-02-17 04:11:37.853,3664,40.35,30
2023-02-17 04:11:38.070,3649,40.35,30
2023-02-17 04:11:38.282,3671,40.35,30
2023-02-17 04:11:38.489,3664,40.35,30
2023-02-17 04:11:38.696,3690,40.35,30
2023-02-17 04:11:38.874,3700,40.35,30
2023-02-17 04:11:39.082,3705,40.35,30
2023-02-17 04:11:39.280,3683,40.35,30
2023-02-17 04:11:39.482,3681,40.35,30
2023-02-17 04:11:39.697,3698,40.35,30
2023-02-17 04:11:39.898,3713,40.35,30
2023-02-17 04:11:40.105,3704,40.35,30
2023-02-17 04:11:40.314,3697,40.35,30
2023-02-17 04:11:40.522,3700,40.35,30
2023-02-17 04:11:40.731,3701,40.35,30
2023-02-17 04:11:40.939,3685,40.35,30
2023-02-17 04:11:41.145,3704,40.35,30
2023-02-17 04:11:41.356,3709,40.35,30
2023-02-17 04:11:41.562,3697,40.35,30
2023-02-17 04:11:41.772,3703,40.35,30
2023-02-17 04:11:41.992,3697,40.35,30
2023-02-17 04:11:42.203,3683,40.35,30
2023-02-17 04:11:42.412,3684,40.35,30
2023-02-17 04:11:42.620,3675,40.35,30
2023-02-17 04:11:42.796,3677,40.35,30
2023-02-17 04:11:43.005,3679,40.35,30
2023-02-17 04:11:43.205,3682,40.32,30
2023-02-17 04:11:43.405,3682,40.32,30
2023-02-17 04:11:43.613,3699,40.32,30
2023-02-17 04:11:43.820,3696,40.32,30
2023-02-17 04:11:44.029,3696,40.32,30
2023-02-17 04:11:44.237,3705,40.32,30
2023-02-17 04:11:44.445,3707,40.32,30
2023-02-17 04:11:44.652,3698,40.32,30
2023-02-17 04:11:44.877,3677,40.32,30
2023-02-17 04:11:45.069,3679,40.32,30
2023-02-17 04:11:45.276,3692,40.32,30
2023-02-17 04:11:45.485,3688,40.32,30
2023-02-17 04:11:45.693,3670,40.32,30
2023-02-17 04:11:45.911,3664,40.32,30
2023-02-17 04:11:46.125,3678,40.32,30
2023-02-17 04:11:46.333,3677,40.32,30
2023-02-17 04:11:46.540,3707,40.32,30
2023-02-17 04:11:46.717,3711,40.32,30
2023-02-17 04:11:46.926,3707,40.32,30
2023-02-17 04:11:47.130,3697,40.32,30
2023-02-17 04:11:47.330,3715,40.32,30
2023-02-17 04:11:47.535,3703,40.32,30
2023-02-17 04:11:47.743,3720,40.32,30
2023-02-17 04:11:47.951,3742,40.32,30
2023-02-17 04:11:48.158,3732,40.32,30
2023-02-17 04:11:48.365,3721,40.32,30
2023-02-17 04:11:48.575,3732,40.32,30
2023-02-17 04:11:48.782,3716,40.32,30
2023-02-17 04:11:48.991,3699,40.32,30
2023-02-17 04:11:49.198,3703,40.32,30
2023-02-17 04:11:49.408,3703,40.32,30
2023-02-17 04:11:49.616,3716,40.32,30
2023-02-17 04:11:49.829,3706,40.32,30
2023-02-17 04:11:50.046,3694,40.32,30
2023-02-17 04:11:50.256,3691,40.32,30
2023-02-17 04:11:50.464,3685,40.32,30
2023-02-17 04:11:50.671,3700,40.29,30
2023-02-17 04:11:50.848,3716,40.29,30
2023-02-17 04:11:51.056,3720,40.29,30
2023-02-17 04:11:51.256,3733,40.29,30
2023-02-17 04:11:51.457,3726,40.29,30
2023-02-17 04:11:51.665,3740,40.29,30
2023-02-17 04:11:51.873,3705,40.29,30
