               data_ora   rad  temperatura
2023-02-21 03:00:02.031  4512        40.32
2023-02-21 03:00:02.236  4508        40.32
2023-02-21 03:00:02.449  4514        40.32
2023-02-21 03:00:02.651  4519        40.32
2023-02-21 03:00:02.860  4505        40.32
2023-02-21 03:00:03.067  4507        40.32
2023-02-21 03:00:03.282  4552        40.32
2023-02-21 03:00:03.489  4539        40.32
2023-02-21 03:00:03.707  4550        40.32
2023-02-21 03:00:03.922  4529        40.32
2023-02-21 03:00:04.130  4563        40.32
2023-02-21 03:00:04.338  4564        40.32
2023-02-21 03:00:04.546  4539        40.32
2023-02-21 03:00:04.754  4563        40.32
2023-02-21 03:00:04.930  4545        40.32
2023-02-21 03:00:05.139  4558        40.32
2023-02-21 03:00:05.345  4569        40.32
2023-02-21 03:00:05.555  4552        40.32
2023-02-21 03:00:05.757  4549        40.32
2023-02-21 03:00:05.955  4551        40.32
2023-02-21 03:00:06.164  4544        40.32
2023-02-21 03:00:06.370  4542        40.32
2023-02-21 03:00:06.579  4549        40.32
2023-02-21 03:00:06.788  4566        40.32
2023-02-21 03:00:06.996  4565        40.32
2023-02-21 03:00:07.202  4570        40.32
2023-02-21 03:00:07.418  4574        40.32
2023-02-21 03:00:07.636  4588        40.32
2023-02-21 03:00:07.845  4591        40.32
2023-02-21 03:00:08.053  4569        40.32
2023-02-21 03:00:08.261  4568        40.32
2023-02-21 03:00:08.469  4555        40.32
2023-02-21 03:00:08.677  4548        40.32
2023-02-21 03:00:08.853  4561        40.32
2023-02-21 03:00:09.061  4546        40.32
2023-02-21 03:00:09.268  4553        40.32
2023-02-21 03:00:09.477  4537        40.32
2023-02-21 03:00:09.678  4551        40.32
2023-02-21 03:00:09.876  4549        40.32
2023-02-21 03:00:10.085  4538        40.32
2023-02-21 03:00:10.309  4522        40.32
2023-02-21 03:00:10.501  4529        40.32
2023-02-21 03:00:10.710  4532        40.32
2023-02-21 03:00:10.918  4549        40.32
2023-02-21 03:00:11.126  4545        40.32
2023-02-21 03:00:11.345  4554        40.32
2023-02-21 03:00:11.556  4545        40.32
2023-02-21 03:00:11.766  4534        40.32
2023-02-21 03:00:11.975  4562        40.32
2023-02-21 03:00:12.183  4567        40.32
2023-02-21 03:00:12.391  4562        40.32
2023-02-21 03:00:12.571  4579        40.32
2023-02-21 03:00:12.775  4576        40.32
2023-02-21 03:00:12.983  4581        40.32
2023-02-21 03:00:13.191  4568        40.32
2023-02-21 03:00:13.399  4570        40.35
2023-02-21 03:00:13.602  4554        40.35
2023-02-21 03:00:13.800  4562        40.35
2023-02-21 03:00:14.008  4575        40.35
2023-02-21 03:00:14.216  4542        40.35
2023-02-21 03:00:14.424  4564        40.35
2023-02-21 03:00:14.632  4554        40.35
2023-02-21 03:00:14.840  4588        40.35
2023-02-21 03:00:15.053  4566        40.35
2023-02-21 03:00:15.270  4544        40.35
2023-02-21 03:00:15.479  4552        40.35
2023-02-21 03:00:15.689  4550        40.35
2023-02-21 03:00:15.896  4541        40.35
2023-02-21 03:00:16.106  4530        40.35
2023-02-21 03:00:16.314  4517        40.35
2023-02-21 03:00:16.490  4516        40.35
2023-02-21 03:00:16.697  4532        40.35
2023-02-21 03:00:16.905  4505        40.35
2023-02-21 03:00:17.114  4507        40.35
2023-02-21 03:00:17.323  4526        40.35
2023-02-21 03:00:17.524  4495        40.35
2023-02-21 03:00:17.723  4519        40.35
2023-02-21 03:00:17.931  4494        40.35
2023-02-21 03:00:18.139  4526        40.35
2023-02-21 03:00:18.348  4527        40.35
2023-02-21 03:00:18.555  4517        40.35
2023-02-21 03:00:18.762  4527        40.35
2023-02-21 03:00:18.979  4532        40.35
2023-02-21 03:00:19.195  4515        40.35
2023-02-21 03:00:19.404  4544        40.35
2023-02-21 03:00:19.612  4523        40.35
2023-02-21 03:00:19.820  4524        40.35
2023-02-21 03:00:20.028  4518        40.35
2023-02-21 03:00:20.252  4530        40.35
2023-02-21 03:00:20.428  4488        40.35
2023-02-21 03:00:20.636  4509        40.32
2023-02-21 03:00:20.829  4536        40.32
2023-02-21 03:00:21.037  4491        40.32
2023-02-21 03:00:21.245  4487        40.32
2023-02-21 03:00:21.446  4493        40.32
2023-02-21 03:00:21.644  4473        40.32
2023-02-21 03:00:21.854  4504        40.32
2023-02-21 03:00:22.062  4485        40.32
2023-02-21 03:00:22.270  4481        40.32
2023-02-21 03:00:22.476  4479        40.32
2023-02-21 03:00:22.686  4487        40.32
2023-02-21 03:00:22.901  4477        40.32
2023-02-21 03:00:23.118  4475        40.32
2023-02-21 03:00:23.326  4474        40.32
2023-02-21 03:00:23.534  4481        40.32
2023-02-21 03:00:23.741  4488        40.32
2023-02-21 03:00:23.950  4473        40.32
2023-02-21 03:00:24.158  4459        40.32
2023-02-21 03:00:24.335  4471        40.32
2023-02-21 03:00:24.543  4484        40.32
2023-02-21 03:00:24.752  4479        40.32
