               data_ora   rad  temperatura elevazione
2023-02-23 03:20:23.176  5233        40.38         20
2023-02-23 03:20:23.389  5229        40.38         20
2023-02-23 03:20:23.597  5236        40.38         20
2023-02-23 03:20:23.773  5220        40.38         20
2023-02-23 03:20:23.974  5216        40.38         20
2023-02-23 03:20:24.173  5195        40.38         20
2023-02-23 03:20:24.382  5212        40.38         20
2023-02-23 03:20:24.589  5185        40.38         20
2023-02-23 03:20:24.798  5219        40.38         20
2023-02-23 03:20:25.006  5201        40.38         20
2023-02-23 03:20:25.215  5200        40.38         20
2023-02-23 03:20:25.423  5226        40.38         20
2023-02-23 03:20:25.630  5232        40.38         20
2023-02-23 03:20:25.839  5226        40.38         20
2023-02-23 03:20:26.047  5195        40.38         20
2023-02-23 03:20:26.253  5212        40.38         20
2023-02-23 03:20:26.463  5215        40.38         20
2023-02-23 03:20:26.671  5229        40.38         20
2023-02-23 03:20:26.879  5224        40.38         20
2023-02-23 03:20:27.093  5199        40.38         20
2023-02-23 03:20:27.312  5192        40.38         20
2023-02-23 03:20:27.519  5209        40.38         20
2023-02-23 03:20:27.728  5206        40.38         20
2023-02-23 03:20:27.899  5195        40.38         20
2023-02-23 03:20:28.096  5191        40.38         20
2023-02-23 03:20:28.304  5205        40.38         20
2023-02-23 03:20:28.512  5186        40.38         20
2023-02-23 03:20:28.720  5204        40.38         20
2023-02-23 03:20:28.930  5191        40.38         20
2023-02-23 03:20:29.137  5183        40.38         20
2023-02-23 03:20:29.345  5207        40.38         20
2023-02-23 03:20:29.554  5182        40.38         20
2023-02-23 03:20:29.761  5189        40.38         20
2023-02-23 03:20:29.968  5205        40.38         20
2023-02-23 03:20:30.176  5204        40.38         20
2023-02-23 03:20:30.384  5216        40.38         20
2023-02-23 03:20:30.595  5204        40.38         20
2023-02-23 03:20:30.803  5197        40.38         20
2023-02-23 03:20:31.009  5204        40.38         20
2023-02-23 03:20:31.229  5207        40.38         20
2023-02-23 03:20:31.443  5226        40.38         20
2023-02-23 03:20:31.652  5219        40.38         20
2023-02-23 03:20:31.822  5224        40.38         20
2023-02-23 03:20:32.019  5215        40.38         20
2023-02-23 03:20:32.226  5233        40.38         20
2023-02-23 03:20:32.435  5243        40.38         20
2023-02-23 03:20:32.644  5229        40.38         20
2023-02-23 03:20:32.852  5258        40.38         20
2023-02-23 03:20:33.060  5251        40.38         20
2023-02-23 03:20:33.269  5265        40.38         20
2023-02-23 03:20:33.477  5256        40.38         20
2023-02-23 03:20:33.685  5258        40.38         20
2023-02-23 03:20:33.893  5266        40.38         20
2023-02-23 03:20:34.099  5264        40.38         20
2023-02-23 03:20:34.309  5293        40.38         20
2023-02-23 03:20:34.516  5272        40.38         20
2023-02-23 03:20:34.724  5280        40.38         20
2023-02-23 03:20:34.934  5281        40.38         20
2023-02-23 03:20:35.153  5272        40.38         20
2023-02-23 03:20:35.366  5263        40.38         20
2023-02-23 03:20:35.574  5287        40.38         20
2023-02-23 03:20:35.745  5280        40.38         20
2023-02-23 03:20:35.941  5292        40.38         20
2023-02-23 03:20:36.148  5302        40.38         20
2023-02-23 03:20:36.358  5316        40.38         20
2023-02-23 03:20:36.566  5309        40.38         20
2023-02-23 03:20:36.790  5290        40.38         20
2023-02-23 03:20:36.998  5294        40.35         20
2023-02-23 03:20:37.205  5305        40.35         20
2023-02-23 03:20:37.399  5277        40.35         20
2023-02-23 03:20:37.606  5298        40.35         20
2023-02-23 03:20:37.814  5298        40.35         20
2023-02-23 03:20:38.023  5301        40.35         20
2023-02-23 03:20:38.231  5286        40.35         20
2023-02-23 03:20:38.439  5303        40.35         20
2023-02-23 03:20:38.646  5287        40.35         20
2023-02-23 03:20:38.855  5307        40.35         20
2023-02-23 03:20:39.068  5295        40.35         20
2023-02-23 03:20:39.286  5290        40.35         20
2023-02-23 03:20:39.496  5268        40.35         20
2023-02-23 03:20:39.668  5283        40.35         20
2023-02-23 03:20:39.864  5277        40.35         20
2023-02-23 03:20:40.072  5287        40.35         20
2023-02-23 03:20:40.280  5261        40.35         20
2023-02-23 03:20:40.488  5280        40.35         20
2023-02-23 03:20:40.696  5287        40.35         20
2023-02-23 03:20:40.905  5280        40.35         20
2023-02-23 03:20:41.109  5286        40.35         20
2023-02-23 03:20:41.321  5281        40.35         20
2023-02-23 03:20:41.527  5286        40.35         20
2023-02-23 03:20:41.737  5295        40.35         20
2023-02-23 03:20:41.945  5287        40.35         20
2023-02-23 03:20:42.153  5301        40.35         20
2023-02-23 03:20:42.361  5294        40.35         20
2023-02-23 03:20:42.569  5301        40.35         20
2023-02-23 03:20:42.777  5296        40.35         20
2023-02-23 03:20:42.994  5315        40.38         20
2023-02-23 03:20:43.209  5284        40.38         20
2023-02-23 03:20:43.417  5290        40.35         20
2023-02-23 03:20:43.592  5281        40.35         20
2023-02-23 03:20:43.792  5299        40.35         20
2023-02-23 03:20:43.995  5286        40.35         20
2023-02-23 03:20:44.203  5286        40.35         20
2023-02-23 03:20:44.411  5299        40.35         20
2023-02-23 03:20:44.617  5291        40.35         20
2023-02-23 03:20:44.827  5299        40.35         20
2023-02-23 03:20:45.036  5286        40.35         20
2023-02-23 03:20:45.244  5297        40.35         20
2023-02-23 03:20:45.450  5290        40.35         20
2023-02-23 03:20:45.660  5292        40.35         20
2023-02-23 03:20:45.868  5288        40.35         20
2023-02-23 03:20:46.077  5310        40.35         20
2023-02-23 03:20:46.285  5312        40.35         20
2023-02-23 03:20:46.491  5314        40.35         20
2023-02-23 03:20:46.701  5309        40.35         20
2023-02-23 03:20:46.915  5330        40.35         20
2023-02-23 03:20:47.133  5322        40.35         20
2023-02-23 03:20:47.341  5323        40.35         20
2023-02-23 03:20:47.515  5298        40.35         20
2023-02-23 03:20:47.714  5317        40.35         20
2023-02-23 03:20:47.918  5315        40.35         20
2023-02-23 03:20:48.124  5322        40.35         20
2023-02-23 03:20:48.334  5308        40.35         20
2023-02-23 03:20:48.542  5307        40.35         20
2023-02-23 03:20:48.749  5298        40.35         20
2023-02-23 03:20:48.957  5311        40.35         20
2023-02-23 03:20:49.167  5283        40.35         20
2023-02-23 03:20:49.375  5307        40.35         20
2023-02-23 03:20:49.582  5306        40.35         20
2023-02-23 03:20:49.790  5281        40.35         20
2023-02-23 03:20:49.998  5286        40.35         20
2023-02-23 03:20:50.207  5276        40.35         20
2023-02-23 03:20:50.415  5288        40.35         20
2023-02-23 03:20:50.623  5285        40.35         20
2023-02-23 03:20:50.830  5282        40.35         20
2023-02-23 03:20:51.049  5253        40.35         20
2023-02-23 03:20:51.262  5292        40.35         20
2023-02-23 03:20:51.472  5285        40.35         20
2023-02-23 03:20:51.636  5298        40.35         20
2023-02-23 03:20:51.840  5296        40.35         20
2023-02-23 03:20:52.048  5279        40.35         20
2023-02-23 03:20:52.256  5313        40.35         20
2023-02-23 03:20:52.464  5300        40.35         20
2023-02-23 03:20:52.672  5300        40.35         20
2023-02-23 03:20:52.881  5292        40.35         20
2023-02-23 03:20:53.089  5295        40.32         20
2023-02-23 03:20:53.296  5315        40.35         20
2023-02-23 03:20:53.504  5300        40.35         20
2023-02-23 03:20:53.713  5321        40.32         20
2023-02-23 03:20:53.921  5317        40.32         20
2023-02-23 03:20:54.130  5319        40.32         20
2023-02-23 03:20:54.338  5322        40.32         20
2023-02-23 03:20:54.546  5309        40.32         20
2023-02-23 03:20:54.754  5306        40.32         20
2023-02-23 03:20:54.978  5292        40.32         20
2023-02-23 03:20:55.201  5292        40.32         20
2023-02-23 03:20:55.394  5285        40.32         20
2023-02-23 03:20:55.560  5305        40.32         20
2023-02-23 03:20:55.763  5298        40.32         20
2023-02-23 03:20:55.971  5298        40.32         20
2023-02-23 03:20:56.178  5304        40.32         20
2023-02-23 03:20:56.387  5297        40.32         20
2023-02-23 03:20:56.595  5282        40.32         20
2023-02-23 03:20:56.803  5286        40.32         20
2023-02-23 03:20:57.010  5300        40.32         20
2023-02-23 03:20:57.218  5286        40.32         20
2023-02-23 03:20:57.428  5288        40.32         20
2023-02-23 03:20:57.636  5284        40.32         20
2023-02-23 03:20:57.844  5307        40.32         20
2023-02-23 03:20:58.052  5306        40.32         20
2023-02-23 03:20:58.260  5292        40.32         20
2023-02-23 03:20:58.468  5282        40.32         20
2023-02-23 03:20:58.676  5295        40.32         20
2023-02-23 03:20:58.893  5295        40.32         20
2023-02-23 03:20:59.108  5304        40.32         20
2023-02-23 03:20:59.316  5295        40.32         20
2023-02-23 03:20:59.485  5297        40.32         20
2023-02-23 03:20:59.684  5302        40.32         20
2023-02-23 03:20:59.892  5306        40.32         20
2023-02-23 03:21:00.102  5302        40.32         20
2023-02-23 03:21:00.309  5295        40.32         20
2023-02-23 03:21:00.517  5302        40.29         20
2023-02-23 03:21:00.725  5322        40.29         20
2023-02-23 03:21:00.932  5311        40.29         20
2023-02-23 03:21:01.142  5314        40.29         20
2023-02-23 03:21:01.349  5301        40.29         20
2023-02-23 03:21:01.557  5289        40.29         20
2023-02-23 03:21:01.767  5279        40.29         20
2023-02-23 03:21:01.974  5277        40.29         20
2023-02-23 03:21:02.183  5306        40.29         20
2023-02-23 03:21:02.391  5296        40.29         20
2023-02-23 03:21:02.599  5286        40.29         20
2023-02-23 03:21:02.811  5296        40.29         20
2023-02-23 03:21:03.030  5276        40.29         20
2023-02-23 03:21:03.239  5292        40.29         20
2023-02-23 03:21:03.407  5295        40.29         20
2023-02-23 03:21:03.606  5305        40.29         20
2023-02-23 03:21:03.815  5313        40.29         20
2023-02-23 03:21:04.023  5307        40.29         20
2023-02-23 03:21:04.231  5308        40.29         20
2023-02-23 03:21:04.438  5299        40.29         20
2023-02-23 03:21:04.656  5298        40.29         20
2023-02-23 03:21:04.856  5316        40.29         20
2023-02-23 03:21:05.063  5319        40.29         20
2023-02-23 03:21:05.273  5324        40.29         20
2023-02-23 03:21:05.481  5342        40.29         20
2023-02-23 03:21:05.689  5346        40.29         20
2023-02-23 03:21:05.896  5343        40.29         20
2023-02-23 03:21:06.104  5338        40.29         20
2023-02-23 03:21:06.313  5347        40.29         20
2023-02-23 03:21:06.522  5307        40.29         20
2023-02-23 03:21:06.734  5329        40.29         20
2023-02-23 03:21:06.951  5320        40.29         20
2023-02-23 03:21:07.161  5310        40.29         20
2023-02-23 03:21:07.330  5317        40.29         20
2023-02-23 03:21:07.530  5308        40.29         20
2023-02-23 03:21:07.737  5283        40.29         20
2023-02-23 03:21:07.946  5288        40.32         20
2023-02-23 03:21:08.155  5281        40.32         20
2023-02-23 03:21:08.362  5295        40.32         20
2023-02-23 03:21:08.570  5289        40.32         20
2023-02-23 03:21:08.779  5288        40.32         20
2023-02-23 03:21:08.987  5288        40.32         20
2023-02-23 03:21:09.192  5273        40.29         20
2023-02-23 03:21:09.403  5300        40.32         20
2023-02-23 03:21:09.612  5301        40.32         20
2023-02-23 03:21:09.819  5289        40.32         20
2023-02-23 03:21:10.028  5287        40.32         20
2023-02-23 03:21:10.236  5287        40.32         20
2023-02-23 03:21:10.444  5275        40.32         20
2023-02-23 03:21:10.651  5281        40.32         20
2023-02-23 03:21:10.871  5283        40.32         20
2023-02-23 03:21:11.084  5272        40.32         20
2023-02-23 03:21:11.256  5285        40.32         20
2023-02-23 03:21:11.452  5298        40.32         20
2023-02-23 03:21:11.659  5293        40.32         20
2023-02-23 03:21:11.868  5296        40.32         20
2023-02-23 03:21:12.076  5309        40.32         20
2023-02-23 03:21:12.284  5311        40.32         20
2023-02-23 03:21:12.493  5295        40.32         20
2023-02-23 03:21:12.701  5320        40.32         20
2023-02-23 03:21:12.909  5302        40.32         20
2023-02-23 03:21:13.118  5306        40.32         20
2023-02-23 03:21:13.324  5304        40.32         20
2023-02-23 03:21:13.534  5323        40.32         20
2023-02-23 03:21:13.742  5331        40.32         20
2023-02-23 03:21:13.950  5335        40.32         20
2023-02-23 03:21:14.158  5325        40.32         20
2023-02-23 03:21:14.367  5326        40.32         20
2023-02-23 03:21:14.575  5335        40.32         20
2023-02-23 03:21:14.790  5329        40.32         20
2023-02-23 03:21:15.008  5325        40.32         20
2023-02-23 03:21:15.215  5325        40.35         20
2023-02-23 03:21:15.374  5336        40.35         20
2023-02-23 03:21:15.583  5338        40.32         20
2023-02-23 03:21:15.790  5311        40.32         20
2023-02-23 03:21:15.998  5331        40.32         20
2023-02-23 03:21:16.207  5324        40.32         20
2023-02-23 03:21:16.415  5323        40.32         20
2023-02-23 03:21:16.624  5315        40.32         20
2023-02-23 03:21:16.833  5322        40.32         20
2023-02-23 03:21:17.041  5313        40.32         20
2023-02-23 03:21:17.248  5320        40.32         20
2023-02-23 03:21:17.456  5313        40.32         20
2023-02-23 03:21:17.664  5304        40.32         20
2023-02-23 03:21:17.871  5310        40.32         20
2023-02-23 03:21:18.080  5321        40.32         20
2023-02-23 03:21:18.288  5327        40.32         20
2023-02-23 03:21:18.497  5319        40.32         20
2023-02-23 03:21:18.704  5316        40.32         20
2023-02-23 03:21:18.925  5323        40.32         20
2023-02-23 03:21:19.137  5334        40.32         20
2023-02-23 03:21:19.298  5296        40.32         20
2023-02-23 03:21:19.504  5302        40.32         20
2023-02-23 03:21:19.714  5311        40.32         20
2023-02-23 03:21:19.921  5311        40.35         20
2023-02-23 03:21:20.129  5272        40.32         20
2023-02-23 03:21:20.338  5278        40.35         20
2023-02-23 03:21:20.547  5304        40.35         20
2023-02-23 03:21:20.755  5302        40.35         20
2023-02-23 03:21:20.963  5284        40.35         20
2023-02-23 03:21:21.166  5289        40.35         20
2023-02-23 03:21:21.379  5283        40.35         20
2023-02-23 03:21:21.587  5290        40.35         20
2023-02-23 03:21:21.796  5278        40.35         20
2023-02-23 03:21:22.004  5282        40.35         20
2023-02-23 03:21:22.212  5277        40.35         20
2023-02-23 03:21:22.419  5277        40.35         20
2023-02-23 03:21:22.626  5307        40.35         20
2023-02-23 03:21:22.845  5297        40.35         20
2023-02-23 03:21:23.059  5299        40.35         20
2023-02-23 03:21:23.220  5291        40.35         20
2023-02-23 03:21:23.428  5276        40.35         20
2023-02-23 03:21:23.637  5292        40.35         20
2023-02-23 03:21:23.845  5273        40.35         20
2023-02-23 03:21:24.052  5269        40.35         20
2023-02-23 03:21:24.259  5252        40.35         20
2023-02-23 03:21:24.469  5274        40.35         20
2023-02-23 03:21:24.678  5268        40.35         20
2023-02-23 03:21:24.884  5260        40.35         20
2023-02-23 03:21:25.089  5249        40.38         20
2023-02-23 03:21:25.302  5238        40.38         20
2023-02-23 03:21:25.509  5244        40.38         20
2023-02-23 03:21:25.718  5261        40.38         20
2023-02-23 03:21:25.925  5283        40.38         20
2023-02-23 03:21:26.134  5271        40.38         20
2023-02-23 03:21:26.342  5296        40.38         20
2023-02-23 03:21:26.551  5298        40.38         20
2023-02-23 03:21:26.762  5280        40.38         20
2023-02-23 03:21:26.981  5293        40.38         20
2023-02-23 03:21:27.143  5294        40.38         20
2023-02-23 03:21:27.352  5297        40.38         20
2023-02-23 03:21:27.560  5285        40.38         20
2023-02-23 03:21:27.762  5305        40.38         20
2023-02-23 03:21:27.973  5298        40.38         20
2023-02-23 03:21:28.182  5295        40.38         20
2023-02-23 03:21:28.392  5315        40.38         20
2023-02-23 03:21:28.599  5319        40.38         20
2023-02-23 03:21:28.807  5318        40.38         20
2023-02-23 03:21:29.009  5317        40.38         20
2023-02-23 03:21:29.224  5298        40.38         20
2023-02-23 03:21:29.432  5323        40.38         20
2023-02-23 03:21:29.640  5308        40.38         20
2023-02-23 03:21:29.847  5291        40.38         20
2023-02-23 03:21:30.057  5289        40.38         20
2023-02-23 03:21:30.265  5308        40.38         20
2023-02-23 03:21:30.473  5296        40.38         20
2023-02-23 03:21:30.685  5296        40.38         20
2023-02-23 03:21:30.902  5264        40.38         20
2023-02-23 03:21:31.071  5272        40.38         20
2023-02-23 03:21:31.273  5277        40.38         20
2023-02-23 03:21:31.480  5292        40.38         20
2023-02-23 03:21:31.690  5302        40.38         20
2023-02-23 03:21:31.897  5278        40.38         20
2023-02-23 03:21:32.105  5281        40.38         20
2023-02-23 03:21:32.313  5280        40.38         20
2023-02-23 03:21:32.521  5290        40.38         20
2023-02-23 03:21:32.728  5280        40.38         20
2023-02-23 03:21:32.931  5286        40.38         20
2023-02-23 03:21:33.146  5274        40.38         20
2023-02-23 03:21:33.353  5275        40.38         20
2023-02-23 03:21:33.562  5277        40.38         20
2023-02-23 03:21:33.771  5279        40.38         20
2023-02-23 03:21:33.978  5292        40.38         20
2023-02-23 03:21:34.185  5294        40.38         20
2023-02-23 03:21:34.393  5305        40.38         20
2023-02-23 03:21:34.607  5305        40.38         20
2023-02-23 03:21:34.824  5301        40.38         20
2023-02-23 03:21:34.991  5308        40.38         20
2023-02-23 03:21:35.195  5288        40.38         20
2023-02-23 03:21:35.404  5306        40.38         20
2023-02-23 03:21:35.612  5293        40.38         20
2023-02-23 03:21:35.821  5297        40.38         20
2023-02-23 03:21:36.028  5278        40.38         20
2023-02-23 03:21:36.237  5277        40.38         20
2023-02-23 03:21:36.445  5291        40.38         20
2023-02-23 03:21:36.652  5297        40.38         20
2023-02-23 03:21:36.853  5275        40.38         20
2023-02-23 03:21:37.070  5279        40.38         20
2023-02-23 03:21:37.278  5275        40.38         20
