               data_ora   rad  temperatura
2023-01-19 02:02:21.004  3797        40.38
2023-01-19 02:02:21.213  3774        40.38
2023-01-19 02:02:21.422  3767        40.38
2023-01-19 02:02:21.620  3734        40.38
2023-01-19 02:02:21.820  3722        40.38
2023-01-19 02:02:22.029  3698        40.38
2023-01-19 02:02:22.247  3668        40.38
2023-01-19 02:02:22.415  3658        40.38
2023-01-19 02:02:22.622  3625        40.38
2023-01-19 02:02:22.829  3554        40.38
2023-01-19 02:02:23.037  3541        40.38
2023-01-19 02:02:23.244  3534        40.38
2023-01-19 02:02:23.452  3514        40.38
2023-01-19 02:02:23.662  3504        40.38
2023-01-19 02:02:23.869  3501        40.38
2023-01-19 02:02:24.068  3518        40.38
2023-01-19 02:02:24.269  3510        40.38
2023-01-19 02:02:24.485  3546        40.38
2023-01-19 02:02:24.703  3526        40.38
2023-01-19 02:02:24.910  3537        40.38
2023-01-19 02:02:25.118  3558        40.38
2023-01-19 02:02:25.326  3588        40.38
2023-01-19 02:02:25.535  3586        40.38
2023-01-19 02:02:25.742  3587        40.38
2023-01-19 02:02:25.951  3621        40.38
2023-01-19 02:02:26.159  3624        40.38
2023-01-19 02:02:26.375  3628        40.38
2023-01-19 02:02:26.543  3638        40.38
2023-01-19 02:02:26.752  3668        40.38
2023-01-19 02:02:26.960  3676        40.38
2023-01-19 02:02:27.168  3719        40.38
2023-01-19 02:02:27.377  3728        40.35
2023-01-19 02:02:27.583  3738        40.35
2023-01-19 02:02:27.790  3740        40.35
2023-01-19 02:02:27.989  3752        40.35
2023-01-19 02:02:28.193  3745        40.35
2023-01-19 02:02:28.399  3749        40.35
2023-01-19 02:02:28.608  3739        40.38
2023-01-19 02:02:28.828  3735        40.35
2023-01-19 02:02:29.041  3711        40.38
2023-01-19 02:02:29.250  3679        40.38
2023-01-19 02:02:29.458  3678        40.35
2023-01-19 02:02:29.664  3654        40.35
2023-01-19 02:02:29.874  3632        40.35
2023-01-19 02:02:30.082  3607        40.38
2023-01-19 02:02:30.290  3591        40.38
2023-01-19 02:02:30.467  3584        40.38
2023-01-19 02:02:30.675  3568        40.35
2023-01-19 02:02:30.883  3555        40.35
2023-01-19 02:02:31.090  3539        40.35
2023-01-19 02:02:31.298  3533        40.35
2023-01-19 02:02:31.506  3517        40.35
2023-01-19 02:02:31.711  3540        40.35
2023-01-19 02:02:31.908  3533        40.35
2023-01-19 02:02:32.115  3563        40.35
2023-01-19 02:02:32.322  3540        40.35
2023-01-19 02:02:32.531  3533        40.35
2023-01-19 02:02:32.739  3558        40.35
2023-01-19 02:02:32.958  3536        40.35
2023-01-19 02:02:33.170  3557        40.35
2023-01-19 02:02:33.381  3555        40.35
2023-01-19 02:02:33.589  3540        40.35
2023-01-19 02:02:33.812  3538        40.35
2023-01-19 02:02:34.018  3556        40.35
2023-01-19 02:02:34.227  3543        40.35
2023-01-19 02:02:34.435  3542        40.35
2023-01-19 02:02:34.595  3549        40.35
2023-01-19 02:02:34.804  3519        40.35
2023-01-19 02:02:35.013  3557        40.35
2023-01-19 02:02:35.221  3550        40.35
2023-01-19 02:02:35.427  3534        40.35
2023-01-19 02:02:35.630  3540        40.35
2023-01-19 02:02:35.828  3534        40.35
2023-01-19 02:02:36.036  3534        40.35
2023-01-19 02:02:36.243  3534        40.35
2023-01-19 02:02:36.453  3524        40.35
2023-01-19 02:02:36.660  3536        40.35
2023-01-19 02:02:36.869  3532        40.35
2023-01-19 02:02:37.086  3539        40.35
2023-01-19 02:02:37.301  3531        40.35
2023-01-19 02:02:37.508  3554        40.35
2023-01-19 02:02:37.716  3571        40.35
2023-01-19 02:02:37.924  3552        40.35
2023-01-19 02:02:38.134  3568        40.35
2023-01-19 02:02:38.341  3565        40.35
2023-01-19 02:02:38.517  3560        40.35
2023-01-19 02:02:38.727  3568        40.35
2023-01-19 02:02:38.934  3559        40.35
2023-01-19 02:02:39.141  3546        40.35
2023-01-19 02:02:39.350  3533        40.35
2023-01-19 02:02:39.551  3540        40.35
2023-01-19 02:02:39.751  3541        40.35
2023-01-19 02:02:39.959  3562        40.35
2023-01-19 02:02:40.166  3560        40.35
2023-01-19 02:02:40.374  3563        40.35
2023-01-19 02:02:40.584  3567        40.35
2023-01-19 02:02:40.792  3565        40.35
2023-01-19 02:02:40.999  3602        40.35
2023-01-19 02:02:41.207  3586        40.35
2023-01-19 02:02:41.425  3591        40.32
2023-01-19 02:02:41.639  3598        40.32
2023-01-19 02:02:41.847  3622        40.32
2023-01-19 02:02:42.056  3631        40.32
2023-01-19 02:02:42.264  3586        40.32
2023-01-19 02:02:42.472  3591        40.32
2023-01-19 02:02:42.647  3588        40.32
2023-01-19 02:02:42.856  3605        40.32
2023-01-19 02:02:43.063  3577        40.32
2023-01-19 02:02:43.271  3574        40.32
2023-01-19 02:02:43.471  3568        40.32
2023-01-19 02:02:43.673  3584        40.32
2023-01-19 02:02:43.881  3577        40.32
2023-01-19 02:02:44.089  3585        40.32
2023-01-19 02:02:44.312  3572        40.32
2023-01-19 02:02:44.504  3566        40.32
2023-01-19 02:02:44.712  3573        40.32
2023-01-19 02:02:44.920  3563        40.32
2023-01-19 02:02:45.128  3559        40.32
2023-01-19 02:02:45.336  3572        40.32
2023-01-19 02:02:45.550  3536        40.32
2023-01-19 02:02:45.765  3548        40.32
2023-01-19 02:02:45.977  3531        40.32
2023-01-19 02:02:46.187  3538        40.32
2023-01-19 02:02:46.394  3546        40.29
2023-01-19 02:02:46.602  3537        40.29
2023-01-19 02:02:46.778  3529        40.29
2023-01-19 02:02:46.985  3527        40.29
2023-01-19 02:02:47.191  3536        40.29
2023-01-19 02:02:47.390  3541        40.29
2023-01-19 02:02:47.595  3536        40.29
2023-01-19 02:02:47.803  3534        40.29
2023-01-19 02:02:48.011  3535        40.29
2023-01-19 02:02:48.219  3522        40.29
2023-01-19 02:02:48.426  3541        40.29
2023-01-19 02:02:48.635  3539        40.29
2023-01-19 02:02:48.843  3534        40.29
2023-01-19 02:02:49.052  3552        40.29
2023-01-19 02:02:49.258  3540        40.29
2023-01-19 02:02:49.466  3533        40.29
2023-01-19 02:02:49.680  3554        40.29
2023-01-19 02:02:49.898  3538        40.29
2023-01-19 02:02:50.108  3554        40.29
2023-01-19 02:02:50.315  3548        40.29
2023-01-19 02:02:50.523  3568        40.29
2023-01-19 02:02:50.700  3557        40.29
2023-01-19 02:02:50.908  3564        40.29
2023-01-19 02:02:51.111  3573        40.26
2023-01-19 02:02:51.307  3571        40.26
2023-01-19 02:02:51.516  3558        40.26
2023-01-19 02:02:51.724  3564        40.26
2023-01-19 02:02:51.932  3548        40.26
2023-01-19 02:02:52.141  3585        40.26
2023-01-19 02:02:52.349  3587        40.26
2023-01-19 02:02:52.558  3611        40.26
2023-01-19 02:02:52.765  3636        40.26
2023-01-19 02:02:52.973  3642        40.26
2023-01-19 02:02:53.181  3659        40.26
2023-01-19 02:02:53.390  3635        40.26
2023-01-19 02:02:53.599  3655        40.26
2023-01-19 02:02:53.807  3656        40.26
2023-01-19 02:02:54.022  3652        40.26
2023-01-19 02:02:54.238  3657        40.22
2023-01-19 02:02:54.447  3664        40.22
2023-01-19 02:02:54.654  3652        40.22
2023-01-19 02:02:54.831  3652        40.22
2023-01-19 02:02:55.030  3638        40.22
2023-01-19 02:02:55.230  3632        40.22
2023-01-19 02:02:55.441  3638        40.22
2023-01-19 02:02:55.664  3605        40.22
2023-01-19 02:02:55.871  3621        40.22
2023-01-19 02:02:56.079  3609        40.22
2023-01-19 02:02:56.288  3601        40.22
2023-01-19 02:02:56.496  3593        40.22
2023-01-19 02:02:56.703  3590        40.22
2023-01-19 02:02:56.896  3618        40.22
2023-01-19 02:02:57.103  3616        40.22
2023-01-19 02:02:57.312  3598        40.22
2023-01-19 02:02:57.519  3597        40.22
2023-01-19 02:02:57.727  3606        40.22
2023-01-19 02:02:57.935  3612        40.22
2023-01-19 02:02:58.145  3603        40.22
2023-01-19 02:02:58.360  3615        40.22
2023-01-19 02:02:58.576  3596        40.22
2023-01-19 02:02:58.783  3605        40.22
2023-01-19 02:02:58.951  3619        40.22
2023-01-19 02:02:59.153  3587        40.22
2023-01-19 02:02:59.360  3605        40.22
