               data_ora   rad  temperatura elevazione
2023-01-22 02:12:39.002  4075        40.32         20
2023-01-22 02:12:39.211  4073        40.32         20
2023-01-22 02:12:39.417  4082        40.32         20
2023-01-22 02:12:39.627  4095        40.32         20
2023-01-22 02:12:39.834  4093        40.32         20
2023-01-22 02:12:40.043  4095        40.29         20
2023-01-22 02:12:40.256  4084        40.29         20
2023-01-22 02:12:40.475  4053        40.32         20
2023-01-22 02:12:40.633  4055        40.32         20
2023-01-22 02:12:40.844  4066        40.32         20
2023-01-22 02:12:41.051  4041        40.32         20
2023-01-22 02:12:41.260  4045        40.32         20
2023-01-22 02:12:41.468  4081        40.29         20
2023-01-22 02:12:41.676  4074        40.29         20
2023-01-22 02:12:41.884  4087        40.32         20
2023-01-22 02:12:42.092  4064        40.32         20
2023-01-22 02:12:42.292  4041        40.29         20
2023-01-22 02:12:42.496  4048        40.29         20
2023-01-22 02:12:42.713  4039        40.29         20
2023-01-22 02:12:42.925  4049        40.29         20
2023-01-22 02:12:43.132  4026        40.29         20
2023-01-22 02:12:43.341  4041        40.29         20
2023-01-22 02:12:43.549  4016        40.29         20
2023-01-22 02:12:43.757  4027        40.29         20
2023-01-22 02:12:43.966  4029        40.29         20
2023-01-22 02:12:44.174  4019        40.29         20
2023-01-22 02:12:44.385  4029        40.29         20
2023-01-22 02:12:44.558  3998        40.29         20
2023-01-22 02:12:44.766  4023        40.29         20
2023-01-22 02:12:44.989  4037        40.29         20
2023-01-22 02:12:45.182  4049        40.29         20
2023-01-22 02:12:45.391  4030        40.29         20
2023-01-22 02:12:45.598  4033        40.29         20
2023-01-22 02:12:45.807  4033        40.26         20
2023-01-22 02:12:46.012  4032        40.26         20
2023-01-22 02:12:46.211  4049        40.26         20
2023-01-22 02:12:46.415  4045        40.29         20
2023-01-22 02:12:46.624  4061        40.29         20
2023-01-22 02:12:46.841  4051        40.29         20
2023-01-22 02:12:47.055  4054        40.29         20
2023-01-22 02:12:47.264  3968        40.29         20
2023-01-22 02:12:47.472  3998        40.29         20
2023-01-22 02:12:47.679  4003        40.29         20
2023-01-22 02:12:47.887  4019        40.29         20
2023-01-22 02:12:48.096  4006        40.26         20
2023-01-22 02:12:48.304  4016        40.26         20
2023-01-22 02:12:48.516  4012        40.26         20
2023-01-22 02:12:48.689  3999        40.26         20
2023-01-22 02:12:48.896  3997        40.26         20
2023-01-22 02:12:49.104  4018        40.26         20
2023-01-22 02:12:49.313  4028        40.26         20
2023-01-22 02:12:49.520  4040        40.26         20
2023-01-22 02:12:49.728  4038        40.26         20
2023-01-22 02:12:49.933  4032        40.26         20
2023-01-22 02:12:50.133  4028        40.26         20
2023-01-22 02:12:50.337  4034        40.26         20
2023-01-22 02:12:50.544  4015        40.26         20
2023-01-22 02:12:50.753  4025        40.26         20
2023-01-22 02:12:50.968  4049        40.26         20
2023-01-22 02:12:51.185  4035        40.26         20
2023-01-22 02:12:51.393  4024        40.26         20
2023-01-22 02:12:51.602  4042        40.29         20
2023-01-22 02:12:51.810  4055        40.26         20
2023-01-22 02:12:52.018  4049        40.26         20
2023-01-22 02:12:52.226  4053        40.26         20
2023-01-22 02:12:52.434  4055        40.26         20
2023-01-22 02:12:52.643  4075        40.26         20
2023-01-22 02:12:52.818  4079        40.26         20
2023-01-22 02:12:53.027  4091        40.26         20
2023-01-22 02:12:53.234  4060        40.26         20
2023-01-22 02:12:53.442  4057        40.26         20
2023-01-22 02:12:53.650  4077        40.26         20
2023-01-22 02:12:53.854  4077        40.26         20
2023-01-22 02:12:54.051  4057        40.26         20
2023-01-22 02:12:54.259  4045        40.26         20
2023-01-22 02:12:54.467  4060        40.26         20
2023-01-22 02:12:54.676  4064        40.26         20
2023-01-22 02:12:54.884  4032        40.26         20
2023-01-22 02:12:55.092  4046        40.26         20
2023-01-22 02:12:55.312  4039        40.26         20
2023-01-22 02:12:55.523  4014        40.26         20
2023-01-22 02:12:55.732  4014        40.26         20
2023-01-22 02:12:55.941  4016        40.26         20
2023-01-22 02:12:56.148  4007        40.26         20
2023-01-22 02:12:56.357  3996        40.26         20
2023-01-22 02:12:56.565  3997        40.29         20
2023-01-22 02:12:56.741  3996        40.29         20
2023-01-22 02:12:56.949  3992        40.29         20
2023-01-22 02:12:57.157  3996        40.26         20
2023-01-22 02:12:57.364  3989        40.29         20
2023-01-22 02:12:57.574  3981        40.29         20
2023-01-22 02:12:57.775  3991        40.26         20
2023-01-22 02:12:57.975  3995        40.26         20
2023-01-22 02:12:58.181  4011        40.26         20
2023-01-22 02:12:58.390  4008        40.26         20
2023-01-22 02:12:58.598  4001        40.26         20
2023-01-22 02:12:58.807  4015        40.26         20
2023-01-22 02:12:59.015  4020        40.26         20
2023-01-22 02:12:59.221  4001        40.26         20
2023-01-22 02:12:59.436  4017        40.26         20
2023-01-22 02:12:59.652  4037        40.26         20
2023-01-22 02:12:59.862  4040        40.26         20
2023-01-22 02:13:00.067  4050        40.26         20
2023-01-22 02:13:00.278  4060        40.26         20
2023-01-22 02:13:00.487  4057        40.26         20
2023-01-22 02:13:00.694  4046        40.26         20
2023-01-22 02:13:00.871  4060        40.26         20
2023-01-22 02:13:01.079  4065        40.26         20
2023-01-22 02:13:01.287  4066        40.26         20
2023-01-22 02:13:01.494  4091        40.26         20
2023-01-22 02:13:01.697  4090        40.26         20
2023-01-22 02:13:01.895  4084        40.26         20
2023-01-22 02:13:02.103  4081        40.29         20
2023-01-22 02:13:02.312  4053        40.29         20
2023-01-22 02:13:02.520  4065        40.29         20
2023-01-22 02:13:02.728  4042        40.29         20
2023-01-22 02:13:02.936  4051        40.29         20
2023-01-22 02:13:03.143  4036        40.29         20
2023-01-22 02:13:03.352  4025        40.29         20
2023-01-22 02:13:03.568  4022        40.29         20
2023-01-22 02:13:03.785  4009        40.29         20
2023-01-22 02:13:03.993  4032        40.29         20
2023-01-22 02:13:04.201  4004        40.29         20
2023-01-22 02:13:04.408  4026        40.29         20
2023-01-22 02:13:04.617  4022        40.29         20
2023-01-22 02:13:04.793  4014        40.29         20
2023-01-22 02:13:05.002  4002        40.29         20
2023-01-22 02:13:05.209  3987        40.29         20
2023-01-22 02:13:05.418  3980        40.29         20
2023-01-22 02:13:05.619  3963        40.29         20
2023-01-22 02:13:05.818  3965        40.29         20
2023-01-22 02:13:06.025  3986        40.29         20
2023-01-22 02:13:06.233  3965        40.29         20
