               data_ora  rad  temperatura elevazione
2023-03-02 02:00:02.112 5152        40.35         20
2023-03-02 02:00:02.315 5128        40.38         20
2023-03-02 02:00:02.533 5145        40.35         20
2023-03-02 02:00:02.721 5147        40.35         20
2023-03-02 02:00:02.940 5175        40.38         20
2023-03-02 02:00:03.143 5138        40.35         20
2023-03-02 02:00:03.362 5123        40.35         20
2023-03-02 02:00:03.565 5157        40.38         20
2023-03-02 02:00:03.768 5170        40.35         20
2023-03-02 02:00:03.971 5196        40.35         20
2023-03-02 02:00:04.190 5152        40.35         20
2023-03-02 02:00:04.408 5122        40.38         20
2023-03-02 02:00:04.627 5175        40.38         20
2023-03-02 02:00:04.830 5187        40.38         20
2023-03-02 02:00:05.002 5186        40.38         20
2023-03-02 02:00:05.205 5189        40.38         20
2023-03-02 02:00:05.408 5178        40.38         20
2023-03-02 02:00:05.611 5177        40.38         20
2023-03-02 02:00:05.815 5162        40.38         20
2023-03-02 02:00:06.033 5164        40.38         20
2023-03-02 02:00:06.236 5180        40.38         20
2023-03-02 02:00:06.440 5147        40.38         20
2023-03-02 02:00:06.643 5143        40.38         20
2023-03-02 02:00:06.861 5130        40.38         20
2023-03-02 02:00:07.065 5144        40.38         20
2023-03-02 02:00:07.268 5178        40.38         20
2023-03-02 02:00:07.486 5159        40.38         20
2023-03-02 02:00:07.705 5173        40.38         20
2023-03-02 02:00:07.908 5181        40.38         20
2023-03-02 02:00:08.127 5150        40.38         20
2023-03-02 02:00:08.330 5173        40.38         20
2023-03-02 02:00:08.533 5152        40.38         20
2023-03-02 02:00:08.752 5148        40.38         20
2023-03-02 02:00:08.924 5187        40.38         20
2023-03-02 02:00:09.127 5155        40.38         20
2023-03-02 02:00:09.330 5153        40.38         20
2023-03-02 02:00:09.533 5145        40.38         20
2023-03-02 02:00:09.752 5158        40.38         20
2023-03-02 02:00:09.955 5161        40.38         20
2023-03-02 02:00:10.143 5148        40.38         20
2023-03-02 02:00:10.361 5148        40.38         20
2023-03-02 02:00:10.565 5165        40.38         20
2023-03-02 02:00:10.768 5140        40.38         20
2023-03-02 02:00:10.986 5159        40.38         20
2023-03-02 02:00:11.205 5176        40.38         20
2023-03-02 02:00:11.408 5126        40.38         20
2023-03-02 02:00:11.627 5165        40.38         20
2023-03-02 02:00:11.830 5157        40.38         20
2023-03-02 02:00:12.033 5161        40.38         20
2023-03-02 02:00:12.236 5176        40.35         20
2023-03-02 02:00:12.455 5144        40.35         20
2023-03-02 02:00:12.658 5154        40.35         20
2023-03-02 02:00:12.830 5134        40.35         20
2023-03-02 02:00:13.049 5132        40.35         20
2023-03-02 02:00:13.252 5157        40.38         20
2023-03-02 02:00:13.455 5104        40.38         20
2023-03-02 02:00:13.674 5101        40.35         20
2023-03-02 02:00:13.877 5128        40.35         20
2023-03-02 02:00:14.080 5136        40.35         20
2023-03-02 02:00:14.283 5143        40.35         20
2023-03-02 02:00:14.502 5134        40.35         20
2023-03-02 02:00:14.705 5137        40.35         20
