               data_ora   rad  temperatura elevazione
2023-03-25 09:03:29.193  7805        40.50         20
2023-03-25 09:03:29.401  7641        40.50         20
2023-03-25 09:03:29.577  7543        40.50         20
2023-03-25 09:03:29.786  7431        40.50         20
2023-03-25 09:03:29.994  7340        40.50         20
2023-03-25 09:03:30.202  7429        40.50         20
2023-03-25 09:03:30.406  7544        40.50         20
2023-03-25 09:03:30.603  7522        40.50         20
2023-03-25 09:03:30.811  7660        40.50         20
2023-03-25 09:03:31.019  7697        40.50         20
2023-03-25 09:03:31.228  7683        40.50         20
2023-03-25 09:03:31.435  7758        40.50         20
2023-03-25 09:03:31.644  7546        40.50         20
2023-03-25 09:03:31.852  7601        40.50         20
2023-03-25 09:03:32.060  7556        40.50         20
2023-03-25 09:03:32.267  7672        40.50         20
2023-03-25 09:03:32.483  7782        40.50         20
2023-03-25 09:03:32.700  7747        40.50         20
2023-03-25 09:03:32.909  7795        40.50         20
2023-03-25 09:03:33.117  7843        40.50         20
2023-03-25 09:03:33.324  7910        40.50         20
2023-03-25 09:03:33.533  7828        40.50         20
2023-03-25 09:03:33.710  7793        40.50         20
2023-03-25 09:03:33.919  7811        40.50         20
2023-03-25 09:03:34.125  7982        40.50         20
2023-03-25 09:03:34.325  8050        40.50         20
2023-03-25 09:03:34.524  8076        40.50         20
2023-03-25 09:03:34.735  8128        40.50         20
2023-03-25 09:03:34.942  8199        40.50         20
2023-03-25 09:03:35.150  8385        40.50         20
2023-03-25 09:03:35.359  8407        40.50         20
2023-03-25 09:03:35.566  8375        40.50         20
2023-03-25 09:03:35.776  8262        40.50         20
2023-03-25 09:03:35.984  8164        40.50         20
2023-03-25 09:03:36.189  8191        40.50         20
2023-03-25 09:03:36.415  8042        40.50         20
2023-03-25 09:03:36.608  7956        40.50         20
2023-03-25 09:03:36.827  7961        40.50         20
2023-03-25 09:03:37.040  7752        40.50         20
2023-03-25 09:03:37.249  7526        40.50         20
2023-03-25 09:03:37.457  7625        40.50         20
2023-03-25 09:03:37.665  7788        40.50         20
2023-03-25 09:03:37.841  7662        40.50         20
2023-03-25 09:03:38.046  7595        40.50         20
2023-03-25 09:03:38.246  7489        40.47         20
2023-03-25 09:03:38.448  7637        40.50         20
2023-03-25 09:03:38.658  7614        40.50         20
2023-03-25 09:03:38.866  7646        40.50         20
2023-03-25 09:03:39.074  7671        40.50         20
2023-03-25 09:03:39.283  7570        40.50         20
2023-03-25 09:03:39.490  7461        40.50         20
2023-03-25 09:03:39.697  7352        40.50         20
2023-03-25 09:03:39.907  7449        40.50         20
2023-03-25 09:03:40.115  7313        40.50         20
2023-03-25 09:03:40.324  7238        40.50         20
2023-03-25 09:03:40.532  7346        40.50         20
2023-03-25 09:03:40.744  7470        40.50         20
2023-03-25 09:03:40.962  7625        40.50         20
2023-03-25 09:03:41.172  7664        40.47         20
2023-03-25 09:03:41.381  7618        40.47         20
2023-03-25 09:03:41.588  7754        40.50         20
2023-03-25 09:03:41.764  7684        40.47         20
2023-03-25 09:03:41.969  7510        40.47         20
2023-03-25 09:03:42.169  7369        40.50         20
2023-03-25 09:03:42.372  7444        40.50         20
2023-03-25 09:03:42.581  7355        40.47         20
2023-03-25 09:03:42.790  7214        40.47         20
2023-03-25 09:03:42.998  7156        40.47         20
2023-03-25 09:03:43.205  7147        40.47         20
2023-03-25 09:03:43.415  7016        40.47         20
2023-03-25 09:03:43.623  6793        40.47         20
2023-03-25 09:03:43.831  6739        40.50         20
2023-03-25 09:03:44.038  6848        40.50         20
2023-03-25 09:03:44.247  6873        40.50         20
2023-03-25 09:03:44.456  6891        40.50         20
2023-03-25 09:03:44.664  6890        40.50         20
2023-03-25 09:03:44.872  6901        40.50         20
2023-03-25 09:03:45.090  6905        40.50         20
2023-03-25 09:03:45.305  6870        40.50         20
2023-03-25 09:03:45.513  6785        40.50         20
2023-03-25 09:03:45.688  6572        40.50         20
2023-03-25 09:03:45.889  6580        40.50         20
2023-03-25 09:03:46.089  6597        40.50         20
2023-03-25 09:03:46.297  6870        40.50         20
2023-03-25 09:03:46.504  6817        40.50         20
2023-03-25 09:03:46.712  6753        40.50         20
2023-03-25 09:03:46.921  6677        40.50         20
2023-03-25 09:03:47.127  6696        40.50         20
2023-03-25 09:03:47.337  6783        40.50         20
2023-03-25 09:03:47.545  6778        40.50         20
2023-03-25 09:03:47.753  6833        40.50         20
2023-03-25 09:03:47.962  6769        40.50         20
2023-03-25 09:03:48.170  6856        40.50         20
2023-03-25 09:03:48.378  6860        40.50         20
2023-03-25 09:03:48.586  6851        40.50         20
2023-03-25 09:03:48.795  6922        40.50         20
2023-03-25 09:03:49.003  6818        40.50         20
2023-03-25 09:03:49.221  6795        40.50         20
2023-03-25 09:03:49.435  6686        40.50         20
2023-03-25 09:03:49.644  6743        40.50         20
2023-03-25 09:03:49.811  6872        40.50         20
2023-03-25 09:03:50.011  6950        40.50         20
2023-03-25 09:03:50.220  7006        40.50         20
2023-03-25 09:03:50.428  7178        40.50         20
2023-03-25 09:03:50.636  7377        40.50         20
2023-03-25 09:03:50.844  7454        40.50         20
2023-03-25 09:03:51.053  7603        40.50         20
2023-03-25 09:03:51.261  7514        40.50         20
2023-03-25 09:03:51.468  7607        40.50         20
2023-03-25 09:03:51.673  7686        40.50         20
2023-03-25 09:03:51.886  7586        40.50         20
2023-03-25 09:03:52.094  7584        40.50         20
2023-03-25 09:03:52.302  7591        40.50         20
2023-03-25 09:03:52.511  7530        40.50         20
2023-03-25 09:03:52.718  7328        40.50         20
2023-03-25 09:03:52.926  7091        40.50         20
2023-03-25 09:03:53.134  6971        40.50         20
2023-03-25 09:03:53.343  6811        40.50         20
2023-03-25 09:03:53.563  6758        40.50         20
2023-03-25 09:03:53.792  6760        40.50         20
2023-03-25 09:03:53.952  6862        40.50         20
2023-03-25 09:03:54.144  7017        40.50         20
2023-03-25 09:03:54.352  7087        40.50         20
2023-03-25 09:03:54.560  7216        40.50         20
2023-03-25 09:03:54.769  7345        40.50         20
2023-03-25 09:03:54.977  7386        40.50         20
2023-03-25 09:03:55.185  7175        40.50         20
2023-03-25 09:03:55.391  7070        40.50         20
2023-03-25 09:03:55.594  6935        40.50         20
2023-03-25 09:03:55.799  6987        40.50         20
2023-03-25 09:03:56.017  6954        40.50         20
2023-03-25 09:03:56.225  6881        40.50         20
2023-03-25 09:03:56.434  6808        40.50         20
2023-03-25 09:03:56.641  6822        40.50         20
2023-03-25 09:03:56.850  6784        40.50         20
2023-03-25 09:03:57.058  6643        40.50         20
2023-03-25 09:03:57.267  6558        40.50         20
2023-03-25 09:03:57.475  6546        40.50         20
2023-03-25 09:03:57.693  6403        40.50         20
2023-03-25 09:03:57.859  6435        40.50         20
2023-03-25 09:03:58.067  6603        40.50         20
2023-03-25 09:03:58.275  6819        40.50         20
2023-03-25 09:03:58.484  6820        40.50         20
2023-03-25 09:03:58.690  6757        40.50         20
2023-03-25 09:03:58.898  6813        40.53         20
2023-03-25 09:03:59.108  6864        40.53         20
2023-03-25 09:03:59.316  6796        40.53         20
2023-03-25 09:03:59.518  6750        40.53         20
2023-03-25 09:03:59.717  6807        40.53         20
2023-03-25 09:03:59.934  7088        40.53         20
2023-03-25 09:04:00.148  7134        40.53         20
2023-03-25 09:04:00.356  7155        40.53         20
2023-03-25 09:04:00.564  7248        40.53         20
2023-03-25 09:04:00.773  7343        40.53         20
2023-03-25 09:04:00.981  7447        40.53         20
2023-03-25 09:04:01.189  7514        40.53         20
2023-03-25 09:04:01.397  7463        40.53         20
2023-03-25 09:04:01.606  7500        40.53         20
2023-03-25 09:04:01.823  7556        40.53         20
2023-03-25 09:04:01.994  7393        40.53         20
2023-03-25 09:04:02.198  7453        40.53         20
2023-03-25 09:04:02.406  7272        40.53         20
2023-03-25 09:04:02.614  7071        40.53         20
2023-03-25 09:04:02.823  6864        40.50         20
2023-03-25 09:04:03.031  6646        40.50         20
2023-03-25 09:04:03.239  6481        40.50         20
