               data_ora  rad  temperatura elevazione
2023-03-25 21:37:44.051 6250        41.60         20
2023-03-25 21:37:44.266 6268        41.60         20
2023-03-25 21:37:44.475 6268        41.60         20
2023-03-25 21:37:44.683 6266        41.60         20
2023-03-25 21:37:44.891 6250        41.60         20
2023-03-25 21:37:45.100 6248        41.60         20
2023-03-25 21:37:45.308 6243        41.60         20
2023-03-25 21:37:45.516 6254        41.60         20
2023-03-25 21:37:45.692 6255        41.57         20
2023-03-25 21:37:45.900 6254        41.57         20
2023-03-25 21:37:46.114 6279        41.60         20
2023-03-25 21:37:46.317 6267        41.57         20
2023-03-25 21:37:46.523 6280        41.57         20
2023-03-25 21:37:46.724 6278        41.57         20
2023-03-25 21:37:46.925 6282        41.57         20
2023-03-25 21:37:47.133 6294        41.57         20
2023-03-25 21:37:47.341 6301        41.57         20
2023-03-25 21:37:47.548 6266        41.57         20
2023-03-25 21:37:47.757 6275        41.57         20
2023-03-25 21:37:47.965 6282        41.57         20
2023-03-25 21:37:48.174 6286        41.57         20
2023-03-25 21:37:48.394 6294        41.57         20
2023-03-25 21:37:48.606 6293        41.60         20
2023-03-25 21:37:48.815 6294        41.60         20
2023-03-25 21:37:49.023 6303        41.60         20
2023-03-25 21:37:49.229 6320        41.60         20
2023-03-25 21:37:49.439 6319        41.60         20
2023-03-25 21:37:49.647 6319        41.60         20
2023-03-25 21:37:49.822 6343        41.60         20
2023-03-25 21:37:50.031 6352        41.60         20
2023-03-25 21:37:50.240 6344        41.60         20
2023-03-25 21:37:50.446 6357        41.60         20
2023-03-25 21:37:50.655 6363        41.60         20
2023-03-25 21:37:50.854 6369        41.60         20
2023-03-25 21:37:51.056 6361        41.60         20
2023-03-25 21:37:51.264 6376        41.60         20
2023-03-25 21:37:51.473 6364        41.60         20
2023-03-25 21:37:51.681 6391        41.60         20
2023-03-25 21:37:51.890 6390        41.60         20
2023-03-25 21:37:52.113 6388        41.60         20
2023-03-25 21:37:52.321 6371        41.60         20
2023-03-25 21:37:52.521 6382        41.60         20
2023-03-25 21:37:52.738 6363        41.60         20
2023-03-25 21:37:52.946 6371        41.60         20
2023-03-25 21:37:53.155 6367        41.60         20
2023-03-25 21:37:53.363 6367        41.60         20
2023-03-25 21:37:53.571 6397        41.60         20
2023-03-25 21:37:53.779 6382        41.60         20
2023-03-25 21:37:53.955 6386        41.60         20
2023-03-25 21:37:54.163 6399        41.60         20
2023-03-25 21:37:54.370 6404        41.60         20
2023-03-25 21:37:54.578 6408        41.60         20
2023-03-25 21:37:54.786 6423        41.60         20
2023-03-25 21:37:54.986 6426        41.60         20
2023-03-25 21:37:55.188 6441        41.60         20
2023-03-25 21:37:55.396 6440        41.60         20
2023-03-25 21:37:55.604 6436        41.60         20
2023-03-25 21:37:55.812 6456        41.60         20
2023-03-25 21:37:56.021 6462        41.60         20
2023-03-25 21:37:56.229 6464        41.60         20
2023-03-25 21:37:56.436 6449        41.60         20
2023-03-25 21:37:56.652 6443        41.60         20
2023-03-25 21:37:56.870 6454        41.60         20
2023-03-25 21:37:57.077 6425        41.60         20
2023-03-25 21:37:57.286 6409        41.60         20
2023-03-25 21:37:57.493 6432        41.60         20
2023-03-25 21:37:57.701 6425        41.60         20
2023-03-25 21:37:57.910 6415        41.60         20
2023-03-25 21:37:58.085 6437        41.60         20
2023-03-25 21:37:58.293 6428        41.60         20
2023-03-25 21:37:58.502 6431        41.60         20
2023-03-25 21:37:58.710 6418        41.60         20
2023-03-25 21:37:58.916 6425        41.60         20
2023-03-25 21:37:59.114 6405        41.60         20
2023-03-25 21:37:59.319 6393        41.60         20
2023-03-25 21:37:59.525 6387        41.60         20
2023-03-25 21:37:59.735 6402        41.63         20
2023-03-25 21:37:59.943 6374        41.60         20
2023-03-25 21:38:00.151 6360        41.60         20
2023-03-25 21:38:00.359 6354        41.60         20
2023-03-25 21:38:00.568 6354        41.60         20
2023-03-25 21:38:00.784 6347        41.63         20
2023-03-25 21:38:01.000 6367        41.63         20
2023-03-25 21:38:01.207 6355        41.60         20
2023-03-25 21:38:01.417 6353        41.60         20
2023-03-25 21:38:01.623 6336        41.60         20
2023-03-25 21:38:01.832 6344        41.60         20
2023-03-25 21:38:02.040 6323        41.60         20
2023-03-25 21:38:02.217 6329        41.60         20
2023-03-25 21:38:02.426 6335        41.60         20
2023-03-25 21:38:02.634 6326        41.60         20
2023-03-25 21:38:02.842 6330        41.60         20
2023-03-25 21:38:03.045 6302        41.60         20
2023-03-25 21:38:03.243 6348        41.60         20
2023-03-25 21:38:03.451 6323        41.60         20
2023-03-25 21:38:03.659 6321        41.60         20
2023-03-25 21:38:03.867 6317        41.60         20
2023-03-25 21:38:04.074 6314        41.60         20
2023-03-25 21:38:04.284 6312        41.60         20
2023-03-25 21:38:04.492 6314        41.60         20
2023-03-25 21:38:04.699 6321        41.60         20
2023-03-25 21:38:04.914 6288        41.60         20
2023-03-25 21:38:05.128 6302        41.60         20
2023-03-25 21:38:05.340 6296        41.60         20
2023-03-25 21:38:05.549 6312        41.60         20
2023-03-25 21:38:05.756 6317        41.60         20
2023-03-25 21:38:05.965 6310        41.60         20
2023-03-25 21:38:06.171 6318        41.60         20
2023-03-25 21:38:06.349 6307        41.60         20
2023-03-25 21:38:06.556 6322        41.60         20
2023-03-25 21:38:06.764 6329        41.60         20
2023-03-25 21:38:06.980 6319        41.60         20
2023-03-25 21:38:07.177 6315        41.60         20
2023-03-25 21:38:07.374 6315        41.60         20
2023-03-25 21:38:07.582 6305        41.60         20
2023-03-25 21:38:07.789 6300        41.60         20
2023-03-25 21:38:07.998 6321        41.60         20
2023-03-25 21:38:08.207 6323        41.60         20
2023-03-25 21:38:08.413 6315        41.60         20
