           data_ora  elevazione  azimuth
2023-03-25 21:37:44        20.1    120.0
2023-03-25 21:37:47        20.1    120.0
2023-03-25 21:37:50        20.0    120.0
2023-03-25 21:37:53        20.0    120.0
2023-03-25 21:37:56        19.9    120.0
2023-03-25 21:37:59        19.9    120.0
2023-03-25 21:38:02        20.0    120.0
2023-03-25 21:38:05        20.0    120.0
2023-03-25 21:38:08        20.0    120.0
2023-03-25 21:38:11        20.0    120.0
2023-03-25 21:38:14        20.0    120.0
2023-03-25 21:38:17        20.0    120.0
2023-03-25 21:38:20        20.0    120.0
2023-03-25 21:38:23        20.0    120.0
2023-03-25 21:38:26        20.0    120.0
2023-03-25 21:38:29        20.0    120.0
2023-03-25 21:38:32        20.0    120.0
2023-03-25 21:38:35        20.0    120.0
2023-03-25 21:38:38        20.0    120.0
2023-03-25 21:38:41        20.0    120.0
2023-03-25 21:38:44        20.0    120.0
2023-03-25 21:38:47        20.0    120.0
2023-03-25 21:38:50        20.0    120.0
2023-03-25 21:38:53        20.0    120.0
2023-03-25 21:38:56        20.0    120.0
2023-03-25 21:38:59        20.0    120.0
2023-03-25 21:39:02        20.0    120.0
2023-03-25 21:39:05        20.0    120.0
2023-03-25 21:39:08        20.0    120.0
2023-03-25 21:39:11        20.0    120.0
2023-03-25 21:39:14        20.0    120.0
2023-03-25 21:39:17        20.0    120.0
2023-03-25 21:39:20        20.0    120.0
2023-03-25 21:39:23        20.0    120.0
2023-03-25 21:39:26        20.0    120.0
2023-03-25 21:39:29        20.0    120.0
2023-03-25 21:39:32        20.0    120.0
2023-03-25 21:39:35        20.0    120.0
2023-03-25 21:39:38        20.0    120.0
2023-03-25 21:39:41        20.0    120.0
2023-03-25 21:39:44        20.0    120.0
2023-03-25 21:39:47        20.0    120.0
2023-03-25 21:39:50        20.0    120.0
2023-03-25 21:39:53        20.0    120.0
2023-03-25 21:39:56        20.0    120.0
2023-03-25 21:39:59        20.0    120.0
2023-03-25 21:40:02        20.0    120.0
2023-03-25 21:40:05        20.0    120.0
2023-03-25 21:40:08        20.0    120.0
2023-03-25 21:40:11        20.0    120.0
2023-03-25 21:40:14        20.0    120.0
2023-03-25 21:40:17        20.0    120.0
2023-03-25 21:40:20        20.0    120.0
2023-03-25 21:40:23        20.0    120.0
2023-03-25 21:40:26        20.0    120.0
2023-03-25 21:40:29        20.0    120.0
2023-03-25 21:40:32        20.0    120.0
2023-03-25 21:40:35        20.0    120.0
2023-03-25 21:40:38        20.0    120.0
2023-03-25 21:40:41        20.0    120.0
2023-03-25 21:40:44        20.0    120.0
2023-03-25 21:40:47        20.0    120.0
2023-03-25 21:40:50        20.0    120.0
2023-03-25 21:40:53        20.0    120.0
2023-03-25 21:40:56        20.0    120.0
2023-03-25 21:40:59        20.0    120.0
2023-03-25 21:41:02        20.0    120.0
2023-03-25 21:41:05        20.0    120.0
2023-03-25 21:41:08        20.0    120.0
2023-03-25 21:41:11        20.0    120.0
2023-03-25 21:41:14        20.0    120.0
2023-03-25 21:41:17        20.0    120.0
2023-03-25 21:41:20        20.0    120.0
2023-03-25 21:41:23        20.0    120.0
2023-03-25 21:41:26        20.0    120.0
2023-03-25 21:41:29        20.0    120.0
2023-03-25 21:41:32        20.0    120.0
2023-03-25 21:41:35        20.0    120.0
2023-03-25 21:41:38        20.0    120.0
2023-03-25 21:41:41        20.0    120.0
2023-03-25 21:41:44        20.0    120.0
2023-03-25 21:41:47        20.0    120.0
2023-03-25 21:41:50        20.0    120.0
2023-03-25 21:41:53        20.0    120.0
2023-03-25 21:41:56        20.0    120.0
2023-03-25 21:41:59        20.0    120.0
2023-03-25 21:42:02        20.0    120.0
2023-03-25 21:42:05        20.0    120.0
2023-03-25 21:42:08        20.0    120.0
2023-03-25 21:42:11        20.0    120.0
2023-03-25 21:42:14        20.0    120.0
2023-03-25 21:42:17        20.0    120.0
2023-03-25 21:42:20        20.0    120.0
2023-03-25 21:42:23        20.0    120.0
2023-03-25 21:42:26        20.0    120.0
2023-03-25 21:42:29        20.0    120.0
2023-03-25 21:42:32        20.0    120.0
2023-03-25 21:42:35        20.0    120.0
2023-03-25 21:42:38        20.0    120.0
2023-03-25 21:42:41        20.0    120.0
2023-03-25 21:42:44        20.0    120.0
2023-03-25 21:42:47        20.0    120.0
2023-03-25 21:42:50        20.0    120.0
2023-03-25 21:42:53        20.0    120.0
2023-03-25 21:42:56        20.0    120.0
2023-03-25 21:42:59        20.0    120.0
2023-03-25 21:43:02        20.0    120.0
2023-03-25 21:43:05        20.0    120.0
2023-03-25 21:43:08        20.0    120.0
2023-03-25 21:43:11        20.0    120.0
2023-03-25 21:43:14        20.0    120.0
2023-03-25 21:43:17        20.0    120.0
2023-03-25 21:43:20        20.0    120.0
2023-03-25 21:43:23        20.0    120.0
2023-03-25 21:43:26        20.0    120.0
2023-03-25 21:43:29        20.0    120.0
2023-03-25 21:43:32        20.0    120.0
2023-03-25 21:43:35        20.0    120.0
2023-03-25 21:43:38        20.0    120.0
2023-03-25 21:43:41        20.0    120.0
2023-03-25 21:43:44        20.0    120.0
2023-03-25 21:43:47        20.0    120.0
2023-03-25 21:43:50        20.0    120.0
2023-03-25 21:43:53        20.0    120.0
2023-03-25 21:43:56        20.0    120.0
2023-03-25 21:43:59        20.0    120.0
2023-03-25 21:44:02        20.0    120.0
2023-03-25 21:44:05        20.0    120.0
2023-03-25 21:44:08        20.0    120.0
2023-03-25 21:44:11        20.0    120.0
2023-03-25 21:44:14        20.0    120.0
2023-03-25 21:44:17        20.0    120.0
2023-03-25 21:44:20        20.0    120.0
2023-03-25 21:44:23        20.0    120.0
2023-03-25 21:44:26        20.0    120.0
2023-03-25 21:44:29        20.0    120.0
2023-03-25 21:44:32        20.0    120.0
2023-03-25 21:44:35        20.0    120.0
2023-03-25 21:44:38        20.0    120.0
2023-03-25 21:44:41        20.0    120.0
2023-03-25 21:44:44        20.0    120.0
2023-03-25 21:44:47        20.0    120.0
2023-03-25 21:44:50        20.0    120.0
2023-03-25 21:44:53        20.0    120.0
2023-03-25 21:44:56        20.0    120.0
2023-03-25 21:44:59        20.0    120.0
2023-03-25 21:45:02        20.0    120.0
2023-03-25 21:45:05        20.0    120.0
2023-03-25 21:45:08        20.0    120.0
2023-03-25 21:45:11        20.0    120.0
2023-03-25 21:45:14        20.0    120.0
2023-03-25 21:45:17        20.0    120.0
2023-03-25 21:45:20        20.0    120.0
2023-03-25 21:45:23        20.0    120.0
2023-03-25 21:45:26        20.0    120.0
2023-03-25 21:45:29        20.0    120.0
2023-03-25 21:45:32        20.0    120.0
2023-03-25 21:45:35        20.0    120.0
2023-03-25 21:45:38        20.0    120.0
2023-03-25 21:45:41        20.0    120.0
2023-03-25 21:45:44        20.0    120.0
2023-03-25 21:45:47        20.0    120.0
2023-03-25 21:45:50        20.0    120.0
2023-03-25 21:45:53        20.0    120.0
2023-03-25 21:45:56        20.0    120.0
2023-03-25 21:45:59        20.0    120.0
2023-03-25 21:46:02        20.0    120.0
2023-03-25 21:46:05        20.0    120.0
2023-03-25 21:46:08        20.0    120.0
2023-03-25 21:46:11        20.0    120.0
2023-03-25 21:46:14        20.0    120.0
2023-03-25 21:46:17        20.0    120.0
2023-03-25 21:46:20        20.0    120.0
2023-03-25 21:46:23        20.0    120.0
2023-03-25 21:46:26        20.0    120.0
2023-03-25 21:46:29        20.0    120.0
2023-03-25 21:46:32        20.0    120.0
2023-03-25 21:46:35        20.0    120.0
2023-03-25 21:46:38        20.0    120.0
2023-03-25 21:46:41        20.0    120.0
2023-03-25 21:46:44        20.0    120.0
2023-03-25 21:46:47        20.0    120.0
2023-03-25 21:46:50        20.0    120.0
2023-03-25 21:46:53        20.0    120.0
2023-03-25 21:46:56        20.0    120.0
2023-03-25 21:46:59        20.0    120.0
2023-03-25 21:47:02        20.0    120.0
2023-03-25 21:47:05        20.0    120.0
2023-03-25 21:47:08        20.0    120.0
2023-03-25 21:47:11        20.0    120.0
2023-03-25 21:47:14        20.0    120.0
2023-03-25 21:47:17        20.0    120.0
2023-03-25 21:47:20        20.0    120.0
2023-03-25 21:47:23        20.0    120.0
2023-03-25 21:47:26        20.0    120.0
2023-03-25 21:47:29        20.0    120.0
2023-03-25 21:47:32        20.0    120.0
2023-03-25 21:47:35        20.0    120.0
2023-03-25 21:47:38        20.0    120.0
2023-03-25 21:47:41        20.0    120.0
2023-03-25 21:47:44        20.0    120.0
2023-03-25 21:47:47        20.0    120.0
2023-03-25 21:47:50        20.0    120.0
2023-03-25 21:47:53        20.0    120.0
2023-03-25 21:47:56        20.0    120.0
2023-03-25 21:47:59        20.0    120.0
2023-03-25 21:48:02        20.0    120.0
2023-03-25 21:48:05        20.0    120.0
2023-03-25 21:48:08        20.0    120.0
2023-03-25 21:48:11        20.0    120.0
2023-03-25 21:48:14        20.0    120.0
2023-03-25 21:48:17        20.0    120.0
2023-03-25 21:48:20        20.0    120.0
2023-03-25 21:48:23        20.0    120.0
2023-03-25 21:48:26        20.0    120.0
2023-03-25 21:48:29        20.0    120.0
2023-03-25 21:48:32        20.0    120.0
2023-03-25 21:48:35        20.0    120.0
2023-03-25 21:48:38        20.0    120.0
2023-03-25 21:48:41        20.0    120.0
2023-03-25 21:48:44        20.0    120.0
2023-03-25 21:48:47        20.0    120.0
2023-03-25 21:48:50        20.0    120.0
2023-03-25 21:48:53        20.0    120.0
2023-03-25 21:48:56        20.0    120.0
2023-03-25 21:48:59        20.0    120.0
2023-03-25 21:49:02        20.0    120.0
2023-03-25 21:49:05        20.0    120.0
2023-03-25 21:49:08        20.0    120.0
2023-03-25 21:49:11        20.0    120.0
2023-03-25 21:49:14        20.0    120.0
2023-03-25 21:49:17        20.0    120.0
2023-03-25 21:49:20        20.0    120.0
2023-03-25 21:49:23        20.0    120.0
2023-03-25 21:49:26        20.0    120.0
2023-03-25 21:49:29        20.0    120.0
2023-03-25 21:49:32        20.0    120.0
2023-03-25 21:49:35        20.0    120.0
2023-03-25 21:49:38        20.0    120.0
2023-03-25 21:49:41        20.0    120.0
2023-03-25 21:49:44        20.0    120.0
2023-03-25 21:49:47        20.0    120.0
2023-03-25 21:49:50        20.0    120.0
2023-03-25 21:49:53        20.0    120.0
2023-03-25 21:49:56        20.0    120.0
2023-03-25 21:49:59        20.0    120.0
2023-03-25 21:50:02        20.0    120.0
2023-03-25 21:50:05        20.0    120.0
2023-03-25 21:50:08        20.0    120.0
2023-03-25 21:50:11        20.0    120.0
2023-03-25 21:50:14        20.0    120.0
2023-03-25 21:50:17        20.0    120.0
2023-03-25 21:50:20        20.0    120.0
2023-03-25 21:50:23        20.0    120.0
2023-03-25 21:50:26        20.0    120.0
2023-03-25 21:50:29        20.0    120.0
2023-03-25 21:50:32        20.0    120.0
2023-03-25 21:50:35        20.0    120.0
2023-03-25 21:50:38        20.0    120.0
2023-03-25 21:50:41        20.0    120.0
2023-03-25 21:50:44        20.0    120.0
2023-03-25 21:50:47        20.0    120.0
2023-03-25 21:50:50        20.0    120.0
2023-03-25 21:50:53        20.0    120.0
2023-03-25 21:50:56        20.0    120.0
2023-03-25 21:50:59        20.0    120.0
2023-03-25 21:51:02        20.0    120.0
2023-03-25 21:51:05        20.0    120.0
2023-03-25 21:51:08        20.0    120.0
2023-03-25 21:51:11        20.0    120.0
2023-03-25 21:51:14        20.0    120.0
2023-03-25 21:51:17        20.0    120.0
2023-03-25 21:51:20        20.0    120.0
2023-03-25 21:51:23        20.0    120.0
2023-03-25 21:51:26        20.0    120.0
