               data_ora   rad  temperatura
2023-03-30 02:01:17.045  5840        40.38
2023-03-30 02:01:17.248  5846        40.38
2023-03-30 02:01:17.467  5819        40.38
2023-03-30 02:01:17.670  5801        40.38
2023-03-30 02:01:17.857  5795        40.38
2023-03-30 02:01:18.076  5812        40.38
2023-03-30 02:01:18.295  5834        40.38
2023-03-30 02:01:18.498  5809        40.38
2023-03-30 02:01:18.717  5794        40.38
2023-03-30 02:01:18.920  5764        40.38
2023-03-30 02:01:19.123  5769        40.38
2023-03-30 02:01:19.342  5794        40.38
2023-03-30 02:01:19.545  5790        40.38
2023-03-30 02:01:19.748  5822        40.38
2023-03-30 02:01:19.967  5827        40.38
2023-03-30 02:01:20.138  5819        40.38
2023-03-30 02:01:20.342  5809        40.38
2023-03-30 02:01:20.560  5821        40.38
2023-03-30 02:01:20.763  5828        40.38
2023-03-30 02:01:20.966  5811        40.38
2023-03-30 02:01:21.185  5830        40.38
2023-03-30 02:01:21.388  5833        40.41
2023-03-30 02:01:21.576  5839        40.38
2023-03-30 02:01:21.795  5847        40.41
2023-03-30 02:01:21.998  5831        40.41
2023-03-30 02:01:22.201  5844        40.41
2023-03-30 02:01:22.420  5874        40.41
2023-03-30 02:01:22.638  5852        40.41
2023-03-30 02:01:22.841  5810        40.41
2023-03-30 02:01:23.060  5825        40.41
2023-03-30 02:01:23.263  5797        40.41
2023-03-30 02:01:23.466  5784        40.41
2023-03-30 02:01:23.670  5800        40.41
2023-03-30 02:01:23.888  5813        40.41
2023-03-30 02:01:24.060  5774        40.41
2023-03-30 02:01:24.279  5788        40.41
2023-03-30 02:01:24.482  5833        40.41
2023-03-30 02:01:24.685  5801        40.38
2023-03-30 02:01:24.888  5799        40.41
2023-03-30 02:01:25.107  5777        40.41
2023-03-30 02:01:25.310  5775        40.38
2023-03-30 02:01:25.498  5806        40.38
2023-03-30 02:01:25.716  5803        40.38
2023-03-30 02:01:25.919  5827        40.38
2023-03-30 02:01:26.123  5795        40.38
2023-03-30 02:01:26.341  5800        40.38
2023-03-30 02:01:26.560  5800        40.38
2023-03-30 02:01:26.763  5801        40.38
2023-03-30 02:01:26.982  5815        40.38
2023-03-30 02:01:27.185  5836        40.38
2023-03-30 02:01:27.388  5810        40.38
2023-03-30 02:01:27.591  5842        40.38
2023-03-30 02:01:27.810  5821        40.38
2023-03-30 02:01:28.013  5804        40.38
2023-03-30 02:01:28.185  5781        40.38
2023-03-30 02:01:28.388  5758        40.38
2023-03-30 02:01:28.607  5759        40.41
2023-03-30 02:01:28.826  5754        40.41
2023-03-30 02:01:29.013  5771        40.41
2023-03-30 02:01:29.232  5784        40.41
