               data_ora   rad  temperatura elevazione
2023-03-31 22:45:20.136  5268        40.38         20
2023-03-31 22:45:20.354  5263        40.35         20
2023-03-31 22:45:20.557  5275        40.35         20
2023-03-31 22:45:20.761  5253        40.38         20
2023-03-31 22:45:20.979  5266        40.35         20
2023-03-31 22:45:21.198  5280        40.35         20
2023-03-31 22:45:21.401  5266        40.35         20
2023-03-31 22:45:21.604  5264        40.35         20
2023-03-31 22:45:21.823  5282        40.35         20
2023-03-31 22:45:22.026  5276        40.35         20
2023-03-31 22:45:22.245  5280        40.35         20
2023-03-31 22:45:22.448  5292        40.35         20
2023-03-31 22:45:22.620  5273        40.35         20
2023-03-31 22:45:22.823  5276        40.35         20
2023-03-31 22:45:23.042  5265        40.35         20
2023-03-31 22:45:23.245  5288        40.35         20
2023-03-31 22:45:23.448  5287        40.35         20
2023-03-31 22:45:23.651  5354        40.35         20
2023-03-31 22:45:23.854  5337        40.35         20
2023-03-31 22:45:24.057  5360        40.35         20
2023-03-31 22:45:24.276  5348        40.35         20
2023-03-31 22:45:24.479  5368        40.35         20
2023-03-31 22:45:24.682  5364        40.35         20
2023-03-31 22:45:24.901  5351        40.35         20
2023-03-31 22:45:25.104  5354        40.35         20
2023-03-31 22:45:25.307  5357        40.35         20
2023-03-31 22:45:25.526  5351        40.35         20
2023-03-31 22:45:25.745  5364        40.35         20
2023-03-31 22:45:25.948  5367        40.38         20
2023-03-31 22:45:26.167  5347        40.35         20
2023-03-31 22:45:26.370  5361        40.35         20
2023-03-31 22:45:26.542  5341        40.35         20
2023-03-31 22:45:26.760  5321        40.35         20
2023-03-31 22:45:26.963  5363        40.35         20
2023-03-31 22:45:27.167  5347        40.35         20
2023-03-31 22:45:27.370  5353        40.35         20
2023-03-31 22:45:27.573  5319        40.38         20
2023-03-31 22:45:27.776  5324        40.38         20
2023-03-31 22:45:27.995  5320        40.38         20
2023-03-31 22:45:28.198  5329        40.38         20
2023-03-31 22:45:28.401  5351        40.38         20
2023-03-31 22:45:28.620  5333        40.38         20
2023-03-31 22:45:28.823  5337        40.38         20
2023-03-31 22:45:29.026  5335        40.38         20
